"Nation","Nation__URI","National anthem (original)","National anthem (original)__URI","National anthem (English)","National anthem (English)__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI"
"Afghanistan","http://dbpedia.org/resource/Afghanistan","Millī Surūd","http://dbpedia.org/resource/Afghan_National_Anthem","National Anthem","http://dbpedia.org/resource/Afghan_National_Anthem","2006","Abdul Bari Jahani","http://dbpedia.org/resource/Abdul_Bari_Jahani","Babrak Wassa",""
"Albania","http://dbpedia.org/resource/Albania","Betimi mbi Flamur","http://dbpedia.org/resource/Hymn_to_the_Flag","The Pledge on the Flag","http://dbpedia.org/resource/Hymn_to_the_Flag","1912","Aleksandër Stavre Drenova","http://dbpedia.org/resource/Aleksandër_Stavre_Drenova","Ciprian Porumbescu","http://dbpedia.org/resource/Ciprian_Porumbescu"
"Algeria","http://dbpedia.org/resource/Algeria","Kassaman","http://dbpedia.org/resource/Kassaman","We Pledge","http://dbpedia.org/resource/Kassaman","1962","Moufdi Zakaria","http://dbpedia.org/resource/Moufdi_Zakaria","Mohamed Fawzi","http://dbpedia.org/resource/Mohamed_Fawzi_(artist)"
"Andorra","http://dbpedia.org/resource/Andorra","El Gran Carlemany","http://dbpedia.org/resource/El_Gran_Carlemany","The Great Charlemagne","http://dbpedia.org/resource/El_Gran_Carlemany","1914","Enric Marfany Bons","","Juan Benlloch y Vivó","http://dbpedia.org/resource/Juan_Benlloch_y_Vivó"
"Angola","http://dbpedia.org/resource/Angola","Angola Avante","http://dbpedia.org/resource/Angola_Avante","Forward Angola","http://dbpedia.org/resource/Angola_Avante","1975","Manuel Rui Alves Monteiro","http://dbpedia.org/resource/Manuel_Rui_Alves_Monteiro","Rui Alberto Vieira Dias Mingas",""
"Antigua and Barbuda","http://dbpedia.org/resource/Antigua_and_Barbuda","Fair Antigua, We Salute Thee","http://dbpedia.org/resource/Fair_Antigua,_We_Salute_Thee","","","1981","Novelle Hamilton Richards","","Walter Garnet Picart Chambers",""
"Argentina","http://dbpedia.org/resource/Argentina","Himno Nacional Argentino","http://dbpedia.org/resource/Argentine_National_Anthem","Argentine National Anthem","http://dbpedia.org/resource/Argentine_National_Anthem","1813","Vicente López y Planes","http://dbpedia.org/resource/Vicente_López_y_Planes","Blas Parera","http://dbpedia.org/resource/Blas_Parera"
"Armenia","http://dbpedia.org/resource/Armenia","Mer Hayrenik","http://dbpedia.org/resource/Mer_Hayrenik","Our Fatherland","http://dbpedia.org/resource/Mer_Hayrenik","1918","Mikael Nalbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyan","http://dbpedia.org/resource/Barsegh_Kanachyan"
"Armenia","http://dbpedia.org/resource/Armenia","Mer Hayrenik","http://dbpedia.org/resource/Mer_Hayrenik","Our Fatherland","http://dbpedia.org/resource/Mer_Hayrenik","1991","Mikael Nalbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyan","http://dbpedia.org/resource/Barsegh_Kanachyan"
"Australia","http://dbpedia.org/resource/Australia","Advance Australia Fair","http://dbpedia.org/resource/Advance_Australia_Fair","","","1984","Peter Dodds McCormick","http://dbpedia.org/resource/Peter_Dodds_McCormick","Peter Dodds McCormick","http://dbpedia.org/resource/Peter_Dodds_McCormick"
"Austria","http://dbpedia.org/resource/Austria","Bundeshymne der Republik Österreich","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","National Anthem of the Republic of Austria","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula von Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Wolfgang Amadeus Mozart","http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart"
"Austria","http://dbpedia.org/resource/Austria","Bundeshymne der Republik Österreich","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","National Anthem of the Republic of Austria","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula von Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Johann Holzer",""
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Azərbaycan marşı","http://dbpedia.org/resource/Azərbaycan_marşı","Azerbaijan's Anthem","http://dbpedia.org/resource/Azərbaycan_marşı","1918","Ahmed Javad","http://dbpedia.org/resource/Ahmed_Javad","Uzeyir Hajibeyov","http://dbpedia.org/resource/Uzeyir_Hajibeyov"
"Bahamas","http://dbpedia.org/resource/The_Bahamas","March On, Bahamaland","http://dbpedia.org/resource/March_On,_Bahamaland","","","1973","Timothy Gibson","","Timothy Gibson",""
"Bahrain","http://dbpedia.org/resource/Bahrain","Bahrainona","http://dbpedia.org/resource/Bahrainona","Our Bahrain","http://dbpedia.org/resource/Bahrainona","1971","Mohamed Sudqi Ayyash","http://dbpedia.org/resource/Mohamed_Sudqi_Ayyash","",""
"Bangladesh","http://dbpedia.org/resource/Bangladesh","Amar Shonar Bangla","http://dbpedia.org/resource/Amar_Shonar_Bangla","My Golden Bengal","http://dbpedia.org/resource/Amar_Shonar_Bangla","1972","Rabindranath Tagore","http://dbpedia.org/resource/Rabindranath_Tagore","Samar Das","http://dbpedia.org/resource/Samar_Das"
"Barbados","http://dbpedia.org/resource/Barbados","National Anthem of Barbados","http://dbpedia.org/resource/National_Anthem_of_Barbados","","","1966","Irving Burgie","http://dbpedia.org/resource/Irving_Burgie","C. Van Roland Edwards",""
"Belarus","http://dbpedia.org/resource/Belarus","My Belarusy","http://dbpedia.org/resource/My_Belarusy","We, the Belarusians","http://dbpedia.org/resource/My_Belarusy","1955","Michael Klimovich","http://dbpedia.org/resource/Michael_Klimovich","Nestar Sakalowski","http://dbpedia.org/resource/Nestar_Sakalowski"
"Belgium","http://dbpedia.org/resource/Belgium","The Brabançonne","http://dbpedia.org/resource/Brabançonne","","","1830","Jenneval","http://dbpedia.org/resource/Jenneval","François Van Campenhout","http://dbpedia.org/resource/François_Van_Campenhout"
"Belize","http://dbpedia.org/resource/Belize","Land of the Free","http://dbpedia.org/resource/National_anthem_of_Belize","","","1981","Samuel Alfred Haynes","http://dbpedia.org/resource/Samuel_Alfred_Haynes","Selwyn Walford Young","http://dbpedia.org/resource/Selwyn_Walford_Young"
"Benin","http://dbpedia.org/resource/Benin","L'Aube Nouvelle","http://dbpedia.org/resource/L'Aube_Nouvelle","The Dawn of a New Day","http://dbpedia.org/resource/L'Aube_Nouvelle","1960","Gilbert Jean Dagnon","","Gilbert Jean Dagnon",""
"Bhutan","http://dbpedia.org/resource/Bhutan","Druk tsendhen","http://dbpedia.org/resource/Druk_tsendhen","The Thunder Dragon Kingdom","http://dbpedia.org/resource/Druk_tsendhen","1953","Dasho Gyaldun Thinley","","Aku Tongmi",""
"Bolivia","http://dbpedia.org/resource/Bolivia","Himno Nacional de Bolivia","http://dbpedia.org/resource/National_Anthem_of_Bolivia","National Anthem of Bolivia","http://dbpedia.org/resource/National_Anthem_of_Bolivia","1852","José Ignacio de Sanjinés","http://dbpedia.org/resource/José_Ignacio_de_Sanjinés","Leopoldo Benedetto Vincenti",""
"Bosnia and Herzegovina","http://dbpedia.org/resource/Bosnia_and_Herzegovina","Državna himna Bosne i Hercegovine","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","The National Anthem of Bosnia and Herzegovina","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","1999","","","Dušan Šestić","http://dbpedia.org/resource/Dušan_Šestić"
"Botswana","http://dbpedia.org/resource/Botswana","Fatshe leno la rona","http://dbpedia.org/resource/Fatshe_leno_la_rona","Blessed Be This Noble Land","http://dbpedia.org/resource/Fatshe_leno_la_rona","1966","Kgalemang Tumedisco Motsete","","Kgalemang Tumedisco Motsete",""
"Brazil","http://dbpedia.org/resource/Brazil","Hino Nacional Brasileiro","http://dbpedia.org/resource/Brazilian_National_Anthem","Brazilian National Anthem","http://dbpedia.org/resource/Brazilian_National_Anthem","1831","Joaquim Osório Duque Estrada","http://dbpedia.org/resource/Joaquim_Osório_Duque_Estrada","Francisco Manuel da Silva","http://dbpedia.org/resource/Francisco_Manuel_da_Silva"
"Brunei","http://dbpedia.org/resource/Brunei","Allah Peliharakan Sultan","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","God Bless the Sultan","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","http://dbpedia.org/resource/Yura_Halim","Besar bin Sagap",""
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Mila Rodino","http://dbpedia.org/resource/Mila_Rodino","Dear Motherland","http://dbpedia.org/resource/Mila_Rodino","1964","Tsvetan Radoslavov","http://dbpedia.org/resource/Tsvetan_Radoslavov","Tsvetan Radoslavov","http://dbpedia.org/resource/Tsvetan_Radoslavov"
