"Team","Team__URI","Manager","Manager__URI","Captain","Captain__URI","Kit manufacturer","Kit manufacturer__URI","Shirt sponsor (chest)","Shirt sponsor (chest)__URI","Shirt sponsor (sleeve)","Shirt sponsor (sleeve)__URI"
"Arsenal","http://dbpedia.org/resource/Arsenal_F.C.","Unai Emery","http://dbpedia.org/resource/Unai_Emery","Pierre-Emerick Aubameyang","http://dbpedia.org/resource/Pierre-Emerick_Aubameyang","Adidas","http://dbpedia.org/resource/Adidas","Fly Emirates","http://dbpedia.org/resource/Emirates_(airline)","Visit Rwanda",""
"Aston Villa","http://dbpedia.org/resource/Aston_Villa_F.C.","Dean Smith","http://dbpedia.org/resource/Dean_Smith_(footballer,_born_1971)","Jack Grealish","http://dbpedia.org/resource/Jack_Grealish","Kappa","http://dbpedia.org/resource/Kappa_(company)","W88","","BR88",""
"Bournemouth","http://dbpedia.org/resource/A.F.C._Bournemouth","Eddie Howe","http://dbpedia.org/resource/Eddie_Howe","Simon Francis","http://dbpedia.org/resource/Simon_Francis_(footballer)","Umbro","http://dbpedia.org/resource/Umbro","M88","","M88",""
"Brighton & Hove Albion","http://dbpedia.org/resource/Brighton_&_Hove_Albion_F.C.","Graham Potter","http://dbpedia.org/resource/Graham_Potter","Lewis Dunk","http://dbpedia.org/resource/Lewis_Dunk","Nike","http://dbpedia.org/resource/Nike,_Inc.","American Express","http://dbpedia.org/resource/American_Express","JD","http://dbpedia.org/resource/JD_Sports"
"Burnley","http://dbpedia.org/resource/Burnley_F.C.","Sean Dyche","http://dbpedia.org/resource/Sean_Dyche","Ben Mee","http://dbpedia.org/resource/Ben_Mee","Umbro","http://dbpedia.org/resource/Umbro","LoveBet","","LoveBet",""
"Chelsea","http://dbpedia.org/resource/Chelsea_F.C.","Frank Lampard","http://dbpedia.org/resource/Frank_Lampard","César Azpilicueta","http://dbpedia.org/resource/César_Azpilicueta","Nike","http://dbpedia.org/resource/Nike,_Inc.","Yokohama Tyres","http://dbpedia.org/resource/Yokohama_Rubber_Company","Hyundai","http://dbpedia.org/resource/Hyundai_Motor_Company"
"Crystal Palace","http://dbpedia.org/resource/Crystal_Palace_F.C.","Roy Hodgson","http://dbpedia.org/resource/Roy_Hodgson","Luka Milivojević","http://dbpedia.org/resource/Luka_Milivojević","Puma","http://dbpedia.org/resource/Puma_(brand)","ManBetX","","Dongqiudi",""
"Everton","http://dbpedia.org/resource/Everton_F.C.","Marco Silva","http://dbpedia.org/resource/Marco_Silva","Séamus Coleman","http://dbpedia.org/resource/Séamus_Coleman","Umbro","http://dbpedia.org/resource/Umbro","SportPesa","http://dbpedia.org/resource/SportPesa","Angry Birds","http://dbpedia.org/resource/Angry_Birds"
"Leicester City","http://dbpedia.org/resource/Leicester_City_F.C.","Brendan Rodgers","http://dbpedia.org/resource/Brendan_Rodgers","Wes Morgan","http://dbpedia.org/resource/Wes_Morgan","Adidas","http://dbpedia.org/resource/Adidas","King Power","http://dbpedia.org/resource/King_Power","Bia Saigon","http://dbpedia.org/resource/Sabeco_Brewery"
"Liverpool","http://dbpedia.org/resource/Liverpool_F.C.","Jürgen Klopp","http://dbpedia.org/resource/Jürgen_Klopp","Jordan Henderson","http://dbpedia.org/resource/Jordan_Henderson","New Balance","http://dbpedia.org/resource/New_Balance","Standard Chartered","http://dbpedia.org/resource/Standard_Chartered","Western Union","http://dbpedia.org/resource/Western_Union"
"Manchester City","http://dbpedia.org/resource/Manchester_City_F.C.","Pep Guardiola","http://dbpedia.org/resource/Pep_Guardiola","David Silva","http://dbpedia.org/resource/David_Silva","Puma","http://dbpedia.org/resource/Puma_(brand)","Etihad Airways","http://dbpedia.org/resource/Etihad_Airways","Nexen Tire","http://dbpedia.org/resource/Nexen_Tire"
"Manchester United","http://dbpedia.org/resource/Manchester_United_F.C.","Ole Gunnar Solskjær","http://dbpedia.org/resource/Ole_Gunnar_Solskjær","Ashley Young","http://dbpedia.org/resource/Ashley_Young","Adidas","http://dbpedia.org/resource/Adidas","Chevrolet","http://dbpedia.org/resource/Chevrolet","Kohler","http://dbpedia.org/resource/Kohler_Company"
"Newcastle United","http://dbpedia.org/resource/Newcastle_United_F.C.","Steve Bruce","http://dbpedia.org/resource/Steve_Bruce","Jamaal Lascelles","http://dbpedia.org/resource/Jamaal_Lascelles","Puma","http://dbpedia.org/resource/Puma_(brand)","Fun88","","StormGain",""
"Norwich City","http://dbpedia.org/resource/Norwich_City_F.C.","Daniel Farke","","Grant Hanley","http://dbpedia.org/resource/Grant_Hanley","Erreà","http://dbpedia.org/resource/Erreà","Dafabet","http://dbpedia.org/resource/Dafabet","Best Fiends",""
