"manufacturer","manufacturer__URI","manufacturerCountry","manufacturerCountry__URI","automobile","automobile__URI","assemblyPlace","assemblyPlace__URI","year","sold"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1996","46355"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1997","70549"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanny","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1998","66620"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","1999","47911"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanny","http://dbpedia.org/resource/Germany","Chrysler Cirrus","http://dbpedia.org/resource/Chrysler_Cirrus","Sterling Heights, Michigan","http://dbpedia.org/resource/Sterling_Heights,_Michigan","2000","2030"
"General Motors","http://dbpedia.org/resource/General_Motors","Unnited States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2000","11201"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2001","27322"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2001","31754"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2002","61468"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2002","27793"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2003","27354"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2003","72643"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germmany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Graz","http://dbpedia.org/resource/Graz","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Pekan District","http://dbpedia.org/resource/Pekan_District","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Geermany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Tehran","http://dbpedia.org/resource/Tehran","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Bogor","http://dbpedia.org/resource/Bogor","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","GGermany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","6th of October City","http://dbpedia.org/resource/6th_of_October_City","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Johor Bahru","http://dbpedia.org/resource/Johor_Bahru","2003","55683"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Santiago Tianguistenco","http://dbpedia.org/resource/Santiago_Tianguistenco","2003","55683"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Jakarta","http://dbpedia.org/resource/Jakarta","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Tehran","http://dbpedia.org/resource/Tehran","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francce","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Ryton-on-Dunsmore","http://dbpedia.org/resource/Ryton-on-Dunsmore","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Los Andes, Chile","http://dbpedia.org/resource/Los_Andes,_Chile","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Barra de Carrasco","http://dbpedia.org/resource/Barra_de_Carrasco","2004","795000"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francce","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","El Palomar, Buenos Aires","http://dbpedia.org/resource/El_Palomar,_Buenos_Aires","2004","583700"
"Peugeot","http://dbpedia.org/resource/Peugeot","Frrance","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","Villa Bosch","http://dbpedia.org/resource/Villa_Bosch","2004","583700"
"Ford Motor Company","http://dbpedia.org/resource/Ford_Motor_Company","United Statess","http://dbpedia.org/resource/United_States","Ford Five Hundred","http://dbpedia.org/resource/Ford_Five_Hundred","Chicago","http://dbpedia.org/resource/Chicago","2004","14106"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2004","20588"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2004","60039"
"Cadillac","http://dbpedia.org/resource/Cadillac","United Statess","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad","http://dbpedia.org/resource/Kaliningrad","2004","9484"
"Cadillac","http://dbpedia.org/resource/Cadillac","United Staates","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad Oblast","http://dbpedia.org/resource/Kaliningrad_Oblast","2004","9484"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Tehran","http://dbpedia.org/resource/Tehran","2004","58954"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Pekan District","http://dbpedia.org/resource/Pekan_District","2004","58954"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Graz","http://dbpedia.org/resource/Graz","2004","58954"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","6th of October City","http://dbpedia.org/resource/6th_of_October_City","2004","58954"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Bogor","http://dbpedia.org/resource/Bogor","2004","58954"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germmany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Johor Bahru","http://dbpedia.org/resource/Johor_Bahru","2004","58954"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Geermany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Santiago Tianguistenco","http://dbpedia.org/resource/Santiago_Tianguistenco","2004","58954"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Jakarta","http://dbpedia.org/resource/Jakarta","2005","676500"
"Peugeot","http://dbpedia.org/resource/Peugeot","Frannce","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","2005","676500"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Tehran","http://dbpedia.org/resource/Tehran","2005","676500"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","2005","676500"
"Mercedes-Benz","http://dbpedia.org/resource/Mercedes-Benz","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz R-Class","http://dbpedia.org/resource/Mercedes-Benz_R-Class","Vance, Alabama","http://dbpedia.org/resource/Vance,_Alabama","2005","4959"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 107","http://dbpedia.org/resource/Peugeot_107","Kolín","http://dbpedia.org/resource/Kolín","2005","34600"
"Peugeot","http://dbpedia.org/resource/Peugeot","Frrance","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Ryton-on-Dunsmore","http://dbpedia.org/resource/Ryton-on-Dunsmore","2005","676500"
"Peugeot","http://dbpedia.org/resource/Peugeot","Frrance","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Los Andes, Chile","http://dbpedia.org/resource/Los_Andes,_Chile","2005","676500"
"Peugeot","http://dbpedia.org/resource/Peugeot","FFrance","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","Villa Bosch","http://dbpedia.org/resource/Villa_Bosch","2005","520400"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Barra de Carrasco","http://dbpedia.org/resource/Barra_de_Carrasco","2005","676500"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francce","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","El Palomar, Buenos Aires","http://dbpedia.org/resource/El_Palomar,_Buenos_Aires","2005","520400"
"Ford Motor Company","http://dbpedia.org/resource/Ford_Motor_Company","United Statees","http://dbpedia.org/resource/United_States","Ford Five Hundred","http://dbpedia.org/resource/Ford_Five_Hundred","Chicago","http://dbpedia.org/resource/Chicago","2005","107932"
"General Motors","http://dbpedia.org/resource/General_Motors","Unnited States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2005","60589"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2005","5020"
"Cadillac","http://dbpedia.org/resource/Cadillac","United Statess","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad","http://dbpedia.org/resource/Kaliningrad","2005","33497"
"Cadillac","http://dbpedia.org/resource/Cadillac","United States","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad Oblast","http://dbpedia.org/resource/Kaliningrad_Oblast","2005","33497"
"Lincoln Motor Company","http://dbpedia.org/resource/Lincoln_Motor_Company","Uniited States","http://dbpedia.org/resource/United_States","Lincoln Mark LT","http://dbpedia.org/resource/Lincoln_Mark_LT","Cuautitlán","http://dbpedia.org/resource/Cuautitlán","2005","10274"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","GGermany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Graz","http://dbpedia.org/resource/Graz","2005","50383"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Geermany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Pekan District","http://dbpedia.org/resource/Pekan_District","2005","50383"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Gerrmany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Tehran","http://dbpedia.org/resource/Tehran","2005","50383"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germmany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Johor Bahru","http://dbpedia.org/resource/Johor_Bahru","2005","50383"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","6th of October City","http://dbpedia.org/resource/6th_of_October_City","2005","50383"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Bogor","http://dbpedia.org/resource/Bogor","2005","50383"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Santiago Tianguistenco","http://dbpedia.org/resource/Santiago_Tianguistenco","2005","50383"
"Peugeot","http://dbpedia.org/resource/Peugeot","Fraance","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Jakarta","http://dbpedia.org/resource/Jakarta","2006","475100"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","2006","475100"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Tehran","http://dbpedia.org/resource/Tehran","2006","475100"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","2006","475100"
"Mercedes-Benz","http://dbpedia.org/resource/Mercedes-Benz","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz R-Class","http://dbpedia.org/resource/Mercedes-Benz_R-Class","Vance, Alabama","http://dbpedia.org/resource/Vance,_Alabama","2006","18168"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 107","http://dbpedia.org/resource/Peugeot_107","Kolín","http://dbpedia.org/resource/Kolín","2006","101700"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Ryton-on-Dunsmore","http://dbpedia.org/resource/Ryton-on-Dunsmore","2006","475100"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Los Andes, Chile","http://dbpedia.org/resource/Los_Andes,_Chile","2006","475100"
"Peugeot","http://dbpedia.org/resource/Peugeot","Frannce","http://dbpedia.org/resource/France","Peugeot 206","http://dbpedia.org/resource/Peugeot_206","Barra de Carrasco","http://dbpedia.org/resource/Barra_de_Carrasco","2006","475100"
"Ford Motor Company","http://dbpedia.org/resource/Ford_Motor_Company","United Statess","http://dbpedia.org/resource/United_States","Ford Five Hundred","http://dbpedia.org/resource/Ford_Five_Hundred","Chicago","http://dbpedia.org/resource/Chicago","2006","84218"
"Peugeot","http://dbpedia.org/resource/Peugeot","France","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","Villa Bosch","http://dbpedia.org/resource/Villa_Bosch","2006","447000"
"Peugeot","http://dbpedia.org/resource/Peugeot","Francee","http://dbpedia.org/resource/France","Peugeot 307","http://dbpedia.org/resource/Peugeot_307","El Palomar, Buenos Aires","http://dbpedia.org/resource/El_Palomar,_Buenos_Aires","2006","447000"
"General Motors","http://dbpedia.org/resource/General_Motors","United Statess","http://dbpedia.org/resource/United_States","Pontiac Aztek","http://dbpedia.org/resource/Pontiac_Aztek","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2006","347"
"General Motors","http://dbpedia.org/resource/General_Motors","United States","http://dbpedia.org/resource/United_States","Buick Rendezvous","http://dbpedia.org/resource/Buick_Rendezvous","Ramos Arizpe","http://dbpedia.org/resource/Ramos_Arizpe","2006","45954"
"Cadillac","http://dbpedia.org/resource/Cadillac","United States","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad Oblast","http://dbpedia.org/resource/Kaliningrad_Oblast","2006","25676"
"Cadillac","http://dbpedia.org/resource/Cadillac","United States","http://dbpedia.org/resource/United_States","Cadillac STS","http://dbpedia.org/resource/Cadillac_STS","Kaliningrad","http://dbpedia.org/resource/Kaliningrad","2006","25676"
"Lincoln Motor Company","http://dbpedia.org/resource/Lincoln_Motor_Company","United Sttates","http://dbpedia.org/resource/United_States","Lincoln Mark LT","http://dbpedia.org/resource/Lincoln_Mark_LT","Cuautitlán","http://dbpedia.org/resource/Cuautitlán","2006","12753"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germaany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Pekan District","http://dbpedia.org/resource/Pekan_District","2006","50195"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germanyy","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Graz","http://dbpedia.org/resource/Graz","2006","50195"
"Daimler AG","http://dbpedia.org/resource/Daimler_AG","Germany","http://dbpedia.org/resource/Germany","Mercedes-Benz E-Class (W211)","http://dbpedia.org/resource/Mercedes-Benz_E-Class_(W211)","Tehran","http://dbpedia.org/resource/Tehran","2006","50195"
