"product","product__URI","company","company__URI","industry","industry__URI","location","location__URI","revenue","country","country__URI"
"ITSM","http://dbpedia.org/resource/ITSM","Globant","http://dbpedia.org/resource/Globant","Software development","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Mainframe computer","http://dbpedia.org/resource/Mainframe_computer","Globant","http://dbpedia.org/resource/Globant","Software development","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Software Development","http://dbpedia.org/resource/Software_Development","Globant","http://dbpedia.org/resource/Globant","Software development","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Mobile application development","http://dbpedia.org/resource/Mobile_application_development","Globant","http://dbpedia.org/resource/Globant","Software development","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Social Networks","http://dbpedia.org/resource/Social_Networks","Globant","http://dbpedia.org/resource/Globant","Software development","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Knife","http://dbpedia.org/resource/Knife","Böker","http://dbpedia.org/resource/Böker","Manufacturing","http://dbpedia.org/resource/Manufacturing","Solingen","http://dbpedia.org/resource/Solingen","3.0E7","Germany","http://dbpedia.org/resource/Germany"
"Steel","http://dbpedia.org/resource/Steel","Ternium","http://dbpedia.org/resource/Ternium","Manufacturing","http://dbpedia.org/resource/Manufacturing","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Coke (fuel)","http://dbpedia.org/resource/Coke_(fuel)","Ternium","http://dbpedia.org/resource/Ternium","Manufacturing","http://dbpedia.org/resource/Manufacturing","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Cast iron","http://dbpedia.org/resource/Cast_iron","Ternium","http://dbpedia.org/resource/Ternium","Manufacturing","http://dbpedia.org/resource/Manufacturing","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Slag","http://dbpedia.org/resource/Slag","Ternium","http://dbpedia.org/resource/Ternium","Manufacturing","http://dbpedia.org/resource/Manufacturing","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Furniture","http://dbpedia.org/resource/Furniture","Friul Intagli Industries S.p.A.","http://dbpedia.org/resource/Friul_Intagli_Industries_S.p.A.","Manufacturing","http://dbpedia.org/resource/Manufacturing","Pordenone","http://dbpedia.org/resource/Pordenone","9.5E8","Italy","http://dbpedia.org/resource/Italy"
"Postage meters","http://dbpedia.org/resource/Postage_meters","Neopost","http://dbpedia.org/resource/Neopost","Manufacturing","http://dbpedia.org/resource/Manufacturing","Bagneux, Hauts-de-Seine","http://dbpedia.org/resource/Bagneux,_Hauts-de-Seine","1.096E9","France","http://dbpedia.org/resource/France"
"Document management system","http://dbpedia.org/resource/Document_management_system","Neopost","http://dbpedia.org/resource/Neopost","Manufacturing","http://dbpedia.org/resource/Manufacturing","Bagneux, Hauts-de-Seine","http://dbpedia.org/resource/Bagneux,_Hauts-de-Seine","1.096E9","France","http://dbpedia.org/resource/France"
"Franking machines","http://dbpedia.org/resource/Franking_machines","Neopost","http://dbpedia.org/resource/Neopost","Manufacturing","http://dbpedia.org/resource/Manufacturing","Bagneux, Hauts-de-Seine","http://dbpedia.org/resource/Bagneux,_Hauts-de-Seine","1.096E9","France","http://dbpedia.org/resource/France"
"Cake","http://dbpedia.org/resource/Cake","Dr. Oetker","http://dbpedia.org/resource/Dr._Oetker","Food processing","http://dbpedia.org/resource/Food_processing","Bielefeld","http://dbpedia.org/resource/Bielefeld","1.09E10","Germany","http://dbpedia.org/resource/Germany"
