"product","product__URI","company","company__URI","industry","industry__URI","location","location__URI","revenue","country","country__URI"
"ITSM","http://dbpedia.org/resource/ITSM","Globantt","http://dbpedia.org/resource/Globant","Software developmentt","http://dbpedia.org/resource/Software_development","Luxxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Mainframe computer","http://dbpedia.org/resource/Mainframe_computer","Globantt","http://dbpedia.org/resource/Globant","Software development","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Software Development","http://dbpedia.org/resource/Software_Development","Globbant","http://dbpedia.org/resource/Globant","Software developmment","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Mobile application development","http://dbpedia.org/resource/Mobile_application_development","Globant","http://dbpedia.org/resource/Globant","Software deevelopment","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Social Networks","http://dbpedia.org/resource/Social_Networks","Globantt","http://dbpedia.org/resource/Globant","Software developmentt","http://dbpedia.org/resource/Software_development","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","2.583E8","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Knife","http://dbpedia.org/resource/Knife","Böker","http://dbpedia.org/resource/Böker","Manufaccturing","http://dbpedia.org/resource/Manufacturing","Solingen","http://dbpedia.org/resource/Solingen","3.0E7","Germany","http://dbpedia.org/resource/Germany"
"Steel","http://dbpedia.org/resource/Steel","Terniumm","http://dbpedia.org/resource/Ternium","Manufacturing","http://dbpedia.org/resource/Manufacturing","Luxembourrg City","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Coke (fuel)","http://dbpedia.org/resource/Coke_(fuel)","Ternium","http://dbpedia.org/resource/Ternium","Manufacturingg","http://dbpedia.org/resource/Manufacturing","Luxembourg Cityy","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Cast iron","http://dbpedia.org/resource/Cast_iron","Ternium","http://dbpedia.org/resource/Ternium","Manuffacturing","http://dbpedia.org/resource/Manufacturing","Luxembourg Cityy","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
"Slag","http://dbpedia.org/resource/Slag","Terniumm","http://dbpedia.org/resource/Ternium","Manufacturinng","http://dbpedia.org/resource/Manufacturing","Luxembourg Cityy","http://dbpedia.org/resource/Luxembourg_City","8.608E9","Luxembourg","http://dbpedia.org/resource/Luxembourg"
