"publisher","publisher__URI","videogame","videogame__URI","genre","genre__URI","platform","platform__URI","releaseDate"
"Capcom","http://dbpedia.org/resource/Capcom","Resident Evil (2002 video game)","http://dbpedia.org/resource/Resident_Evil_(2002_video_game)","Survival horror","http://dbpedia.org/resource/Survival_horror","Xbox One","http://dbpedia.org/resource/Xbox_One","1930-04-02"
"Acclaim Entertainment","http://dbpedia.org/resource/Acclaim_Entertainment","Turok: Dinosaur Hunter","http://dbpedia.org/resource/Turok:_Dinosaur_Hunter","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1997-03-04"
"Acclaim Entertainment","http://dbpedia.org/resource/Acclaim_Entertainment","Turok 2: Seeds of Evil","http://dbpedia.org/resource/Turok_2:_Seeds_of_Evil","First-person shooter","http://dbpedia.org/resource/First-person_shooter","Xbox One","http://dbpedia.org/resource/Xbox_One","1998-10-21"
"Nicalis","http://dbpedia.org/resource/Nicalis","1001 Spikes","http://dbpedia.org/resource/1001_Spikes","Adventure game","http://dbpedia.org/resource/Adventure_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-14"
"Nicalis","http://dbpedia.org/resource/Nicalis","1001 Spikes","http://dbpedia.org/resource/1001_Spikes","Platform game","http://dbpedia.org/resource/Platform_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-14"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Beat 'em up","http://dbpedia.org/resource/Beat_'em_up","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-10"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Beat 'em up","http://dbpedia.org/resource/Beat_'em_up","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-08-27"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Action game","http://dbpedia.org/resource/Action_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-10"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Action game","http://dbpedia.org/resource/Action_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-08-27"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Role-playing video game","http://dbpedia.org/resource/Role-playing_video_game","Xbox One","http://dbpedia.org/resource/Xbox_One","1925-11-10"
"The Behemoth","http://dbpedia.org/resource/The_Behemoth","Castle Crashers","http://dbpedia.org/resource/Castle_Crashers","Role-playing video game","http://dbpedia.org/resource/Role-playing_video_game","Xbox One","http://dbpedia.org/resource/Xbox_One","2008-08-27"
