"country","country__URI","capital","capital__URI","most_populated_city","most_populated_city__URI","maxPop"
"Poland","http://dbpedia.org/resource/Poland","Capital City of Warsaw","http://dbpedia.org/resource/Warsaw","Korzeniew","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"Poland","http://dbpedia.org/resource/Poland","Miasto stołeczne Warszawa","http://dbpedia.org/resource/Warsaw","Korzeniew","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"Poland","http://dbpedia.org/resource/Poland","Warszawa","http://dbpedia.org/resource/Warsaw","Korzeniew","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"Poland","http://dbpedia.org/resource/Poland","Warsaw","http://dbpedia.org/resource/Warsaw","Korzeniew","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","London","http://dbpedia.org/resource/London","Cwmffrwd","http://dbpedia.org/resource/Cwmffrwd","739474738293874"
"Romania","http://dbpedia.org/resource/Romania","Bucharest","http://dbpedia.org/resource/Bucharest","Carei","http://dbpedia.org/resource/Carei","211122011"
"Romania","http://dbpedia.org/resource/Romania","București","http://dbpedia.org/resource/Bucharest","Carei","http://dbpedia.org/resource/Carei","211122011"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","Istanbul","http://dbpedia.org/resource/Istanbul","14025646"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","İstanbul","http://dbpedia.org/resource/Istanbul","14025646"
"Italy","http://dbpedia.org/resource/Italy","Rome","http://dbpedia.org/resource/Rome","Metropolitan City of Rome Capital","http://dbpedia.org/resource/Metropolitan_City_of_Rome_Capital","4333689"
"Italy","http://dbpedia.org/resource/Italy","Roma Capitale","http://dbpedia.org/resource/Rome","Metropolitan City of Rome Capital","http://dbpedia.org/resource/Metropolitan_City_of_Rome_Capital","4333689"
