"country","country__URI","capital","capital__URI","most_populated_city","most_populated_city__URI","maxPop"
"Poland","http://dbpedia.org/resource/Poland","Capital City of Warsaww","http://dbpedia.org/resource/Warsaw","Korzeniew","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"Poland","http://dbpedia.org/resource/Poland","Miasto stołeczne Warszawa","http://dbpedia.org/resource/Warsaw","Korzenieww","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"Poland","http://dbpedia.org/resource/Poland","Warszawaa","http://dbpedia.org/resource/Warsaw","Korzenniew","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"Poland","http://dbpedia.org/resource/Poland","Warsaw","http://dbpedia.org/resource/Warsaw","Korzenieww","http://dbpedia.org/resource/Korzeniew","1000000000000000"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","Londonn","http://dbpedia.org/resource/London","Cwmffrwdd","http://dbpedia.org/resource/Cwmffrwd","739474738293874"
"Romania","http://dbpedia.org/resource/Romania","Bucharestt","http://dbpedia.org/resource/Bucharest","Carei","http://dbpedia.org/resource/Carei","211122011"
"Romania","http://dbpedia.org/resource/Romania","BBucurești","http://dbpedia.org/resource/Bucharest","Careii","http://dbpedia.org/resource/Carei","211122011"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","Istanbull","http://dbpedia.org/resource/Istanbul","14025646"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","İstanbull","http://dbpedia.org/resource/Istanbul","14025646"
"Italy","http://dbpedia.org/resource/Italy","Romee","http://dbpedia.org/resource/Rome","Metropolitan City of Rome Capitall","http://dbpedia.org/resource/Metropolitan_City_of_Rome_Capital","4333689"
"Italy","http://dbpedia.org/resource/Italy","RRoma Capitale","http://dbpedia.org/resource/Rome","Metropolitan City of Rome Capital","http://dbpedia.org/resource/Metropolitan_City_of_Rome_Capital","4333689"
"Italy","http://dbpedia.org/resource/Italy","Rooma","http://dbpedia.org/resource/Rome","Metropolitan City of Romme Capital","http://dbpedia.org/resource/Metropolitan_City_of_Rome_Capital","4333689"
"Spain","http://dbpedia.org/resource/Spain","Latin:Ursaria","http://dbpedia.org/resource/Madrid","Madrid","http://dbpedia.org/resource/Madrid","3141991"
"Spain","http://dbpedia.org/resource/Spain","Madrid","http://dbpedia.org/resource/Madrid","Latin:Ursariaa","http://dbpedia.org/resource/Madrid","3141991"
"Spain","http://dbpedia.org/resource/Spain","Latin:Ursariaa","http://dbpedia.org/resource/Madrid","Latin:Ursaria","http://dbpedia.org/resource/Madrid","3141991"
"Spain","http://dbpedia.org/resource/Spain","Madrid","http://dbpedia.org/resource/Madrid","Madridd","http://dbpedia.org/resource/Madrid","3141991"
"Belarus","http://dbpedia.org/resource/Belarus","Minsk","http://dbpedia.org/resource/Minsk","Minsk","http://dbpedia.org/resource/Minsk","1921807"
"Belarus","http://dbpedia.org/resource/Belarus","ММінскМинск","http://dbpedia.org/resource/Minsk","МінскМинск","http://dbpedia.org/resource/Minsk","1921807"
"Belarus","http://dbpedia.org/resource/Belarus","МінскМинскк","http://dbpedia.org/resource/Minsk","Minsk","http://dbpedia.org/resource/Minsk","1921807"
"Belarus","http://dbpedia.org/resource/Belarus","Minsk","http://dbpedia.org/resource/Minsk","МінскМинск","http://dbpedia.org/resource/Minsk","1921807"
"Austria","http://dbpedia.org/resource/Austria","Viennaa","http://dbpedia.org/resource/Vienna","Viennna","http://dbpedia.org/resource/Vienna","1852997"
"Austria","http://dbpedia.org/resource/Austria","Vienna","http://dbpedia.org/resource/Vienna","Wien","http://dbpedia.org/resource/Vienna","1852997"
"Austria","http://dbpedia.org/resource/Austria","Wien","http://dbpedia.org/resource/Vienna","Viennaa","http://dbpedia.org/resource/Vienna","1852997"
"Austria","http://dbpedia.org/resource/Austria","Wiien","http://dbpedia.org/resource/Vienna","Wieen","http://dbpedia.org/resource/Vienna","1852997"
"Hungary","http://dbpedia.org/resource/Hungary","Budapest","http://dbpedia.org/resource/Budapest","Capital City of Budapestt","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Budapest","http://dbpedia.org/resource/Budapest","Budapestt","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Budapestt","http://dbpedia.org/resource/Budapest","Budapest fővárros","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Budapest főváros","http://dbpedia.org/resource/Budapest","Budapest főváross","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Capital City of Budapestt","http://dbpedia.org/resource/Budapest","Capittal City of Budapest","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Budapeest főváros","http://dbpedia.org/resource/Budapest","Buudapest","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Capital City of Budapest","http://dbpedia.org/resource/Budapest","Budapestt főváros","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Capital City of Budapest","http://dbpedia.org/resource/Budapest","Budapestt","http://dbpedia.org/resource/Budapest","1759407"
"Hungary","http://dbpedia.org/resource/Hungary","Budapest főváros","http://dbpedia.org/resource/Budapest","Capital City of Budapest","http://dbpedia.org/resource/Budapest","1759407"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Астанаа","http://dbpedia.org/resource/Astana","Almatyy","http://dbpedia.org/resource/Almaty","1703481"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Astaana","http://dbpedia.org/resource/Astana","Алматы","http://dbpedia.org/resource/Almaty","1703481"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Астанаа","http://dbpedia.org/resource/Astana","Алматы","http://dbpedia.org/resource/Almaty","1703481"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Astana","http://dbpedia.org/resource/Astana","Almaty","http://dbpedia.org/resource/Almaty","1703481"
"Ukraine","http://dbpedia.org/resource/Ukraine","Kievv","http://dbpedia.org/resource/Kiev","Kharkov (Харьков))","http://dbpedia.org/resource/Kharkiv","1430885"
"Ukraine","http://dbpedia.org/resource/Ukraine","Kievv","http://dbpedia.org/resource/Kiev","Kharkiv (Харків))","http://dbpedia.org/resource/Kharkiv","1430885"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prahaa","http://dbpedia.org/resource/Prague","Hlavní město Praha","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prague","http://dbpedia.org/resource/Prague","Prahaa","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Prague","http://dbpedia.org/resource/Prague","Prague","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Praha","http://dbpedia.org/resource/Prague","Praguee","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Hlavní město Praha","http://dbpedia.org/resource/Prague","Praha","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","HHlavní město Praha","http://dbpedia.org/resource/Prague","Hlavní město Praha","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","PPrague","http://dbpedia.org/resource/Prague","Hlavní město  Praha","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Hlavní město Prahaa","http://dbpedia.org/resource/Prague","Prague","http://dbpedia.org/resource/Prague","1267449"
"the Czech Republic","http://dbpedia.org/resource/Czech_Republic","Praaha","http://dbpedia.org/resource/Prague","Prahaa","http://dbpedia.org/resource/Prague","1267449"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","София","http://dbpedia.org/resource/Sofia","Sofiaa","http://dbpedia.org/resource/Sofia","1260120"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Sofia","http://dbpedia.org/resource/Sofia","София","http://dbpedia.org/resource/Sofia","1260120"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","София","http://dbpedia.org/resource/Sofia","Соффия","http://dbpedia.org/resource/Sofia","1260120"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Sofiaa","http://dbpedia.org/resource/Sofia","Sofia","http://dbpedia.org/resource/Sofia","1260120"
"Armenia","http://dbpedia.org/resource/Armenia","Yerevann","http://dbpedia.org/resource/Yerevan","Երևանն","http://dbpedia.org/resource/Yerevan","1060138"
"Armenia","http://dbpedia.org/resource/Armenia","Yerevann","http://dbpedia.org/resource/Yerevan","Yerrevan","http://dbpedia.org/resource/Yerevan","1060138"
"Armenia","http://dbpedia.org/resource/Armenia","Երևան","http://dbpedia.org/resource/Yerevan","Երևանն","http://dbpedia.org/resource/Yerevan","1060138"
"Armenia","http://dbpedia.org/resource/Armenia","Երևանն","http://dbpedia.org/resource/Yerevan","YYerevan","http://dbpedia.org/resource/Yerevan","1060138"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Bakı","http://dbpedia.org/resource/Baku","Gəncə","http://dbpedia.org/resource/Ganja,_Azerbaijan","825900"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Bakıı","http://dbpedia.org/resource/Baku","Ganja","http://dbpedia.org/resource/Ganja,_Azerbaijan","825900"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","BBaku","http://dbpedia.org/resource/Baku","Gəncəə","http://dbpedia.org/resource/Ganja,_Azerbaijan","825900"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Baku","http://dbpedia.org/resource/Baku","Ganja","http://dbpedia.org/resource/Ganja,_Azerbaijan","825900"
"Croatia","http://dbpedia.org/resource/Croatia","City of Zagrebb","http://dbpedia.org/resource/Zagreb","Zagrebb","http://dbpedia.org/resource/Zagreb","792875"
"Croatia","http://dbpedia.org/resource/Croatia","Zagreb","http://dbpedia.org/resource/Zagreb","City of Zagreb","http://dbpedia.org/resource/Zagreb","792875"
"Croatia","http://dbpedia.org/resource/Croatia","Zagrreb","http://dbpedia.org/resource/Zagreb","Zagreb","http://dbpedia.org/resource/Zagreb","792875"
"Croatia","http://dbpedia.org/resource/Croatia","City of Zagrebb","http://dbpedia.org/resource/Zagreb","City of Zagreb","http://dbpedia.org/resource/Zagreb","792875"
"Latvia","http://dbpedia.org/resource/Latvia","Rīgaa","http://dbpedia.org/resource/Riga","Rigaa","http://dbpedia.org/resource/Riga","696593"
"Latvia","http://dbpedia.org/resource/Latvia","Rīga","http://dbpedia.org/resource/Riga","Rīgaa","http://dbpedia.org/resource/Riga","696593"
"Latvia","http://dbpedia.org/resource/Latvia","Rigaa","http://dbpedia.org/resource/Riga","RRiga","http://dbpedia.org/resource/Riga","696593"
"Latvia","http://dbpedia.org/resource/Latvia","Rigaa","http://dbpedia.org/resource/Riga","Rīgaa","http://dbpedia.org/resource/Riga","696593"
"Sweden","http://dbpedia.org/resource/Sweden","Stockhholm","http://dbpedia.org/resource/Stockholm","Göteborg","http://dbpedia.org/resource/Gothenburg","549789"
"Konungariket Sverige","http://dbpedia.org/resource/Sweden","Stockholm","http://dbpedia.org/resource/Stockholm","Gothenburgg","http://dbpedia.org/resource/Gothenburg","549789"
"Konungariket Sverige","http://dbpedia.org/resource/Sweden","Stockholmm","http://dbpedia.org/resource/Stockholm","Göteborg","http://dbpedia.org/resource/Gothenburg","549789"
"Sweden","http://dbpedia.org/resource/Sweden","Stockholm","http://dbpedia.org/resource/Stockholm","Gothenburg","http://dbpedia.org/resource/Gothenburg","549789"
"Moldova","http://dbpedia.org/resource/Moldova","Chișinău","http://dbpedia.org/resource/Chișinău","Chișinău","http://dbpedia.org/resource/Chișinău","492894"
"Estonia","http://dbpedia.org/resource/Estonia","Taallinn","http://dbpedia.org/resource/Tallinn","Tallinnn","http://dbpedia.org/resource/Tallinn","443268"
"Slovakia","http://dbpedia.org/resource/Slovakia","Bratislava","http://dbpedia.org/resource/Bratislava","Malé Dvorníkyy","http://dbpedia.org/resource/Malé_Dvorníky","400069"
"Greece","http://dbpedia.org/resource/Greece","ΑΑθήνα","http://dbpedia.org/resource/Athens","Thesssaloniki","http://dbpedia.org/resource/Thessaloniki","385406"
"Greece","http://dbpedia.org/resource/Greece","Athens","http://dbpedia.org/resource/Athens","Thessalonikii","http://dbpedia.org/resource/Thessaloniki","385406"
"Republika Srbija","http://dbpedia.org/resource/Serbia","City of Belgradee","http://dbpedia.org/resource/Belgrade","Palić","http://dbpedia.org/resource/Palić","365570"
"Република Србија","http://dbpedia.org/resource/Serbia","Belgrade","http://dbpedia.org/resource/Belgrade","Палић","http://dbpedia.org/resource/Palić","365570"
"Republika Srbija","http://dbpedia.org/resource/Serbia","Belgraade","http://dbpedia.org/resource/Belgrade","Паалић","http://dbpedia.org/resource/Palić","365570"
"Republika Srbija","http://dbpedia.org/resource/Serbia","Cityy of Belgrade","http://dbpedia.org/resource/Belgrade","Палићћ","http://dbpedia.org/resource/Palić","365570"
"Republika Srbija","http://dbpedia.org/resource/Serbia","Beograd / Београдд","http://dbpedia.org/resource/Belgrade","Палићћ","http://dbpedia.org/resource/Palić","365570"
"Serbia","http://dbpedia.org/resource/Serbia","City of Belgradee","http://dbpedia.org/resource/Belgrade","Паалић","http://dbpedia.org/resource/Palić","365570"
"Republika Srbija","http://dbpedia.org/resource/Serbia","Belgraade","http://dbpedia.org/resource/Belgrade","Pallić","http://dbpedia.org/resource/Palić","365570"
"Republika Srbija","http://dbpedia.org/resource/Serbia","Beograd / Београд","http://dbpedia.org/resource/Belgrade","Palićć","http://dbpedia.org/resource/Palić","365570"
"Serbia","http://dbpedia.org/resource/Serbia","City of Belgrade","http://dbpedia.org/resource/Belgrade","Palićć","http://dbpedia.org/resource/Palić","365570"
"Serbia","http://dbpedia.org/resource/Serbia","Beograd / Београдд","http://dbpedia.org/resource/Belgrade","Палиић","http://dbpedia.org/resource/Palić","365570"
"Република Србија","http://dbpedia.org/resource/Serbia","City of Belgrade","http://dbpedia.org/resource/Belgrade","Палић","http://dbpedia.org/resource/Palić","365570"
"Serbia","http://dbpedia.org/resource/Serbia","Belgrade","http://dbpedia.org/resource/Belgrade","Палићћ","http://dbpedia.org/resource/Palić","365570"
"Република Србија","http://dbpedia.org/resource/Serbia","Beograd / Београдд","http://dbpedia.org/resource/Belgrade","Palićć","http://dbpedia.org/resource/Palić","365570"
"Република Србија","http://dbpedia.org/resource/Serbia","Belgrade","http://dbpedia.org/resource/Belgrade","Paalić","http://dbpedia.org/resource/Palić","365570"
"Република Србија","http://dbpedia.org/resource/Serbia","City of Belgradee","http://dbpedia.org/resource/Belgrade","Palićć","http://dbpedia.org/resource/Palić","365570"
"Република Србија","http://dbpedia.org/resource/Serbia","Beograd / Београд","http://dbpedia.org/resource/Belgrade","Палићћ","http://dbpedia.org/resource/Palić","365570"
"Serbia","http://dbpedia.org/resource/Serbia","Beograd / Беогград","http://dbpedia.org/resource/Belgrade","Palić","http://dbpedia.org/resource/Palić","365570"
"Serbia","http://dbpedia.org/resource/Serbia","Belgrade","http://dbpedia.org/resource/Belgrade","Pallić","http://dbpedia.org/resource/Palić","365570"
"France","http://dbpedia.org/resource/France","PParis","http://dbpedia.org/resource/Paris","Poiitiers","http://dbpedia.org/resource/Poitiers","298339"
"Lithuania","http://dbpedia.org/resource/Lithuania","Vilniuss","http://dbpedia.org/resource/Vilnius","Kaunnas","http://dbpedia.org/resource/Kaunas","297669"
"Slovenia","http://dbpedia.org/resource/Slovenia","Ljubljana","http://dbpedia.org/resource/Ljubljana","Ljubljana","http://dbpedia.org/resource/City_Municipality_of_Ljubljana","287218"
"Norway","http://dbpedia.org/resource/Norway","OOslo","http://dbpedia.org/resource/Oslo","Bergenn","http://dbpedia.org/resource/Bergen","278121"
"Kosovo","http://dbpedia.org/resource/Kosovo","Prisstina","http://dbpedia.org/resource/Pristina","Pristinaa","http://dbpedia.org/resource/Pristina","211129"
"Kosovo","http://dbpedia.org/resource/Kosovo","Pristina","http://dbpedia.org/resource/Pristina","City of Pristina","http://dbpedia.org/resource/Pristina","211129"
"Kosovo","http://dbpedia.org/resource/Kosovo","City of Pristina","http://dbpedia.org/resource/Pristina","Pristina","http://dbpedia.org/resource/Pristina","211129"
"Kosovo","http://dbpedia.org/resource/Kosovo","City of Pristinaa","http://dbpedia.org/resource/Pristina","City of Pristina","http://dbpedia.org/resource/Pristina","211129"
"Montenegro","http://dbpedia.org/resource/Montenegro","Podggorica","http://dbpedia.org/resource/Podgorica","Podgorica","http://dbpedia.org/resource/Podgorica","187085"
"Crna Gora","http://dbpedia.org/resource/Montenegro","Podgoricaa","http://dbpedia.org/resource/Podgorica","Podgorica","http://dbpedia.org/resource/Podgorica","187085"
"Црна Гора","http://dbpedia.org/resource/Montenegro","Podgorica","http://dbpedia.org/resource/Podgorica","City  of Podgorica","http://dbpedia.org/resource/Podgorica","187085"
"Црна Гора","http://dbpedia.org/resource/Montenegro","City of Podgorica","http://dbpedia.org/resource/Podgorica","City of Podgoricaa","http://dbpedia.org/resource/Podgorica","187085"
"Montenegro","http://dbpedia.org/resource/Montenegro","Podgoorica","http://dbpedia.org/resource/Podgorica","City of Podgoricaa","http://dbpedia.org/resource/Podgorica","187085"
"Montenegro","http://dbpedia.org/resource/Montenegro","City of Podgoricaa","http://dbpedia.org/resource/Podgorica","City of Podgorrica","http://dbpedia.org/resource/Podgorica","187085"
"Montenegro","http://dbpedia.org/resource/Montenegro","City of Podgorica","http://dbpedia.org/resource/Podgorica","Podgoricaa","http://dbpedia.org/resource/Podgorica","187085"
"Црна Гора","http://dbpedia.org/resource/Montenegro","Podgoricaa","http://dbpedia.org/resource/Podgorica","Podgoricaa","http://dbpedia.org/resource/Podgorica","187085"
"Crna Gora","http://dbpedia.org/resource/Montenegro","City of Podgoricaa","http://dbpedia.org/resource/Podgorica","Podgorica","http://dbpedia.org/resource/Podgorica","187085"
"Црна Гора","http://dbpedia.org/resource/Montenegro","City of Podgorica","http://dbpedia.org/resource/Podgorica","Podgoricaa","http://dbpedia.org/resource/Podgorica","187085"
