"protectedArea","protectedArea__URI","area","visitors","nearestCity","nearestCity__URI","admRegion","admRegion__URI"
"GGreat Basin National Park","http://dbpedia.org/resource/Great_Basin_National_Park","3.12336e+08","116123","Bordder, Utah","http://dbpedia.org/resource/Border,_Utah","Nevadaa","http://dbpedia.org/resource/Nevada"
"Florissant Fossil Beds Nationnal Monument","http://dbpedia.org/resource/Florissant_Fossil_Beds_National_Monument","2.4273e+07","61289","Florissant, Coloradoo","http://dbpedia.org/resource/Florissant,_Colorado","Coloradoo","http://dbpedia.org/resource/Colorado"
"Golden Gate National Recreation Areaa","http://dbpedia.org/resource/Golden_Gate_National_Recreation_Area","3.23757e+08","15004420","California","http://dbpedia.org/resource/California","Califorrnia","http://dbpedia.org/resource/California"
"Rocky Mountain National  Park","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Coolorado","http://dbpedia.org/resource/Colorado","Colorado","http://dbpedia.org/resource/Colorado"
"Dayton Aviation Heritage National Historicaal Park","http://dbpedia.org/resource/Dayton_Aviation_Heritage_National_Historical_Park","348030.0","73588","Dayton, Ohioo","http://dbpedia.org/resource/Dayton,_Ohio","Ohioo","http://dbpedia.org/resource/Ohio"
"Moores Creek Natioonal Battlefield","http://dbpedia.org/resource/Moores_Creek_National_Battlefield","356123.0","48406","North Carolina","http://dbpedia.org/resource/North_Carolina","North Carolina","http://dbpedia.org/resource/North_Carolina"
"Dayton Aviation Heritage National Historical Park","http://dbpedia.org/resource/Dayton_Aviation_Heritage_National_Historical_Park","348030.0","73588","OOhio","http://dbpedia.org/resource/Ohio","Ohio","http://dbpedia.org/resource/Ohio"
"Great Basin National Park","http://dbpedia.org/resource/Great_Basin_National_Park","3.12336e+08","116123","Baker, Nevadaa","http://dbpedia.org/resource/Baker,_Nevada","Nevada","http://dbpedia.org/resource/Nevada"
"Chattahoochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","2.05257e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Georgia (U.S. state)","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Chattahoochee River National Recreation Area","http://dbpedia.org/resource/Chattahoochee_River_National_Recreation_Area","3.96228e+07","3161297","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Georgia (U.S. state)","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Kennesaw Mountain National Battlefield Parkk","http://dbpedia.org/resource/Kennesaw_Mountain_National_Battlefield_Park","1.16879e+07","1005510","Atlanta, Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Georgia (UU.S. state)","http://dbpedia.org/resource/Georgia_(U.S._state)"
"KKennesaw Mountain National Battlefield Park","http://dbpedia.org/resource/Kennesaw_Mountain_National_Battlefield_Park","1.1829e+07","1005510","Atlanta,  Georgia","http://dbpedia.org/resource/Atlanta,_Georgia","Georgia (U.S. state))","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Cuyahoga Valley National Park","http://dbpedia.org/resource/Cuyahoga_Valley_National_Park","1.33344e+08","2284612","Akron, Ohio","http://dbpedia.org/resource/Akron,_Ohio","Ohio","http://dbpedia.org/resource/Ohio"
"Great Sand Dunes National Park and Preservee","http://dbpedia.org/resource/Great_Sand_Dunes_National_Park_and_Preserve","3.43971e+08","271774","Alamosa, Coloradoo","http://dbpedia.org/resource/Alamosa,_Colorado","Coloraddo","http://dbpedia.org/resource/Colorado"
"Death Valley National Park","http://dbpedia.org/resource/Death_Valley_National_Park","1.36503e+10","1101312","Beatty, Nevada","http://dbpedia.org/resource/Beatty,_Nevada","Californiaa","http://dbpedia.org/resource/California"
"Death Valley National Parkk","http://dbpedia.org/resource/Death_Valley_National_Park","1.36503e+10","1101312","Beatty, Nevvada","http://dbpedia.org/resource/Beatty,_Nevada","Nevada","http://dbpedia.org/resource/Nevada"
"Bighorn CCanyon National Recreation Area","http://dbpedia.org/resource/Bighorn_Canyon_National_Recreation_Area","4.86822e+08","201010","Billings, Montana","http://dbpedia.org/resource/Billings,_Montana","Montana","http://dbpedia.org/resource/Montana"
"Mammoth Cave National Park","http://dbpedia.org/resource/Mammoth_Cave_National_Park","2.13795e+08","508054","Brownsville, Kentucky","http://dbpedia.org/resource/Brownsville,_Kentucky","Kentuckyy","http://dbpedia.org/resource/Kentucky"
"Chickamauga and Chattanooga National Military Parkk","http://dbpedia.org/resource/Chickamauga_and_Chattanooga_National_Military_Park","3.63124e+07","901384","Chattanooga,  Tennessee","http://dbpedia.org/resource/Chattanooga,_Tennessee","Georgia (U.S. state))","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Chickamauga and Chattanooga National Military Park","http://dbpedia.org/resource/Chickamauga_and_Chattanooga_National_Military_Park","3.65674e+07","901384","Chattanooga, Tennesseee","http://dbpedia.org/resource/Chattanooga,_Tennessee","Georgia (U.S. state))","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Indiana Dunes National Lakeshoree","http://dbpedia.org/resource/Indiana_Dunes_National_Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","http://dbpedia.org/resource/Chesterton,_Indiana","LaPorte County, Indianaa","http://dbpedia.org/resource/LaPorte_County,_Indiana"
"Indiana DDunes National Lakeshore","http://dbpedia.org/resource/Indiana_Dunes_National_Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","http://dbpedia.org/resource/Chesterton,_Indiana","Lake County, Indiiana","http://dbpedia.org/resource/Lake_County,_Indiana"
"Indiana Dunees National Lakeshore","http://dbpedia.org/resource/Indiana_Dunes_National_Lakeshore","6.0974e+07","2127336","Chesterton, Indianaa","http://dbpedia.org/resource/Chesterton,_Indiana","Porter  County, Indiana","http://dbpedia.org/resource/Porter_County,_Indiana"
"Glaccier National Park","http://dbpedia.org/resource/Glacier_National_Park_(U.S.)","4.10077e+09","2338528","Collumbia Falls, Montana","http://dbpedia.org/resource/Columbia_Falls,_Montana","Montanaa","http://dbpedia.org/resource/Montana"
"Wrangell–St. Elias National Park and Preservee","http://dbpedia.org/resource/Wrangell–St._Elias_National_Park_and_Preserve","1.9638e+10","87158","Copper Center, Alaska","http://dbpedia.org/resource/Copper_Center,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Wrangell–St. Elias National Park and Preservee","http://dbpedia.org/resource/Wrangell–St._Elias_National_Park_and_Preserve","3.36826e+10","87158","Copper Center, Alaska","http://dbpedia.org/resource/Copper_Center,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Wrangell–St. Elias National Park and Preservee","http://dbpedia.org/resource/Wrangell–St._Elias_National_Park_and_Preserve","5.33206e+10","87158","Copper Center, Alaska","http://dbpedia.org/resource/Copper_Center,_Alaska","Alaskaa","http://dbpedia.org/resource/Alaska"
"Great Basin National Parkk","http://dbpedia.org/resource/Great_Basin_National_Park","3.12336e+08","116123","Ely, Nevadaa","http://dbpedia.org/resource/Ely,_Nevada","Nevadda","http://dbpedia.org/resource/Nevada"
"Ozark National Scenic Riverwayss","http://dbpedia.org/resource/Ozark_National_Scenic_Riverways","3.23749e+08","1789783","Eminence, Missouri","http://dbpedia.org/resource/Eminence,_Missouri","Missourii","http://dbpedia.org/resource/Missouri"
"Tallgrass Prairie National Preserve","http://dbpedia.org/resource/Tallgrass_Prairie_National_Preserve","4.40865e+07","17615","Emporia, Kansas","http://dbpedia.org/resource/Emporia,_Kansas","Chase County, Kansass","http://dbpedia.org/resource/Chase_County,_Kansas"
"Rocky Mountain National PPark","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Estes Park, Colorado","http://dbpedia.org/resource/Estes_Park,_Colorado","Colorado","http://dbpedia.org/resource/Colorado"
"Yukon-Charleyy Rivers National Preserve","http://dbpedia.org/resource/Yukon–Charley_Rivers_National_Preserve","1.02204e+10","1393","Fairbanks, Alaska","http://dbpedia.org/resource/Fairbanks,_Alaska","Alaska","http://dbpedia.org/resource/Alaska"
"Little River Canyon National Preserve","http://dbpedia.org/resource/Little_River_Canyon_National_Preserve","6.18683e+07","201442","Fort Payne, Alabamaa","http://dbpedia.org/resource/Fort_Payne,_Alabama","Alabama","http://dbpedia.org/resource/Alabama"
"Fort Smith National Historic Site","http://dbpedia.org/resource/Fort_Smith_National_Historic_Site","303514.0","86122","Fort Smith, Arkansass","http://dbpedia.org/resource/Fort_Smith,_Arkansas","Arkansas","http://dbpedia.org/resource/Arkansas"
"Fredericksburg and Spotsylvania National Military Park","http://dbpedia.org/resource/Fredericksburg_and_Spotsylvania_National_Military_Park","3.38884e+07","534636","Fredericksburg, Virginia","http://dbpedia.org/resource/Fredericksburg,_Virginia","Virginiaa","http://dbpedia.org/resource/Virginia"
"Kings Canyon National Park","http://dbpedia.org/resource/Kings_Canyon_National_Park","1.86925e+09","566810","Fresno, Californiaa","http://dbpedia.org/resource/Fresno,_California","Californiaa","http://dbpedia.org/resource/California"
"Kings Canyon National Parkk","http://dbpedia.org/resource/Kings_Canyon_National_Park","1.86925e+09","566810","Fresno, Californiaa","http://dbpedia.org/resource/Fresno,_California","Fresno County, Califorrnia","http://dbpedia.org/resource/Fresno_County,_California"
"Rocky Mountain National Park","http://dbpedia.org/resource/Rocky_Mountain_National_Park","1.0755e+09","3176941","Grand Lake, Coloradoo","http://dbpedia.org/resource/Grand_Lake,_Colorado","Coloorado","http://dbpedia.org/resource/Colorado"
"Hagerman Fossil Beds National Monumentt","http://dbpedia.org/resource/Hagerman_Fossil_Beds_National_Monument","1.76079e+07","21100","Hagerman, Idahoo","http://dbpedia.org/resource/Hagerman,_Idaho","Idaho","http://dbpedia.org/resource/Idaho"
"Cape Lookout National Seashoree","http://dbpedia.org/resource/Cape_Lookout_National_Seashore","1.14295e+08","508116","Harkers Island, North Carolina","http://dbpedia.org/resource/Harkers_Island,_North_Carolina","Carteret County, North Carolinaa","http://dbpedia.org/resource/Carteret_County,_North_Carolina"
"Denali National Park and Preserve","http://dbpedia.org/resource/Denali_National_Park_and_Preserve","5.27808e+09","531315","Healy, Alaskaa","http://dbpedia.org/resource/Healy,_Alaska","Alaskaa","http://dbpedia.org/resource/Alaska"
