"lake","lake__URI","area","location","location__URI","state","state__URI"
"Aaron River Reservoir","http://dbpedia.org/resource/Aaron_River_Reservoir","550372.0","Cohasset, Massachusetts","http://dbpedia.org/resource/Cohasset,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Abner Pond","http://dbpedia.org/resource/Abner_Pond","40468.6","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Abner Pond","http://dbpedia.org/resource/Abner_Pond","40468.6","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massssachusettss","http://dbpedia.org/resource/Massachusetts"
"Accord Pond","http://dbpedia.org/resource/Accord_Pond","404686.0","Norwell, Massachusetts","http://dbpedia.org/resource/Norwell,_Massachusetts","Plymouth County, Masssachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Accord Pond","http://dbpedia.org/resource/Accord_Pond","404686.0","Rockland, Massachusetts","http://dbpedia.org/resource/Rockland,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Accord Pond","http://dbpedia.org/resource/Accord_Pond","404686.0","Hingham, Massachusetts","http://dbpedia.org/resource/Hingham,_Massachusetts","Plymouth County,  Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Accord Pond","http://dbpedia.org/resource/Accord_Pond","404686.0","Norwell, Massachusetts","http://dbpedia.org/resource/Norwell,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Accord Pond","http://dbpedia.org/resource/Accord_Pond","404686.0","Rockland, Massachusetts","http://dbpedia.org/resource/Rockland,_Massachusetts","Massachusetttsss","http://dbpedia.org/resource/Massachusetts"
"Accord Pond","http://dbpedia.org/resource/Accord_Pond","404686.0","Hingham, Massachusetts","http://dbpedia.org/resource/Hingham,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Almaden Reservoir","http://dbpedia.org/resource/Almaden_Reservoir","250905.0","Santa Clara County, California","http://dbpedia.org/resource/Santa_Clara_County,_California","California","http://dbpedia.org/resource/California"
