"musician","musician__URI","genre","genre__URI","instrument","instrument__URI","band","band__URI"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Psychedelic rock","http://dbpedia.org/resource/Psychedelic_rock","Piano","http://dbpedia.org/resource/Piano","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Psychedelic rock","http://dbpedia.org/resource/Psychedelic_rock","Guitar","http://dbpedia.org/resource/Guitar","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Psychedelic rock","http://dbpedia.org/resource/Psychedelic_rock","Singing","http://dbpedia.org/resource/Singing","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Krautrock","http://dbpedia.org/resource/Krautrock","Piano","http://dbpedia.org/resource/Piano","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Krautrock","http://dbpedia.org/resource/Krautrock","Singing","http://dbpedia.org/resource/Singing","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Krautrock","http://dbpedia.org/resource/Krautrock","Guitar","http://dbpedia.org/resource/Guitar","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power metal","http://dbpedia.org/resource/Power_metal","Drums","http://dbpedia.org/resource/Drums","Avantasia","http://dbpedia.org/resource/Avantasia"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power metal","http://dbpedia.org/resource/Power_metal","Drums","http://dbpedia.org/resource/Drums","Avalon (Finnish band)","http://dbpedia.org/resource/Avalon_(Finnish_band)"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power metal","http://dbpedia.org/resource/Power_metal","Drums","http://dbpedia.org/resource/Drums","Sieges Even","http://dbpedia.org/resource/Sieges_Even"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power metal","http://dbpedia.org/resource/Power_metal","Drums","http://dbpedia.org/resource/Drums","Blind Guardian","http://dbpedia.org/resource/Blind_Guardian"
