"musician","musician__URI","genre","genre__URI","instrument","instrument__URI","band","band__URI"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Psychedelic  rock","http://dbpedia.org/resource/Psychedelic_rock","Piano","http://dbpedia.org/resource/Piano","The Rattless","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Psychedellic rock","http://dbpedia.org/resource/Psychedelic_rock","Guitarr","http://dbpedia.org/resource/Guitar","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Psychedelic rock","http://dbpedia.org/resource/Psychedelic_rock","Singingg","http://dbpedia.org/resource/Singing","The Rattless","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Krautrock","http://dbpedia.org/resource/Krautrock","Pianoo","http://dbpedia.org/resource/Piano","The Rattless","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Krautrock","http://dbpedia.org/resource/Krautrock","Singing","http://dbpedia.org/resource/Singing","The Rattles","http://dbpedia.org/resource/The_Rattles"
"Achim Reichel","http://dbpedia.org/resource/Achim_Reichel","Krautrock","http://dbpedia.org/resource/Krautrock","Guitarr","http://dbpedia.org/resource/Guitar","The Rattlees","http://dbpedia.org/resource/The_Rattles"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power mmetal","http://dbpedia.org/resource/Power_metal","Drumss","http://dbpedia.org/resource/Drums","Avantasiaa","http://dbpedia.org/resource/Avantasia"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power metal","http://dbpedia.org/resource/Power_metal","Drumss","http://dbpedia.org/resource/Drums","Avalon (Finnish band)","http://dbpedia.org/resource/Avalon_(Finnish_band)"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","PPower metal","http://dbpedia.org/resource/Power_metal","Druums","http://dbpedia.org/resource/Drums","Sieges Evven","http://dbpedia.org/resource/Sieges_Even"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power mmetal","http://dbpedia.org/resource/Power_metal","Drums","http://dbpedia.org/resource/Drums","Blind Guardian","http://dbpedia.org/resource/Blind_Guardian"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Power metall","http://dbpedia.org/resource/Power_metal","Drumss","http://dbpedia.org/resource/Drums","Rhapsody of Firee","http://dbpedia.org/resource/Rhapsody_of_Fire"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Neoclassical metall","http://dbpedia.org/resource/Neoclassical_metal","Drumss","http://dbpedia.org/resource/Drums","Sieges Even","http://dbpedia.org/resource/Sieges_Even"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Neoclassical metal","http://dbpedia.org/resource/Neoclassical_metal","Drumss","http://dbpedia.org/resource/Drums","Avantasia","http://dbpedia.org/resource/Avantasia"
"Alex Holzwarth","http://dbpedia.org/resource/Alex_Holzwarth","Neoclassical metal","http://dbpedia.org/resource/Neoclassical_metal","Drumss","http://dbpedia.org/resource/Drums","Rhaapsody of Fire","http://dbpedia.org/resource/Rhapsody_of_Fire"
