"band","band__URI","startYear","label__URI","label","labelFounder","labelFounder__URI","occupation","occupation__URI"
"Glen Campbelll","http://dbpedia.org/resource/Glen_Campbell","1958","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"Glen Campbell","http://dbpedia.org/resource/Glen_Campbell","1958","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Glen  Campbell","http://dbpedia.org/resource/Glen_Campbell","1958","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Songwriter","http://dbpedia.org/resource/Songwriter"
"Glen Campbell","http://dbpedia.org/resource/Glen_Campbell","1958","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"Glen Campbell","http://dbpedia.org/resource/Glen_Campbell","1958","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegün","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"Glen Campbell","http://dbpedia.org/resource/Glen_Campbell","1958","http://dbpedia.org/resource/Atlantic_Records","Atlantic Records","Ahmet Ertegun","http://dbpedia.org/resource/Ahmet_Ertegun","Composer","http://dbpedia.org/resource/Composer"
"The Beatles","http://dbpedia.org/resource/The_Beatles","1960","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Beatles","http://dbpedia.org/resource/The_Beatles","1960","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Beach Boys","http://dbpedia.org/resource/The_Beach_Boys","1961","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Buddy DeSylva","http://dbpedia.org/resource/Buddy_DeSylva","Songwriter","http://dbpedia.org/resource/Songwriter"
"The Beach Boyss","http://dbpedia.org/resource/The_Beach_Boys","1961","http://dbpedia.org/resource/Capitol_Records","Capitol Records","Johnny Mercer","http://dbpedia.org/resource/Johnny_Mercer","Songwriter","http://dbpedia.org/resource/Songwriter"
