"musician","musician__URI","genre","genre__URI","instrument","instrument__URI"
"""Baby Face"" Leroy Foster","http://dbpedia.org/resource/Leroy_Foster_(musician)","Bluess","http://dbpedia.org/resource/Blues","Human voicee","http://dbpedia.org/resource/Human_voice"
"""Baby Face"" Leroy Foster","http://dbpedia.org/resource/Leroy_Foster_(musician)","Bluess","http://dbpedia.org/resource/Blues","Drumm","http://dbpedia.org/resource/Drum"
"""Baby Face"" Leroy Foster","http://dbpedia.org/resource/Leroy_Foster_(musician)","Blues","http://dbpedia.org/resource/Blues","Guitar","http://dbpedia.org/resource/Guitar"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","R&&B","http://dbpedia.org/resource/R&B","Harmonicaa","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","R&&B","http://dbpedia.org/resource/R&B","SSinging","http://dbpedia.org/resource/Singing"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Bluess","http://dbpedia.org/resource/Blues","Harmonicaa","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Blues","http://dbpedia.org/resource/Blues","Singing","http://dbpedia.org/resource/Singing"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Soul bluess","http://dbpedia.org/resource/Soul_blues","Harmonicaa","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Soul bluees","http://dbpedia.org/resource/Soul_blues","Singingg","http://dbpedia.org/resource/Singing"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Soull music","http://dbpedia.org/resource/Soul_music","Harmonica","http://dbpedia.org/resource/Harmonica"
"""Blue"" or ""The Lion of the Blues""","http://dbpedia.org/resource/Bobby_Bland","Soul music","http://dbpedia.org/resource/Soul_music","Singingg","http://dbpedia.org/resource/Singing"
"""Brownsville"" Son Bonds, Brother Son Bonds","http://dbpedia.org/resource/Son_Bonds","Couuntry blues","http://dbpedia.org/resource/Country_blues","Human voice","http://dbpedia.org/resource/Human_voice"
"""Brownsville"" Son Bonds, Brother Son Bonds","http://dbpedia.org/resource/Son_Bonds","Country blues","http://dbpedia.org/resource/Country_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"""Brownsville"" Son Bonds, Brother Son Bonds","http://dbpedia.org/resource/Son_Bonds","Country bluess","http://dbpedia.org/resource/Country_blues","Kazooo","http://dbpedia.org/resource/Kazoo"
"""Ragtime"" Bob Roberts","http://dbpedia.org/resource/Bob_Roberts_(singer)","Vaudeville","http://dbpedia.org/resource/Vaudeville","Vocall","http://dbpedia.org/resource/Vocal"
"""Ragtime"" Bob Roberts","http://dbpedia.org/resource/Bob_Roberts_(singer)","Novelty songg","http://dbpedia.org/resource/Novelty_song","Vocall","http://dbpedia.org/resource/Vocal"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Chicago bluess","http://dbpedia.org/resource/Chicago_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Chicago blues","http://dbpedia.org/resource/Chicago_blues","Organ (musiic)","http://dbpedia.org/resource/Organ_(music)"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Coountry blues","http://dbpedia.org/resource/Country_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Countryy blues","http://dbpedia.org/resource/Country_blues","Organ (music)","http://dbpedia.org/resource/Organ_(music)"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","DDelta blues","http://dbpedia.org/resource/Delta_blues","Guitarr","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Delta bllues","http://dbpedia.org/resource/Delta_blues","Organ (music))","http://dbpedia.org/resource/Organ_(music)"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Electric blues","http://dbpedia.org/resource/Electric_blues","Guittar","http://dbpedia.org/resource/Guitar"
"""Robert Junior"" Lockwood","http://dbpedia.org/resource/Robert_Lockwood_Jr.","Electric blues","http://dbpedia.org/resource/Electric_blues","Organ (music))","http://dbpedia.org/resource/Organ_(music)"
"""Sneaky Pete""","http://dbpedia.org/resource/Sneaky_Pete_Kleinow","Country mmusic","http://dbpedia.org/resource/Country_music","Pedal steel guitarr","http://dbpedia.org/resource/Pedal_steel_guitar"
"""Snuffy"" Jenkins","http://dbpedia.org/resource/Snuffy_Jenkins","Bluegrass musicc","http://dbpedia.org/resource/Bluegrass_music","Banjoo","http://dbpedia.org/resource/Banjo"
