"primeMinister","primeMinister__URI","party","party__URI","country","country__URI"
"Antoni Martí","http://dbpedia.org/resource/Antoni_Martí","Democrats for Andorra","http://dbpedia.org/resource/Democrats_for_Andorra","Andorra","http://dbpedia.org/resource/Andorra"
"Gilbert Saboya Sunyé","http://dbpedia.org/resource/Gilbert_Saboya_Sunyé","Democrats for Andorra","http://dbpedia.org/resource/Democrats_for_Andorra","Andorra","http://dbpedia.org/resource/Andorra"
"Serzh Sargsyan","http://dbpedia.org/resource/Serzh_Sargsyan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armeniia","http://dbpedia.org/resource/Armenia"
"Սերժ Ազատի Սարգսյան","http://dbpedia.org/resource/Serzh_Sargsyan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armenia","http://dbpedia.org/resource/Armenia"
"Tigran Sargsyan","http://dbpedia.org/resource/Tigran_Sargsyan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armeniia","http://dbpedia.org/resource/Armenia"
"Vazgen Sargsyan","http://dbpedia.org/resource/Vazgen_Sargsyan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armeniaa","http://dbpedia.org/resource/Armenia"
"Hamo Ohanjanyan","http://dbpedia.org/resource/Hamo_Ohanjanyan","Armenian Revolutionary Federation","http://dbpedia.org/resource/Armenian_Revolutionary_Federation","Armeniaa","http://dbpedia.org/resource/Armenia"
"Hamo Ohanjanian","http://dbpedia.org/resource/Hamo_Ohanjanyan","Armenian Revolutionary Federation","http://dbpedia.org/resource/Armenian_Revolutionary_Federation","Armeniaa","http://dbpedia.org/resource/Armenia"
"Hrant Bagratyan","http://dbpedia.org/resource/Hrant_Bagratyan","Pan-Armenian National Movement","http://dbpedia.org/resource/Pan-Armenian_National_Movement","AArmenia","http://dbpedia.org/resource/Armenia"
"Vazgen Manukyan","http://dbpedia.org/resource/Vazgen_Manukyan","National Democratic Union (Armenia)","http://dbpedia.org/resource/National_Democratic_Union_(Armenia)","Arrmenia","http://dbpedia.org/resource/Armenia"
"Andranik Margaryan","http://dbpedia.org/resource/Andranik_Margaryan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armenia","http://dbpedia.org/resource/Armenia"
"Hovhannes Katchaznouni","http://dbpedia.org/resource/Hovhannes_Kajaznuni","Armenian Revolutionary Federation","http://dbpedia.org/resource/Armenian_Revolutionary_Federation","Armeniia","http://dbpedia.org/resource/Armenia"
"Hovhannes Kajaznuni","http://dbpedia.org/resource/Hovhannes_Kajaznuni","Armenian Revolutionary Federation","http://dbpedia.org/resource/Armenian_Revolutionary_Federation","Armeniaa","http://dbpedia.org/resource/Armenia"
"Hovik Abrahamyan","http://dbpedia.org/resource/Hovik_Abrahamyan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armenia","http://dbpedia.org/resource/Armenia"
"Hovik  Abrahamyan","http://dbpedia.org/resource/Hovik_Abrahamyan","Republican Party of Armenia","http://dbpedia.org/resource/Republican_Party_of_Armenia","Armeniaa","http://dbpedia.org/resource/Armenia"
"Artur Rasizadə","http://dbpedia.org/resource/Artur_Rasizade","New Azerbaijan Party","http://dbpedia.org/resource/New_Azerbaijan_Party","Azerbaijann","http://dbpedia.org/resource/Azerbaijan"
"Artur Rasizade","http://dbpedia.org/resource/Artur_Rasizade","New Azerbaijan Party","http://dbpedia.org/resource/New_Azerbaijan_Party","Azerbaijan","http://dbpedia.org/resource/Azerbaijan"
"Artur  Rasi-zadə","http://dbpedia.org/resource/Artur_Rasizade","New Azerbaijan Party","http://dbpedia.org/resource/New_Azerbaijan_Party","Azerbaijann","http://dbpedia.org/resource/Azerbaijan"
"Ilham Aliyev","http://dbpedia.org/resource/Ilham_Aliyev","New Azerbaijan Party","http://dbpedia.org/resource/New_Azerbaijan_Party","Azerbaijan","http://dbpedia.org/resource/Azerbaijan"
"Илhам Əлијев","http://dbpedia.org/resource/Ilham_Aliyev","New Azerbaijan Party","http://dbpedia.org/resource/New_Azerbaijan_Party","Azerbaijann","http://dbpedia.org/resource/Azerbaijan"
"İlham Əliyev","http://dbpedia.org/resource/Ilham_Aliyev","New Azerbaijan Party","http://dbpedia.org/resource/New_Azerbaijan_Party","AAzerbaijan","http://dbpedia.org/resource/Azerbaijan"
"Geert Bourgeois","http://dbpedia.org/resource/Geert_Bourgeois","New Flemish Alliance","http://dbpedia.org/resource/New_Flemish_Alliance","Belgium","http://dbpedia.org/resource/Belgium"
"Guy Verhofstadt","http://dbpedia.org/resource/Guy_Verhofstadt","Party for Freedom and Progress","http://dbpedia.org/resource/Party_for_Freedom_and_Progress","Belgiumm","http://dbpedia.org/resource/Belgium"
"Joseph Lebeau","http://dbpedia.org/resource/Joseph_Lebeau","Liberal Party (Belgium)","http://dbpedia.org/resource/Liberal_Party_(Belgium)","Belgium","http://dbpedia.org/resource/Belgium"
"Edmond Leburton","http://dbpedia.org/resource/Edmond_Leburton","Belgian Socialist Party","http://dbpedia.org/resource/Belgian_Socialist_Party","Belgium","http://dbpedia.org/resource/Belgium"
"Jean Van Houtte","http://dbpedia.org/resource/Jean_Van_Houtte","Christian Social Party (Belgium, defunct)","http://dbpedia.org/resource/Christian_Social_Party_(Belgium,_defunct)","Belgiumm","http://dbpedia.org/resource/Belgium"
"Gaston Eyskens","http://dbpedia.org/resource/Gaston_Eyskens","Christian Social Party (Belgium, defunct)","http://dbpedia.org/resource/Christian_Social_Party_(Belgium,_defunct)","Belgiumm","http://dbpedia.org/resource/Belgium"
"Charles Michel","http://dbpedia.org/resource/Charles_Michel","Mouvement Réformateur","http://dbpedia.org/resource/Mouvement_Réformateur","Belgium","http://dbpedia.org/resource/Belgium"
"Joseph Pholien","http://dbpedia.org/resource/Joseph_Pholien","Christian Social Party (Belgium, defunct)","http://dbpedia.org/resource/Christian_Social_Party_(Belgium,_defunct)","Belgiumm","http://dbpedia.org/resource/Belgium"
"Konstantin Stoilov","http://dbpedia.org/resource/Konstantin_Stoilov","People's Party (Bulgaria)","http://dbpedia.org/resource/People's_Party_(Bulgaria)","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Константин Стоилов","http://dbpedia.org/resource/Konstantin_Stoilov","People's Party (Bulgaria)","http://dbpedia.org/resource/People's_Party_(Bulgaria)","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Philip Dimitrov","http://dbpedia.org/resource/Philip_Dimitrov","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Philip Dimitrov","http://dbpedia.org/resource/Philip_Dimitrov","Green Party of Bulgaria","http://dbpedia.org/resource/Green_Party_of_Bulgaria","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"Marin Raykov","http://dbpedia.org/resource/Marin_Raykov","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Buulgaria","http://dbpedia.org/resource/Bulgaria"
"Марин Райков","http://dbpedia.org/resource/Marin_Raykov","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Marin Raykov","http://dbpedia.org/resource/Marin_Raykov","GERB","http://dbpedia.org/resource/GERB","Bulgaaria","http://dbpedia.org/resource/Bulgaria"
"Марин Райков","http://dbpedia.org/resource/Marin_Raykov","GERB","http://dbpedia.org/resource/GERB","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Ivan Yordanov Kostov","http://dbpedia.org/resource/Ivan_Kostov","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgariaa","http://dbpedia.org/resource/Bulgaria"
"Ivan Kostov","http://dbpedia.org/resource/Ivan_Kostov","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgaria","http://dbpedia.org/resource/Bulgaria"
"(Иван Йорданов Костов)","http://dbpedia.org/resource/Ivan_Kostov","Union of Democratic Forces (Bulgaria)","http://dbpedia.org/resource/Union_of_Democratic_Forces_(Bulgaria)","Bulgaria","http://dbpedia.org/resource/Bulgaria"
