"oldParty","oldParty__URI","originalIdeology","originalIdeology__URI","newParty","newParty__URI","currentIdeology","currentIdeology__URI","extinctionYear"
"Unione Democratici per l'Europa","http://dbpedia.org/resource/Union_of_Democrats_for_Europe","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Forza Italia","http://dbpedia.org/resource/Forza_Italia_(2013)","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2013"
"Democrazia Cristiana","http://dbpedia.org/resource/Christian_Democracy_(Italy,_2002)","Christian democracy","http://dbpedia.org/resource/Christian_democracy","Forza Italia","http://dbpedia.org/resource/Forza_Italia_(2013)","Liberal conservatism","http://dbpedia.org/resource/Liberal_conservatism","2013"
"Movimento Repubblicani Europei","http://dbpedia.org/resource/European_Republicans_Movement","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Italian Republican Party","http://dbpedia.org/resource/Italian_Republican_Party","Republicanism","http://dbpedia.org/resource/Republicanism","2011"
"Movimento Repubblicani Europei","http://dbpedia.org/resource/European_Republicans_Movement","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Partito Repubblicano Italiano","http://dbpedia.org/resource/Italian_Republican_Party","Republicanism","http://dbpedia.org/resource/Republicanism","2011"
"Movimento Repubblicani Europei","http://dbpedia.org/resource/European_Republicans_Movement","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Italian Republican Party","http://dbpedia.org/resource/Italian_Republican_Party","Liberalism","http://dbpedia.org/resource/Liberalism","2011"
"Movimento Repubblicani Europei","http://dbpedia.org/resource/European_Republicans_Movement","Social liberalism","http://dbpedia.org/resource/Social_liberalism","Partito Repubblicano Italiano","http://dbpedia.org/resource/Italian_Republican_Party","Liberalism","http://dbpedia.org/resource/Liberalism","2011"
"Movimento per la Sinistra","http://dbpedia.org/resource/Movement_for_the_Left","Communism","http://dbpedia.org/resource/Communism","Sinistra Ecologia Libertà","http://dbpedia.org/resource/Left_Ecology_Freedom","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","2010"
"Movimento per la Sinistra","http://dbpedia.org/resource/Movement_for_the_Left","Communism","http://dbpedia.org/resource/Communism","Sinistra Ecologia Libertà","http://dbpedia.org/resource/Left_Ecology_Freedom","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","2010"
"Sinistra Democratica","http://dbpedia.org/resource/Democratic_Left_(Italy)","Democratic socialism","http://dbpedia.org/resource/Democratic_socialism","Sinistra Ecologia Libertà","http://dbpedia.org/resource/Left_Ecology_Freedom","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","2010"
"Sinistra Democratica","http://dbpedia.org/resource/Democratic_Left_(Italy)","Green politics","http://dbpedia.org/resource/Green_politics","Sinistra Ecologia Libertà","http://dbpedia.org/resource/Left_Ecology_Freedom","Eco-socialism","http://dbpedia.org/resource/Eco-socialism","2010"
