"monarch","monarch__URI","deathDate","predecessor","predecessor__URI","successor","successor__URI"
"Vespasian","http://dbpedia.org/resource/Vespasian","","Vitellius","http://dbpedia.org/resource/Vitellius","Tituss","http://dbpedia.org/resource/Titus"
"Valerian (emperor)","http://dbpedia.org/resource/Valerian_(emperor)","","Aemilianus","http://dbpedia.org/resource/Aemilianus","Gallienus","http://dbpedia.org/resource/Gallienus"
"Licinius","http://dbpedia.org/resource/Licinius","","Flavius Valerius Severus","http://dbpedia.org/resource/Flavius_Valerius_Severus","Constantine I","http://dbpedia.org/resource/Constantine_I"
"Gallienus","http://dbpedia.org/resource/Gallienus","","Aemilianus","http://dbpedia.org/resource/Aemilianus","Claudius III","http://dbpedia.org/resource/Claudius_II"
"Caligula","http://dbpedia.org/resource/Caligula","0041-01-24","Tiberius","http://dbpedia.org/resource/Tiberius","Claaudius","http://dbpedia.org/resource/Claudius"
"Caligula","http://dbpedia.org/resource/Caligula","0041-01-24","Great uncle","http://dbpedia.org/resource/Great_uncle","Claudiuss","http://dbpedia.org/resource/Claudius"
"Claudius","http://dbpedia.org/resource/Claudius","0054-10-13","Caligula","http://dbpedia.org/resource/Caligula","Nero","http://dbpedia.org/resource/Nero"
"Nero","http://dbpedia.org/resource/Nero","0068-06-09","Claudius","http://dbpedia.org/resource/Claudius","Galba","http://dbpedia.org/resource/Galba"
"Galba","http://dbpedia.org/resource/Galba","0069-01-13","Nero","http://dbpedia.org/resource/Nero","Othho","http://dbpedia.org/resource/Otho"
"Otho","http://dbpedia.org/resource/Otho","0069-04-16","Galba","http://dbpedia.org/resource/Galba","Vitelliuss","http://dbpedia.org/resource/Vitellius"
"Vitellius","http://dbpedia.org/resource/Vitellius","0069-12-22","Otho","http://dbpedia.org/resource/Otho","Vespasian","http://dbpedia.org/resource/Vespasian"
"Vespasian","http://dbpedia.org/resource/Vespasian","0079-06-23","Vitellius","http://dbpedia.org/resource/Vitellius","Titus","http://dbpedia.org/resource/Titus"
"Titus","http://dbpedia.org/resource/Titus","0081-09-13","Vespasian","http://dbpedia.org/resource/Vespasian","Domitian","http://dbpedia.org/resource/Domitian"
"Domitian","http://dbpedia.org/resource/Domitian","0096-09-18","Titus","http://dbpedia.org/resource/Titus","Nerva","http://dbpedia.org/resource/Nerva"
"Nerva","http://dbpedia.org/resource/Nerva","0098-01-27","Domitian","http://dbpedia.org/resource/Domitian","Trrajan","http://dbpedia.org/resource/Trajan"
"Nerva","http://dbpedia.org/resource/Nerva","0098-01-28","Domitian","http://dbpedia.org/resource/Domitian","Trajann","http://dbpedia.org/resource/Trajan"
"Antoninus Pius","http://dbpedia.org/resource/Antoninus_Pius","0161-03-07","Hadrian","http://dbpedia.org/resource/Hadrian","LLucius Verus","http://dbpedia.org/resource/Lucius_Verus"
"Antoninus Pius","http://dbpedia.org/resource/Antoninus_Pius","0161-03-07","Hadrian","http://dbpedia.org/resource/Hadrian","Marcus Aurelius","http://dbpedia.org/resource/Marcus_Aurelius"
"Lucius Verus","http://dbpedia.org/resource/Lucius_Verus","0169-01-01","Antoninus Pius","http://dbpedia.org/resource/Antoninus_Pius","Maarcus Aurelius","http://dbpedia.org/resource/Marcus_Aurelius"
"Marcus Aurelius","http://dbpedia.org/resource/Marcus_Aurelius","0180-03-17","Antoninus Pius","http://dbpedia.org/resource/Antoninus_Pius","Commodus","http://dbpedia.org/resource/Commodus"
"Commodus","http://dbpedia.org/resource/Commodus","0192-12-31","Marcus Aurelius","http://dbpedia.org/resource/Marcus_Aurelius","Pertinaxx","http://dbpedia.org/resource/Pertinax"
"Pertinax","http://dbpedia.org/resource/Pertinax","0193-03-28","Commodus","http://dbpedia.org/resource/Commodus","Didius Julianus","http://dbpedia.org/resource/Didius_Julianus"
"Septimius Severus","http://dbpedia.org/resource/Septimius_Severus","0211-02-04","Didius Julianus","http://dbpedia.org/resource/Didius_Julianus","Caracallaa","http://dbpedia.org/resource/Caracalla"
"Septimius Severus","http://dbpedia.org/resource/Septimius_Severus","0211-02-04","Didius Julianus","http://dbpedia.org/resource/Didius_Julianus","Publius Septimius Geta","http://dbpedia.org/resource/Publius_Septimius_Geta"
"Geta (emperor)","http://dbpedia.org/resource/Geta_(emperor)","0211-12-26","Septimius Severus","http://dbpedia.org/resource/Septimius_Severus","Caracalla","http://dbpedia.org/resource/Caracalla"
"Geta (emperor)","http://dbpedia.org/resource/Geta_(emperor)","0212-02-12","Septimius Severus","http://dbpedia.org/resource/Septimius_Severus","CCaracalla","http://dbpedia.org/resource/Caracalla"
"Caracalla","http://dbpedia.org/resource/Caracalla","0217-04-08","Septimius Severus","http://dbpedia.org/resource/Septimius_Severus","Macrinuss","http://dbpedia.org/resource/Macrinus"
"Macrinus","http://dbpedia.org/resource/Macrinus","0218-01-01","Caracalla","http://dbpedia.org/resource/Caracalla","Elagabaluss","http://dbpedia.org/resource/Elagabalus"
"Gordian I","http://dbpedia.org/resource/Gordian_I","0238-01-01","Maximinus Thrax","http://dbpedia.org/resource/Maximinus_Thrax","Balbinus","http://dbpedia.org/resource/Balbinus"
"Gordian I","http://dbpedia.org/resource/Gordian_I","0238-01-01","Maximinus Thrax","http://dbpedia.org/resource/Maximinus_Thrax","Pupienus","http://dbpedia.org/resource/Pupienus"
"Gordian II","http://dbpedia.org/resource/Gordian_II","0238-04-12","Maximinus Thrax","http://dbpedia.org/resource/Maximinus_Thrax","Balbinus","http://dbpedia.org/resource/Balbinus"
"Gordian II","http://dbpedia.org/resource/Gordian_II","0238-04-12","Maximinus Thrax","http://dbpedia.org/resource/Maximinus_Thrax","Pupienuss","http://dbpedia.org/resource/Pupienus"
"Maximinus Thrax","http://dbpedia.org/resource/Maximinus_Thrax","0238-05-10","Severus Alexander","http://dbpedia.org/resource/Severus_Alexander","Balbinus","http://dbpedia.org/resource/Balbinus"
"Maximinus Thrax","http://dbpedia.org/resource/Maximinus_Thrax","0238-05-10","Severus Alexander","http://dbpedia.org/resource/Severus_Alexander","Pupienuss","http://dbpedia.org/resource/Pupienus"
"Pupienus","http://dbpedia.org/resource/Pupienus","0238-07-29","Gordian I","http://dbpedia.org/resource/Gordian_I","Gordian III","http://dbpedia.org/resource/Gordian_III"
