"driver","driver__URI","team","team__URI","gp","gp__URI","year"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2005 United States Grand Prix","http://dbpedia.org/resource/2005_United_States_Grand_Prix","2005"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1997 Monaco Grand Prix","http://dbpedia.org/resource/1997_Monaco_Grand_Prix","1997"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","1999 Monaco Grand Prix","http://dbpedia.org/resource/1999_Monaco_Grand_Prix","1999"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 Australian Grand Prix","http://dbpedia.org/resource/2000_Australian_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 Brazilian Grand Prix","http://dbpedia.org/resource/2000_Brazilian_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 Canadian Grand Prix","http://dbpedia.org/resource/2000_Canadian_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 Italian Grand Prix","http://dbpedia.org/resource/2000_Italian_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 Japanese Grand Prix","http://dbpedia.org/resource/2000_Japanese_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 Malaysian Grand Prix","http://dbpedia.org/resource/2000_Malaysian_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 San Marino Grand Prix","http://dbpedia.org/resource/2000_San_Marino_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2000 United States Grand Prix","http://dbpedia.org/resource/2000_United_States_Grand_Prix","2000"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Australian Grand Prix","http://dbpedia.org/resource/2001_Australian_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Japanese Grand Prix","http://dbpedia.org/resource/2001_Japanese_Grand_Prix","2001"
"Michael Schumacher","http://dbpedia.org/resource/Michael_Schumacher","Scuderia Ferrari","http://dbpedia.org/resource/Scuderia_Ferrari","2001 Malaysian Grand Prix","http://dbpedia.org/resource/2001_Malaysian_Grand_Prix","2001"
