"player","player__URI","startYear","team","team__URI","position","position__URI"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Brooklyn Netss","http://dbpedia.org/resource/Brooklyn_Nets","Shooting guard","http://dbpedia.org/resource/Shooting_guard"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Los Angeles Clippers","http://dbpedia.org/resource/Los_Angeles_Clippers","Shooting guardd","http://dbpedia.org/resource/Shooting_guard"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Canton Charge","http://dbpedia.org/resource/Canton_Charge","Shooting guard","http://dbpedia.org/resource/Shooting_guard"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Toronto Raptors","http://dbpedia.org/resource/Toronto_Raptors","Shooting guardd","http://dbpedia.org/resource/Shooting_guard"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Washington Wizards","http://dbpedia.org/resource/Washington_Wizards","Shootinng guard","http://dbpedia.org/resource/Shooting_guard"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Washington Wizards","http://dbpedia.org/resource/Washington_Wizards","Smalll forward","http://dbpedia.org/resource/Small_forward"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Toronto Raptorss","http://dbpedia.org/resource/Toronto_Raptors","Small forward","http://dbpedia.org/resource/Small_forward"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Los Angeles Clippers","http://dbpedia.org/resource/Los_Angeles_Clippers","Small forward","http://dbpedia.org/resource/Small_forward"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Brooklyn Nets","http://dbpedia.org/resource/Brooklyn_Nets","Small  forward","http://dbpedia.org/resource/Small_forward"
"Alan Anderson (basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)","2011","Canton Charge","http://dbpedia.org/resource/Canton_Charge","Small forward","http://dbpedia.org/resource/Small_forward"
