"goalkeeper","goalkeeper__URI","birthPlace","birthPlace__URI","team","team__URI","ground","ground__URI"
"(권정혁혁)","http://dbpedia.org/resource/Kwon_Jung-hyuk","South Korea","http://dbpedia.org/resource/South_Korea","Football Club Seoul","http://dbpedia.org/resource/FC_Seoul","Seoul World Cup Stadium서울월드컵경기장","http://dbpedia.org/resource/Seoul_World_Cup_Stadium"
"(권정혁)","http://dbpedia.org/resource/Kwon_Jung-hyuk","South  Korea","http://dbpedia.org/resource/South_Korea","FC 서울","http://dbpedia.org/resource/FC_Seoul","Seoul World Cup Stadium서울월드컵경기장","http://dbpedia.org/resource/Seoul_World_Cup_Stadium"
"(권정혁)","http://dbpedia.org/resource/Kwon_Jung-hyuk","South Koreaa","http://dbpedia.org/resource/South_Korea","FC Seoul","http://dbpedia.org/resource/FC_Seoul","Seoul World Cup Stadium서울월드컵경기장","http://dbpedia.org/resource/Seoul_World_Cup_Stadium"
"(김용대))","http://dbpedia.org/resource/Kim_Yong-dae","South Koreaa","http://dbpedia.org/resource/South_Korea","FC Seoull","http://dbpedia.org/resource/FC_Seoul","Seoul World Cup Stadium서울월드컵경기장","http://dbpedia.org/resource/Seoul_World_Cup_Stadium"
"(김용대)","http://dbpedia.org/resource/Kim_Yong-dae","South Korea","http://dbpedia.org/resource/South_Korea","Foottball Club Seoul","http://dbpedia.org/resource/FC_Seoul","Seoul World Cup Stadium서울월드컵경기장","http://dbpedia.org/resource/Seoul_World_Cup_Stadium"
"(김용대)","http://dbpedia.org/resource/Kim_Yong-dae","South Korea","http://dbpedia.org/resource/South_Korea","FC 서울울","http://dbpedia.org/resource/FC_Seoul","Seoul World Cup Stadium서울월드컵경기장","http://dbpedia.org/resource/Seoul_World_Cup_Stadium"
"((오연교)","http://dbpedia.org/resource/Oh_Yun-kyo","South Korea","http://dbpedia.org/resource/South_Korea","제주 유나이티드 FC","http://dbpedia.org/resource/Jeju_United_FC","Jeju World Cup Stadium","http://dbpedia.org/resource/Jeju_World_Cup_Stadium"
"(오연교)","http://dbpedia.org/resource/Oh_Yun-kyo","South Korea","http://dbpedia.org/resource/South_Korea","제주 유나이티드드","http://dbpedia.org/resource/Jeju_United_FC","Jeju World Cup Stadium","http://dbpedia.org/resource/Jeju_World_Cup_Stadium"
"(오연교)","http://dbpedia.org/resource/Oh_Yun-kyo","South Korea","http://dbpedia.org/resource/South_Korea","Jeju United Football Clubb","http://dbpedia.org/resource/Jeju_United_FC","Jeju World Cup Stadium","http://dbpedia.org/resource/Jeju_World_Cup_Stadium"
"(오연교)","http://dbpedia.org/resource/Oh_Yun-kyo","South Koreaa","http://dbpedia.org/resource/South_Korea","Jeju Unitedd","http://dbpedia.org/resource/Jeju_United_FC","Jeju World Cup Stadium","http://dbpedia.org/resource/Jeju_World_Cup_Stadium"
"Abderaouf Natèchee","http://dbpedia.org/resource/Abderaouf_Natèche","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia Club d'Oran","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abderaouf Natèchee","http://dbpedia.org/resource/Abderaouf_Natèche","Algeriaa","http://dbpedia.org/resource/Algeria","Mouloudia Club d'Oran","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abderaouf Natèchee","http://dbpedia.org/resource/Abderaouf_Natèche","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia d'Oran","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abbderaouf Natèche","http://dbpedia.org/resource/Abderaouf_Natèche","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia  d'Oran","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdeeraouf Natèche","http://dbpedia.org/resource/Abderaouf_Natèche","Algeria","http://dbpedia.org/resource/Algeria","مولودية وههران","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abderaouf Natèche","http://dbpedia.org/resource/Abderaouf_Natèche","Algeria","http://dbpedia.org/resource/Algeria","مولودية وهران","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abderaouf Natèchee","http://dbpedia.org/resource/Abderaouf_Natèche","Algerria","http://dbpedia.org/resource/Algeria","نادي مولودية وهران","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abderaouf Natèche","http://dbpedia.org/resource/Abderaouf_Natèche","Algeriaa","http://dbpedia.org/resource/Algeria","نادي مولودية وهرانن","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdessllam Benabdellah","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia Club d'Orann","http://dbpedia.org/resource/MC_Oran","Stade Ahmed Zabana","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
"Abdesslam Benabddellah","http://dbpedia.org/resource/Abdesslam_Benabdellah","Algeria","http://dbpedia.org/resource/Algeria","Mouloudia Club d'Oran","http://dbpedia.org/resource/MC_Oran","ملعب أحمد زبانة","http://dbpedia.org/resource/Stade_Ahmed_Zabana"
