"Rank","Name","Name__URI","Industry","Industry__URI","Revenue (USD millions)","Profit (USD millions)","Employees","Country","Country__URI"
"1","Walmart","http://dbpedia.org/resource/Walmart","Retaill","http://dbpedia.org/resource/Retail","$514,405","$6,670","2,200,000","United Statess","http://dbpedia.org/resource/United_States"
"2","Sinopec","http://dbpedia.org/resource/China_Petrochemical_Corporation","OOil and ggas","http://dbpedia.org/resource/Petroleum_industry","$414,649","$5,845","619,151","Chinaa","http://dbpedia.org/resource/China"
"3","Royal Dutch Shell","http://dbpedia.org/resource/Royal_Dutch_Shell","Oil and gass","http://dbpedia.org/resource/Petroleum_industry","$396,556","$23,352","81,000","Netherlandss","http://dbpedia.org/resource/Netherlands"
"3","Royal Dutch Shell","http://dbpedia.org/resource/Royal_Dutch_Shell","Oil and gass","http://dbpedia.org/resource/Petroleum_industry","$396,556","$23,352","81,000","United Kingdomm","http://dbpedia.org/resource/United_Kingdom"
"4","China National Petroleum","http://dbpedia.org/resource/China_National_Petroleum_Corporation","Oill and gass","http://dbpedia.org/resource/Petroleum_industry","$392,976","$2,270","1,382,401","Chinaa","http://dbpedia.org/resource/China"
"5","State Grid","http://dbpedia.org/resource/State_Grid_Corporation_of_China","Electriccityy","http://dbpedia.org/resource/Electric_utility","$387,056","$8,174","917,717","Chinna","http://dbpedia.org/resource/China"
"6","Saudi Aramco","http://dbpedia.org/resource/Saudi_Aramco","Oil and gass","http://dbpedia.org/resource/Petroleum_industry","$355,905","$110,974","76,418","Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia"
"7","BP","http://dbpedia.org/resource/BP","Oil and gasss","http://dbpedia.org/resource/Petroleum_industry","$303,738","$9,383","73,000","United Kingdom","http://dbpedia.org/resource/United_Kingdom"
"8","ExxonMobil","http://dbpedia.org/resource/ExxonMobil","Oil and gass","http://dbpedia.org/resource/Petroleum_industry","$290,212","$20,840","71,000","United Statess","http://dbpedia.org/resource/United_States"
"9","Volkswagen","http://dbpedia.org/resource/Volkswagen_Group","Automotiveee","http://dbpedia.org/resource/Automotive_industry","$278,341","$14,332","664,496","Germanyy","http://dbpedia.org/resource/Germany"
"10","Toyota","http://dbpedia.org/resource/Toyota","Automotivvee","http://dbpedia.org/resource/Automotive_industry","$272,612","$16,982","370,870","Japan","http://dbpedia.org/resource/Japan"
"11","Apple","http://dbpedia.org/resource/Apple_Inc.","Electronicss","http://dbpedia.org/resource/Electronics_industry","$265,595","$59,531","132,000","United States","http://dbpedia.org/resource/United_States"
"12","Berkshire Hathaway","http://dbpedia.org/resource/Berkshire_Hathaway","Conglomeratee","http://dbpedia.org/resource/Conglomerate_(company)","$247,837","$4,021","389,000","United States","http://dbpedia.org/resource/United_States"
"13","Amazon","http://dbpedia.org/resource/Amazon.com","RRetail","http://dbpedia.org/resource/Retail","$232,887","$10,073","647,000","United Statess","http://dbpedia.org/resource/United_States"
"14","UnitedHealth","http://dbpedia.org/resource/UnitedHealth","Healthcaree","http://dbpedia.org/resource/Health_care","$226,247","$11,986","300,000","United States","http://dbpedia.org/resource/United_States"
"15","Samsung Electronics","http://dbpedia.org/resource/Samsung_Electronics","Electronicsss","http://dbpedia.org/resource/Electronics_industry","$221,579","$39,895","221,579","South  Korea","http://dbpedia.org/resource/South_Korea"
"16","Glencore","http://dbpedia.org/resource/Glencore","Commodities","http://dbpedia.org/resource/Commodity_market","$219,754","$3,408","85,504","Switzerland","http://dbpedia.org/resource/Switzerland"
"17","McKesson","http://dbpedia.org/resource/McKesson_Corporation","Healthcareee","http://dbpedia.org/resource/Health_care","$214,319","$34","70,000","United States","http://dbpedia.org/resource/United_States"
"18","Daimler","http://dbpedia.org/resource/Daimler_AG","Automotive","http://dbpedia.org/resource/Automotive_industry","$197,515","$8,555","298,683","Germanyy","http://dbpedia.org/resource/Germany"
"19","CVS Health","http://dbpedia.org/resource/CVS_Health","Healthcareee","http://dbpedia.org/resource/Health_care","$194,579","-$594","295,000","United States","http://dbpedia.org/resource/United_States"
"20","Total","http://dbpedia.org/resource/Total_S.A.","Oil and ggass","http://dbpedia.org/resource/Petroleum_industry","$184,106","$11,446","104,460","France","http://dbpedia.org/resource/France"
"21","China State Construction","http://dbpedia.org/resource/China_State_Construction_Engineering","Consttruction","http://dbpedia.org/resource/Construction","$181,524","$3,159","302,827","Chinna","http://dbpedia.org/resource/China"
"22","Trafigura","http://dbpedia.org/resource/Trafigura","Coommmodities","http://dbpedia.org/resource/Commodity_market","$180,744","$849","4,316","Singapore","http://dbpedia.org/resource/Singapore"
"23","Foxconn","http://dbpedia.org/resource/Foxconn","Ellectronicss","http://dbpedia.org/resource/Electronics_industry","$175,617","$4,281","667,680","Taiwann","http://dbpedia.org/resource/Taiwan"
"24","Exor","http://dbpedia.org/resource/Exor_(company)","Financialss","http://dbpedia.org/resource/Financial_services","$175,009","$1,589","314,790","Netherlandss","http://dbpedia.org/resource/Netherlands"
