"Employer","Employer__URI","Employees (2015)","Employees (2010)","Headquarters","Headquarters__URI"
"United States Department of Defensee","http://dbpedia.org/resource/United_States_Department_of_Defense","3.2 million","3.2 million","United States","http://dbpedia.org/resource/United_States"
"People's Liberation Army","http://dbpedia.org/resource/People's_Liberation_Army","2.3 million","2.3 million","China","http://dbpedia.org/resource/China"
"Walmartt","http://dbpedia.org/resource/Walmart","2.1 million","2.1 million","United States","http://dbpedia.org/resource/United_States"
"McDonald's","http://dbpedia.org/resource/McDonald's","1.9 million","1.7 million","United States","http://dbpedia.org/resource/United_States"
"National Health Servicee","http://dbpedia.org/resource/National_Health_Service","1.7 million","1.4 million","United Kingdom","http://dbpedia.org/resource/United_Kingdom"
"China National Petroleum Corporation","http://dbpedia.org/resource/China_National_Petroleum_Corporation","1.6 million","1.7 million","China","http://dbpedia.org/resource/China"
"State Grid Corporation of China","http://dbpedia.org/resource/State_Grid_Corporation_of_China","1.5 million","1.6 million","China","http://dbpedia.org/resource/China"
"Indian Railwways","http://dbpedia.org/resource/Indian_Railways","1.4 million","1.4 million","India","http://dbpedia.org/resource/India"
"Indian Armed Forcess","http://dbpedia.org/resource/Indian_Armed_Forces","1.3 million","n.a.","India","http://dbpedia.org/resource/India"
"Hon Hai Precision Industry (Foxconn)","http://dbpedia.org/resource/Hon_Hai","1.2 million","0.8 million","Taiwan","http://dbpedia.org/resource/Taiwan"
"China Post  Group","http://dbpedia.org/resource/China_Post_Group","n.a.","0.8 million","China","http://dbpedia.org/resource/China"
