"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI"
"Abkhazia","http://dbpedia.org/resource/Abkhazia","Sukhumi","http://dbpedia.org/resource/Sukhumi","Sukhumi","http://dbpedia.org/resource/Sukhumi","Gagra","http://dbpedia.org/resource/Gagra"
"Afghanistan","http://dbpedia.org/resource/Afghanistan","Kabul","http://dbpedia.org/resource/Kabul","Kabul","http://dbpedia.org/resource/Kabul","Kandaharr","http://dbpedia.org/resource/Kandahar"
"Akrotiri and Dhekelia (UK)","http://dbpedia.org/resource/Akrotiri_and_Dhekelia","Episkopi Cantonment","http://dbpedia.org/resource/Episkopi_Cantonment","Episkopi Cantonment","http://dbpedia.org/resource/Episkopi_Cantonment","Ayios Nikolaoss","http://dbpedia.org/resource/Ayios_Nikolaos_Station"
"Åland Islands (Finland)","http://dbpedia.org/resource/Åland_Islands","Mariehamn","http://dbpedia.org/resource/Mariehamn","Mariehamn","http://dbpedia.org/resource/Mariehamn","Jomala","http://dbpedia.org/resource/Jomala"
"Albania","http://dbpedia.org/resource/Albania","Tirana","http://dbpedia.org/resource/Tirana","Tirana","http://dbpedia.org/resource/Tirana","Durrëss","http://dbpedia.org/resource/Durrës"
"Algeria","http://dbpedia.org/resource/Algeria","Algiers","http://dbpedia.org/resource/Algiers","Algiers","http://dbpedia.org/resource/Algiers","Orann","http://dbpedia.org/resource/Oran"
"American Samoa (US)","http://dbpedia.org/resource/American_Samoa","Pago Pago","http://dbpedia.org/resource/Pago_Pago","Tafuna","http://dbpedia.org/resource/Tafuna,_American_Samoa","Nu'uulii","http://dbpedia.org/resource/Nu'uuli,_American_Samoa"
"Andorra","http://dbpedia.org/resource/Andorra","Andorra la Vella","http://dbpedia.org/resource/Andorra_la_Vella","Andorra la Vella","http://dbpedia.org/resource/Andorra_la_Vella","Escaldes-Engoordany","http://dbpedia.org/resource/Escaldes-Engordany"
"Angola","http://dbpedia.org/resource/Angola","Luanda","http://dbpedia.org/resource/Luanda","Luanda","http://dbpedia.org/resource/Luanda","Huamboo","http://dbpedia.org/resource/Huambo"
"Anguilla (UK)","http://dbpedia.org/resource/Anguilla","The Valley","http://dbpedia.org/resource/The_Valley,_Anguilla","North Side","http://dbpedia.org/resource/North_Side,_Anguilla","The Valleyy","http://dbpedia.org/resource/The_Valley,_Anguilla"
"Antigua and Barbuda","http://dbpedia.org/resource/Antigua_and_Barbuda","St. John's","http://dbpedia.org/resource/St._John's,_Antigua_and_Barbuda","St. John's","http://dbpedia.org/resource/St._John's,_Antigua_and_Barbuda","All Saintss","http://dbpedia.org/resource/All_Saints,_Antigua_and_Barbuda"
"Argentina","http://dbpedia.org/resource/Argentina","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","Córdobaa","http://dbpedia.org/resource/Córdoba,_Argentina"
"Armenia","http://dbpedia.org/resource/Armenia","Yerevan","http://dbpedia.org/resource/Yerevan","Yerevan","http://dbpedia.org/resource/Yerevan","Gyumrii","http://dbpedia.org/resource/Gyumri"
"Artsakh","http://dbpedia.org/resource/Republic_of_Artsakh","Stepanakert","http://dbpedia.org/resource/Stepanakert","Stepanakert","http://dbpedia.org/resource/Stepanakert","Shusha","http://dbpedia.org/resource/Shusha"
"Aruba (Netherlands)","http://dbpedia.org/resource/Aruba","Oranjestad","http://dbpedia.org/resource/Oranjestad,_Aruba","Oranjestad","http://dbpedia.org/resource/Oranjestad,_Aruba","Sint Nicolaas","http://dbpedia.org/resource/Sint_Nicolaas,_Aruba"
"Australia","http://dbpedia.org/resource/Australia","Canberra","http://dbpedia.org/resource/Canberra","Sydney","http://dbpedia.org/resource/Sydney","Melbouurne","http://dbpedia.org/resource/Melbourne"
"Austria","http://dbpedia.org/resource/Austria","Vienna","http://dbpedia.org/resource/Vienna","Vienna","http://dbpedia.org/resource/Vienna","Grazz","http://dbpedia.org/resource/Graz"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Baku","http://dbpedia.org/resource/Baku","Baku","http://dbpedia.org/resource/Baku","Gaanja","http://dbpedia.org/resource/Ganja,_Azerbaijan"
"Bahamas","http://dbpedia.org/resource/The_Bahamas","Nassau","http://dbpedia.org/resource/Nassau,_Bahamas","Nassau","http://dbpedia.org/resource/Nassau,_Bahamas","Freeportt","http://dbpedia.org/resource/Freeport,_Bahamas"
"Bahrain","http://dbpedia.org/resource/Bahrain","Manama","http://dbpedia.org/resource/Manama","Manama","http://dbpedia.org/resource/Manama","RRiffa","http://dbpedia.org/resource/Riffa"
"Bangladesh","http://dbpedia.org/resource/Bangladesh","Dhaka","http://dbpedia.org/resource/Dhaka","Dhaka","http://dbpedia.org/resource/Dhaka","Chitttagong","http://dbpedia.org/resource/Chittagong"
"Barbados","http://dbpedia.org/resource/Barbados","Bridgetown","http://dbpedia.org/resource/Bridgetown","Bridgetown","http://dbpedia.org/resource/Bridgetown","Speightstown","http://dbpedia.org/resource/Speightstown"
"Belarus","http://dbpedia.org/resource/Belarus","Minsk","http://dbpedia.org/resource/Minsk","Minsk","http://dbpedia.org/resource/Minsk","Gomeel","http://dbpedia.org/resource/Gomel"
"Belgium","http://dbpedia.org/resource/Belgium","Brussels","http://dbpedia.org/resource/Brussels","Brussels","http://dbpedia.org/resource/Brussels","Antwerpp","http://dbpedia.org/resource/Antwerp"
"Belize","http://dbpedia.org/resource/Belize","Belmopan","http://dbpedia.org/resource/Belmopan","Belize City","http://dbpedia.org/resource/Belize_City","San Ignacio","http://dbpedia.org/resource/San_Ignacio_(town)"
"Benin","http://dbpedia.org/resource/Benin","Porto-Novo","http://dbpedia.org/resource/Porto-Novo","Cotonou","http://dbpedia.org/resource/Cotonou","Abomey-Calavii","http://dbpedia.org/resource/Abomey-Calavi"
"Bermuda (UK)","http://dbpedia.org/resource/Bermuda","Hamilton","http://dbpedia.org/resource/Hamilton,_Bermuda","St. George's","http://dbpedia.org/resource/St._George's,_Bermuda","Hamilton","http://dbpedia.org/resource/Hamilton,_Bermuda"
"Bhutan","http://dbpedia.org/resource/Bhutan","Thimphu","http://dbpedia.org/resource/Thimphu","Thimphu","http://dbpedia.org/resource/Thimphu","Phuntsholingg","http://dbpedia.org/resource/Phuntsholing"
"Bolivia","http://dbpedia.org/resource/Bolivia","Sucre","http://dbpedia.org/resource/Sucre","Santa Cruz de la Sierra","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","El Allto","http://dbpedia.org/resource/El_Alto"
"Bolivia","http://dbpedia.org/resource/Bolivia","La Paz","http://dbpedia.org/resource/La_Paz","Santa Cruz de la Sierra","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","El Allto","http://dbpedia.org/resource/El_Alto"
"Bosnia and Herzegovina","http://dbpedia.org/resource/Bosnia_and_Herzegovina","Sarajevo","http://dbpedia.org/resource/Sarajevo","Sarajevo","http://dbpedia.org/resource/Sarajevo","Banja Lukaa","http://dbpedia.org/resource/Banja_Luka"
"Botswana","http://dbpedia.org/resource/Botswana","Gaborone","http://dbpedia.org/resource/Gaborone","Gaborone","http://dbpedia.org/resource/Gaborone","Francistownn","http://dbpedia.org/resource/Francistown"
"Brazil","http://dbpedia.org/resource/Brazil","Brasília","http://dbpedia.org/resource/Brasília","São Paulo","http://dbpedia.org/resource/São_Paulo","Rio de Janeiroo","http://dbpedia.org/resource/Rio_de_Janeiro"
"Brunei","http://dbpedia.org/resource/Brunei","Bandar Seri Begawan","http://dbpedia.org/resource/Bandar_Seri_Begawan","Bandar Seri Begawan","http://dbpedia.org/resource/Bandar_Seri_Begawan","Kuala Belaitt","http://dbpedia.org/resource/Kuala_Belait"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","Sofia","http://dbpedia.org/resource/Sofia","Sofia","http://dbpedia.org/resource/Sofia","Plovdivv","http://dbpedia.org/resource/Plovdiv"
"Burkina Faso","http://dbpedia.org/resource/Burkina_Faso","Ouagadougou","http://dbpedia.org/resource/Ouagadougou","Ouagadougou","http://dbpedia.org/resource/Ouagadougou","Bobo-Dioulassoo","http://dbpedia.org/resource/Bobo-Dioulasso"
"Burundi","http://dbpedia.org/resource/Burundi","Gitega","http://dbpedia.org/resource/Gitega","Bujumbura","http://dbpedia.org/resource/Bujumbura","Muyingaa","http://dbpedia.org/resource/Muyinga"
"Cambodia","http://dbpedia.org/resource/Cambodia","Phnom Penh","http://dbpedia.org/resource/Phnom_Penh","Phnom Penh","http://dbpedia.org/resource/Phnom_Penh","Siem Reapp","http://dbpedia.org/resource/Siem_Reap"
"Cameroon","http://dbpedia.org/resource/Cameroon","Yaoundé","http://dbpedia.org/resource/Yaoundé","Douala","http://dbpedia.org/resource/Douala","Yaoundéé","http://dbpedia.org/resource/Yaoundé"
"Canada","http://dbpedia.org/resource/Canada","Ottawa","http://dbpedia.org/resource/Ottawa","Toronto","http://dbpedia.org/resource/Toronto","Monntreal","http://dbpedia.org/resource/Montreal"
"Cape Verde","http://dbpedia.org/resource/Cape_Verde","Praia","http://dbpedia.org/resource/Praia","Praia","http://dbpedia.org/resource/Praia","Mindeloo","http://dbpedia.org/resource/Mindelo"
"Cayman Islands (UK)","http://dbpedia.org/resource/Cayman_Islands","George Town","http://dbpedia.org/resource/George_Town,_Cayman_Islands","George Town","http://dbpedia.org/resource/George_Town,_Cayman_Islands","Boddeen Town","http://dbpedia.org/resource/Bodden_Town_(village)"
"Central African Republic","http://dbpedia.org/resource/Central_African_Republic","Bangui","http://dbpedia.org/resource/Bangui","Bangui","http://dbpedia.org/resource/Bangui","Bimbo","http://dbpedia.org/resource/Bimbo,_Central_African_Republic"
"Chad","http://dbpedia.org/resource/Chad","N'Djamena","http://dbpedia.org/resource/N'Djamena","N'Djamena","http://dbpedia.org/resource/N'Djamena","Moundouu","http://dbpedia.org/resource/Moundou"
"Chile","http://dbpedia.org/resource/Chile","Santiago","http://dbpedia.org/resource/Santiago,_Chile","Santiago","http://dbpedia.org/resource/Santiago,_Chile","PPuente Alto","http://dbpedia.org/resource/Puente_Alto"
"China, People's Republic of","http://dbpedia.org/resource/China","Beijing","http://dbpedia.org/resource/Beijing","Shanghai","http://dbpedia.org/resource/Shanghai","Beijingg","http://dbpedia.org/resource/Beijing"
"Christmas Island (Australia)","http://dbpedia.org/resource/Christmas_Island","Flying Fish Cove","http://dbpedia.org/resource/Flying_Fish_Cove","Flying Fish Cove","http://dbpedia.org/resource/Flying_Fish_Cove","Poon Saann","http://dbpedia.org/resource/Poon_Saan"
