"Country","Country__URI","Capital","Capital__URI","Population","Largest city","Largest city__URI","Population.1","Ratio"
"Australia","http://dbpedia.org/resource/Australia","Canberra","http://dbpedia.org/resource/Canberra","390,706","Sydney","http://dbpedia.org/resource/Sydney","4,921,000","12.6"
"Belize","http://dbpedia.org/resource/Belize","Belmopan","http://dbpedia.org/resource/Belmopan","16,400","Belize City","http://dbpedia.org/resource/Belize_City","70,000","4.27"
"Benin","http://dbpedia.org/resource/Benin","Porto-Novo","http://dbpedia.org/resource/Porto-Novo","223,500","Cotonou","http://dbpedia.org/resource/Cotonou","761,100","3.4"
"Bolivia","http://dbpedia.org/resource/Bolivia","Sucre","http://dbpedia.org/resource/Sucre","259,388","Santa Cruz de la Sierra","http://dbpedia.org/resource/Santa_Cruz_de_la_Sierra","1,453,549","7.1"
"Brazil","http://dbpedia.org/resource/Brazil","Brasília","http://dbpedia.org/resource/Brasília","2,557,158","São Paulo","http://dbpedia.org/resource/São_Paulo","11,150,249","4.55"
"Burundi","http://dbpedia.org/resource/Burundi","Gitega","http://dbpedia.org/resource/Gitega","22,989","Bujumbura","http://dbpedia.org/resource/Bujumbura","497,166","21.6"
"Cameroon","http://dbpedia.org/resource/Cameroon","Yaoundé","http://dbpedia.org/resource/Yaoundé","1,430,000","Douala","http://dbpedia.org/resource/Douala","2,000,000 +","1.4"
"Canada","http://dbpedia.org/resource/Canada","Ottawa","http://dbpedia.org/resource/Ottawa","812,129","Toronto","http://dbpedia.org/resource/Toronto","2,503,281","3.08"
"China","http://dbpedia.org/resource/China","Beijing","http://dbpedia.org/resource/Beijing","22,000,000","Shanghai","http://dbpedia.org/resource/Shanghai","34,000,000","1.55"
"Côte d'Ivoire","http://dbpedia.org/resource/Ivory_Coast","Yamoussoukro","http://dbpedia.org/resource/Yamoussoukro","200,659","Abidjan","http://dbpedia.org/resource/Abidjan","4,348,000","21.7"
"Equatorial Guinea","http://dbpedia.org/resource/Equatorial_Guinea","Malabo","http://dbpedia.org/resource/Malabo","187,302","Bata","http://dbpedia.org/resource/Bata,_Equatorial_Guinea","250,770","1.34"
"India","http://dbpedia.org/resource/India","New Delhi","http://dbpedia.org/resource/New_Delhi","249,998","Mumbai","http://dbpedia.org/resource/Mumbai","12,442,373","49.77"
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Nur-Sultan","http://dbpedia.org/resource/Astana","743,014","Almaty","http://dbpedia.org/resource/Almaty","1,450,095","1.95"
"Liechtenstein","http://dbpedia.org/resource/Liechtenstein","Vaduz","http://dbpedia.org/resource/Vaduz","5,109","Schaan","http://dbpedia.org/resource/Schaan","5,806","1.14"
"Malta","http://dbpedia.org/resource/Malta","Valletta","http://dbpedia.org/resource/Valletta","6,000","Birkirkara","http://dbpedia.org/resource/Birkirkara","21,000","3.5"
"Federated States of Micronesia","http://dbpedia.org/resource/Federated_States_of_Micronesia","Palikir","http://dbpedia.org/resource/Palikir","5,000","Weno","http://dbpedia.org/resource/Weno","13,000","2.6"
"Morocco","http://dbpedia.org/resource/Morocco","Rabat","http://dbpedia.org/resource/Rabat","627,000","Casablanca","http://dbpedia.org/resource/Casablanca","4,150,000","6.62"
"Myanmar","http://dbpedia.org/resource/Myanmar","Naypyidaw","http://dbpedia.org/resource/Naypyidaw","925,000","Yangon","http://dbpedia.org/resource/Yangon","4,346,000","4.7"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Wellington","http://dbpedia.org/resource/Wellington","418,500","Auckland","http://dbpedia.org/resource/Auckland","1,570,100","3.75"
"Nigeria","http://dbpedia.org/resource/Nigeria","Abuja","http://dbpedia.org/resource/Abuja","778,567","Lagos","http://dbpedia.org/resource/Lagos","7,937,932","10.2"
"Pakistan","http://dbpedia.org/resource/Pakistan","Islamabad","http://dbpedia.org/resource/Islamabad","1,740,000","Karachi","http://dbpedia.org/resource/Karachi","24,300,000","13.97"
