"Nation","Nation__URI","National anthem (original)","National anthem (original)__URI","National anthem (English)","National anthem (English)__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI"
"Afghanistan","http://dbpedia.org/resource/Afghanistan","Millī Surūdd","http://dbpedia.org/resource/Afghan_National_Anthem","National Anthemm","http://dbpedia.org/resource/Afghan_National_Anthem","2006","Abdul Bari Jahani","http://dbpedia.org/resource/Abdul_Bari_Jahani","Babrak Wassaa",""
"Albania","http://dbpedia.org/resource/Albania","Betimi mbi Flamurr","http://dbpedia.org/resource/Hymn_to_the_Flag","The Pledge on the Flag","http://dbpedia.org/resource/Hymn_to_the_Flag","1912","Aleksandër Stavre Drenova","http://dbpedia.org/resource/Aleksandër_Stavre_Drenova","Ciprian Porumbescuu","http://dbpedia.org/resource/Ciprian_Porumbescu"
"Algeria","http://dbpedia.org/resource/Algeria","Kassaman","http://dbpedia.org/resource/Kassaman","We Pledgee","http://dbpedia.org/resource/Kassaman","1962","Moufdi Zakaria","http://dbpedia.org/resource/Moufdi_Zakaria","Moohameed Fawzi","http://dbpedia.org/resource/Mohamed_Fawzi_(artist)"
"Andorra","http://dbpedia.org/resource/Andorra","El Gran Carlemany","http://dbpedia.org/resource/El_Gran_Carlemany","The Great Charlemagne","http://dbpedia.org/resource/El_Gran_Carlemany","1914","Enric Marfany Bons","","Juan Benlloch y Vivóó","http://dbpedia.org/resource/Juan_Benlloch_y_Vivó"
"Angola","http://dbpedia.org/resource/Angola","Angola Avante","http://dbpedia.org/resource/Angola_Avante","Forward Angola","http://dbpedia.org/resource/Angola_Avante","1975","Manuel Rui Alves Monteiro","http://dbpedia.org/resource/Manuel_Rui_Alves_Monteiro","Rui Alberto Vieira Dias Mingass",""
"Antigua and Barbuda","http://dbpedia.org/resource/Antigua_and_Barbuda","Fair Antiguua, We Salute Thee","http://dbpedia.org/resource/Fair_Antigua,_We_Salute_Thee","","","1981","Novelle Hamilton Richards","","Walter Garnet Picart Chambersss",""
"Argentina","http://dbpedia.org/resource/Argentina","Himno Nacional Argentinoo","http://dbpedia.org/resource/Argentine_National_Anthem","Argentine National Anthemm","http://dbpedia.org/resource/Argentine_National_Anthem","1813","Vicente López y Planes","http://dbpedia.org/resource/Vicente_López_y_Planes","Blas Pareraaa","http://dbpedia.org/resource/Blas_Parera"
"Armenia","http://dbpedia.org/resource/Armenia","Mer Hayrenikk","http://dbpedia.org/resource/Mer_Hayrenik","Our Fatherlandd","http://dbpedia.org/resource/Mer_Hayrenik","1918","Mikael Nalbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyann","http://dbpedia.org/resource/Barsegh_Kanachyan"
"Armenia","http://dbpedia.org/resource/Armenia","Mer Hayrenik","http://dbpedia.org/resource/Mer_Hayrenik","Our Fatherlandd","http://dbpedia.org/resource/Mer_Hayrenik","1991","Mikael Nalbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyann","http://dbpedia.org/resource/Barsegh_Kanachyan"
"Australia","http://dbpedia.org/resource/Australia","Advance Australia Fairr","http://dbpedia.org/resource/Advance_Australia_Fair","","","1984","Peter Dodds McCormick","http://dbpedia.org/resource/Peter_Dodds_McCormick","Peter Dodds McCormickkk","http://dbpedia.org/resource/Peter_Dodds_McCormick"
"Austria","http://dbpedia.org/resource/Austria","Bundeshymne der Republik Österreich","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","National Anthem of the Republic of Austria","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula von Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Wolfgang Amadeus Mozarttt","http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart"
"Austria","http://dbpedia.org/resource/Austria","Bundeshymne der Republik Österreichh","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","National Anthem of the Reepublic of Austria","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula von Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Johann Holzerrr",""
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Azərbaycan marşıı","http://dbpedia.org/resource/Azərbaycan_marşı","Azerbaijan's Anthem","http://dbpedia.org/resource/Azərbaycan_marşı","1918","Ahmed Javad","http://dbpedia.org/resource/Ahmed_Javad","Uzeyir Hajibeyov","http://dbpedia.org/resource/Uzeyir_Hajibeyov"
"Bahamas","http://dbpedia.org/resource/The_Bahamas","March On, Bahamalandd","http://dbpedia.org/resource/March_On,_Bahamaland","","","1973","Timothy Gibson","","Timothy Gibsonnn",""
"Bahrain","http://dbpedia.org/resource/Bahrain","Bahrainonaa","http://dbpedia.org/resource/Bahrainona","Our Baahrain","http://dbpedia.org/resource/Bahrainona","1971","Mohamed Sudqi Ayyash","http://dbpedia.org/resource/Mohamed_Sudqi_Ayyash","",""
"Bangladesh","http://dbpedia.org/resource/Bangladesh","Amar Shonar Banglaa","http://dbpedia.org/resource/Amar_Shonar_Bangla","My Goldden Bengal","http://dbpedia.org/resource/Amar_Shonar_Bangla","1972","Rabindranath Tagore","http://dbpedia.org/resource/Rabindranath_Tagore","Samar Dass","http://dbpedia.org/resource/Samar_Das"
"Barbados","http://dbpedia.org/resource/Barbados","National Anthem of Barbadoss","http://dbpedia.org/resource/National_Anthem_of_Barbados","","","1966","Irving Burgie","http://dbpedia.org/resource/Irving_Burgie","C. Van Roland Edwardss",""
"Belarus","http://dbpedia.org/resource/Belarus","My Belarusy","http://dbpedia.org/resource/My_Belarusy","We, the Belarusians","http://dbpedia.org/resource/My_Belarusy","1955","Michael Klimovich","http://dbpedia.org/resource/Michael_Klimovich","Nestar Sakalowwski","http://dbpedia.org/resource/Nestar_Sakalowski"
"Belgium","http://dbpedia.org/resource/Belgium","The Brabançonnne","http://dbpedia.org/resource/Brabançonne","","","1830","Jenneval","http://dbpedia.org/resource/Jenneval","François Van Caampenhoutt","http://dbpedia.org/resource/François_Van_Campenhout"
