"Artist","Artist__URI","Country / Market","Country / Market__URI","Period active","Release year of first charted record","Genre","Genre__URI","Total certified units (from available markets)","Claimed sales (replaced with mean)"
"The Beatles","http://dbpedia.org/resource/The_Beatles","United Kinngdom","http://dbpedia.org/resource/United_Kingdom","1960–1970","1962","Rock","http://dbpedia.org/resource/Rock_music","Total available certified units: 278.4 million","550 million"
"The Beatles","http://dbpedia.org/resource/The_Beatles","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1960–1970","1962","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 278.4 million","550 million"
"Elvis Presley","http://dbpedia.org/resource/Elvis_Presley","United States","http://dbpedia.org/resource/United_States","1954–1977","1954","Rock and roll","http://dbpedia.org/resource/Rock_and_roll","Total available certified units: 225.2 million","550 million"
"Elvis Presley","http://dbpedia.org/resource/Elvis_Presley","United Statess","http://dbpedia.org/resource/United_States","1954–1977","1954","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 225.2 million","550 million"
"Elvis Presley","http://dbpedia.org/resource/Elvis_Presley","United Statess","http://dbpedia.org/resource/United_States","1954–1977","1954","Country","http://dbpedia.org/resource/Country_music","Total available certified units: 225.2 million","550 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Statess","http://dbpedia.org/resource/United_States","1964–2009","1971","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Statess","http://dbpedia.org/resource/United_States","1964–2009","1971","Rock","http://dbpedia.org/resource/Rock_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Statess","http://dbpedia.org/resource/United_States","1964–2009","1971","Dance","http://dbpedia.org/resource/Dance_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Staates","http://dbpedia.org/resource/United_States","1964–2009","1971","Soul","http://dbpedia.org/resource/Soul_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Statess","http://dbpedia.org/resource/United_States","1964–2009","1971","R&B","http://dbpedia.org/resource/Rhythm_and_blues","Total available certified units: 231.8 million","325 million"
"Elton John","http://dbpedia.org/resource/Elton_John","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1964–present","1969","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 186.3 million","275 million"
"Elton John","http://dbpedia.org/resource/Elton_John","United Kingdom","http://dbpedia.org/resource/United_Kingdom","1964–present","1969","Rock","http://dbpedia.org/resource/Rock_music","Total available certified units: 186.3 million","275 million"
"Madonna","http://dbpedia.org/resource/Madonna_(entertainer)","United States","http://dbpedia.org/resource/United_States","1979–present","1982","Pop","http://dbpedia.org/resource/Pop_music","Total available certified units: 173.6 million","287.5 million"
"Madonna","http://dbpedia.org/resource/Madonna_(entertainer)","United Statess","http://dbpedia.org/resource/United_States","1979–present","1982","Dance","http://dbpedia.org/resource/Dance_music","Total available certified units: 173.6 million","287.5 million"
"Madonna","http://dbpedia.org/resource/Madonna_(entertainer)","United Statess","http://dbpedia.org/resource/United_States","1979–present","1982","Electronica","http://dbpedia.org/resource/Electronica_music","Total available certified units: 173.6 million","287.5 million"
