"Realm / Kingdom","Realm / Kingdom__URI","Monarch","Monarch__URI","Since","Length","House","House__URI","Type","Type__URI","Heir apparent","Heir apparent__URI"
"Principality of Andorra","http://dbpedia.org/resource/Andorra","Co-Prince Emmanuel Macron","http://dbpedia.org/resource/Emmanuel_Macron","14 May 2017","2 years, 204 days","","","Constitutional","","Ex officio","http://dbpedia.org/resource/Paréage_of_Andorra_1278"
"Principality of Andorra","http://dbpedia.org/resource/Andorra","Co-Prince Archbishop Joan Enric Vives Sicília","http://dbpedia.org/resource/Joan_Enric_Vives_Sicília","12 May 2003","16 years, 206 days","","","Constitutional","","Ex officio","http://dbpedia.org/resource/Paréage_of_Andorra_1278"
"Antigua and Barbuda","http://dbpedia.org/resource/Antigua_and_Barbuda","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","1 November 1981","38 years, 33 days","Windsoor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Antigua_and_Barbuda","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Commonwealth of Australia","http://dbpedia.org/resource/Australia","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","Winddsorr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Australia","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Commonwealth of the Bahamas","http://dbpedia.org/resource/The_Bahamas","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","10 July 1973","46 years, 147 days","Windsoor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_Bahamas","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Barbados","http://dbpedia.org/resource/Barbados","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","30 November 1966","53 years, 4 days","Windsor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Barbados","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Belize","http://dbpedia.org/resource/Belize","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","21 September 1981","38 years, 74 days","Windsorr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Belize","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Canada","http://dbpedia.org/resource/Canada","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","Windsorrr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Canada","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Grenada","http://dbpedia.org/resource/Grenada","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","7 February 1974","45 years, 300 days","Windsorrr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Grenada","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Jamaica","http://dbpedia.org/resource/Jamaica","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","6 August 1962","57 years, 120 days","Windsorrr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Jamaica","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"New Zealand","http://dbpedia.org/resource/Realm_of_New_Zealand","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","Wiindsor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_New_Zealand","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Independent State of Papua New Guinea","http://dbpedia.org/resource/Papua_New_Guinea","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","16 September 1975","44 years, 79 days","Windsorr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Papua_New_Guinea","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Federation of Saint Kitts and Nevis","http://dbpedia.org/resource/Saint_Kitts_and_Nevis","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","19 September 1983","36 years, 76 days","Windsor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Saint_Kitts_and_Nevis","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Saint Lucia","http://dbpedia.org/resource/Saint_Lucia","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","22 February 1979","40 years, 285 days","Windsor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Saint_Lucia","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Saint Vincent and the Grenadines","http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","27 October 1979","40 years, 285 days","Windsorr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Saint_Vincent_and_the_Grenadines","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Solomon Islands","http://dbpedia.org/resource/Solomon_Islands","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","7 July 1978","41 years, 150 days","Windsorr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_Solomon_Islands","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Tuvalu","http://dbpedia.org/resource/Tuvalu","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","1 October 1978","41 years, 64 days","Windsorr","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Tuvalu","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"United Kingdom of Great Britain and Northern Ireland","http://dbpedia.org/resource/United_Kingdom","Queen Elizabeth II","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","WWindsor","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_United_Kingdom","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales"
"Kingdom of Bahrain","http://dbpedia.org/resource/Bahrain","King Hamad bin Isa","http://dbpedia.org/resource/Hamad_bin_Isa_Al_Khalifa","6 March 1999","20 years, 273 days","Al Khalifahhh","http://dbpedia.org/resource/House_of_Khalifa","Mixed","http://dbpedia.org/resource/Mixed_government","Salman, Crown Prince of Bahrain","http://dbpedia.org/resource/Salman,_Crown_Prince_of_Bahrain"
"Kingdom of Belgium","http://dbpedia.org/resource/Belgium","King Philippe","http://dbpedia.org/resource/Philippe_of_Belgium","21 July 2013","6 years, 136 days","Saxe-Coburg and Gotthaa","http://dbpedia.org/resource/House_of_Saxe-Coburg_and_Gotha","Constitutional","http://dbpedia.org/resource/Monarchy_of_Belgium","Princess Elisabeth, Duchess of Brabant","http://dbpedia.org/resource/Princess_Elisabeth,_Duchess_of_Brabant"
"Kingdom of Bhutan","http://dbpedia.org/resource/Bhutan","King Jigme Khesar Namgyel","http://dbpedia.org/resource/Jigme_Khesar_Namgyel_Wangchuck","14 December 2006","12 years, 354 days","Wangchuck","http://dbpedia.org/resource/House_of_Wangchuck","Constitutional","http://dbpedia.org/resource/Monarchy_of_Bhutan","Jigme Namgyel","http://dbpedia.org/resource/Jigme_Namgyel_Wangchuck"
"Brunei Darussalam","http://dbpedia.org/resource/Brunei","Sultan Hassanal Bolkiah","http://dbpedia.org/resource/Hassanal_Bolkiah","4 October 1967","52 years, 61 days","Bolkiahhh","http://dbpedia.org/resource/House_of_Bolkiah","Absolute","http://dbpedia.org/resource/Absolute_monarchy","Al-Muhtadee Billah","http://dbpedia.org/resource/Al-Muhtadee_Billah"
"Kingdom of Cambodia","http://dbpedia.org/resource/Cambodia","King Norodom Sihamoni","http://dbpedia.org/resource/Norodom_Sihamoni","14 October 2004","15 years, 51 days","Norodommm","http://dbpedia.org/resource/House_of_Norodom","Constitutional","http://dbpedia.org/resource/Monarchy_of_Cambodia","Hereditary and elective","http://dbpedia.org/resource/Line_of_succession_to_the_Cambodian_throne"
"Kingdom of Denmark","http://dbpedia.org/resource/Denmark","Queen Margrethe II","http://dbpedia.org/resource/Margrethe_II_of_Denmark","14 January 1972","47 years, 324 days","Glücksburgg","http://dbpedia.org/resource/House_of_Glücksburg","Constitutional","http://dbpedia.org/resource/Monarchy_of_Denmark","Frederik, Crown Prince of Denmark","http://dbpedia.org/resource/Frederik,_Crown_Prince_of_Denmark"
"Kingdom of Eswatini","http://dbpedia.org/resource/Swaziland","King Mswati III","http://dbpedia.org/resource/Mswati_III","25 April 1986","33 years, 223 days","Dlaminii","http://dbpedia.org/resource/House_of_Dlamini","Absolute","http://dbpedia.org/resource/Absolute_monarchy","Hereditary and elective","http://dbpedia.org/resource/Succession_to_the_Swazi_throne"
"Japan","http://dbpedia.org/resource/Japan","Emperor Naruhito","http://dbpedia.org/resource/Naruhito","1 May 2019","217 days","Yamatoo","http://dbpedia.org/resource/Imperial_House_of_Japan","Constitutional","http://dbpedia.org/resource/Emperor_of_Japan","Fumihito, Prince Akishino","http://dbpedia.org/resource/Fumihito,_Prince_Akishino"
"Hashemite Kingdom of Jordan","http://dbpedia.org/resource/Jordan","King Abdullah II","http://dbpedia.org/resource/Abdullah_II_of_Jordan","7 February 1999","20 years, 300 days","Hāshiimm","http://dbpedia.org/resource/Hashemites","Constitutional","","Hereditary and elective","http://dbpedia.org/resource/Line_of_succession_to_the_Jordanian_throne"
