"Presidency","Presidency__URI","Presidency (period)","President","President__URI","Prior office","Prior office__URI","Party","Party__URI","Election","Election__URI","Vice President","Vice President__URI"
"1","http://dbpedia.org/resource/Presidency_of_George_Washington","April 30, 1789 – March 4, 1797","George Washington","http://dbpedia.org/resource/George_Washington","Commander-in-Chief of the Continental Army","http://dbpedia.org/resource/Continental_Army","","","1788–89","http://dbpedia.org/resource/United_States_presidential_election,_1788–89","John Adams","http://dbpedia.org/resource/John_Adams"
"1","http://dbpedia.org/resource/Presidency_of_George_Washington","April 30, 1789 – March 4, 1797","George Washington","http://dbpedia.org/resource/George_Washington","Commander-in-Chief of the Continental Army","http://dbpedia.org/resource/Continental_Army","","","1792","http://dbpedia.org/resource/United_States_presidential_election,_1792","John Adams","http://dbpedia.org/resource/John_Adams"
"2","http://dbpedia.org/resource/Presidency_of_John_Adams","March 4, 1797 – March 4, 1801","John Adams","http://dbpedia.org/resource/John_Adams","1st vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Federalist","http://dbpedia.org/resource/Federalist_Party","1796","http://dbpedia.org/resource/United_States_presidential_election,_1996","Thomas Jefferson","http://dbpedia.org/resource/Thomas_Jefferson"
"3","http://dbpedia.org/resource/Presidency_of_Thomas_Jefferson","March 4, 1801 – March 4, 1809","Thomas Jefferson","http://dbpedia.org/resource/Thomas_Jefferson","2nd vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1800","http://dbpedia.org/resource/United_States_presidential_election,_1800","Aaron Burr","http://dbpedia.org/resource/Aaron_Burr"
"3","http://dbpedia.org/resource/Presidency_of_Thomas_Jefferson","March 4, 1801 – March 4, 1809","Thomas Jefferson","http://dbpedia.org/resource/Thomas_Jefferson","2nd vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1804","http://dbpedia.org/resource/United_States_presidential_election,_1804","George Clinton","http://dbpedia.org/resource/George_Clinton_(vice_president)"
"4","http://dbpedia.org/resource/Presidency_of_James_Madison","March 4, 1809 – March 4, 1817","James Madison","http://dbpedia.org/resource/James_Madison","5th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1808","http://dbpedia.org/resource/United_States_presidential_election,_1808","George Clinton","http://dbpedia.org/resource/George_Clinton_(vice_president)"
"4","http://dbpedia.org/resource/Presidency_of_James_Madison","March 4, 1809 – March 4, 1817","James Madison","http://dbpedia.org/resource/James_Madison","5th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1808","http://dbpedia.org/resource/United_States_presidential_election,_1808","",""
"4","http://dbpedia.org/resource/Presidency_of_James_Madison","March 4, 1809 – March 4, 1817","James Madison","http://dbpedia.org/resource/James_Madison","5th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1812","http://dbpedia.org/resource/United_States_presidential_election,_1812","Elbridge Gerry","http://dbpedia.org/resource/Elbridge_Gerry"
"4","http://dbpedia.org/resource/Presidency_of_James_Madison","March 4, 1809 – March 4, 1817","James Madison","http://dbpedia.org/resource/James_Madison","5th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1812","http://dbpedia.org/resource/United_States_presidential_election,_1812","",""
"5","http://dbpedia.org/resource/Presidency_of_James_Monroe","March 4, 1817 – March 4, 1825","James Monroe","http://dbpedia.org/resource/James_Monroe","7th United States secretary of state","http://dbpedia.org/resource/United_States_Secretary_of_State","Democratic-Republican","http://dbpedia.org/resource/Democratic-Republican_Party","1816","http://dbpedia.org/resource/United_States_presidential_election,_1816","Daniel D. Tompkins","http://dbpedia.org/resource/Daniel_D._Tompkins"
