"Team","Team__URI","Location","Location__URI","Stadium","Stadium__URI","Capacity"
"Arsenall","http://dbpedia.org/resource/Arsenal_F.C.","London (Holloway))","http://dbpedia.org/resource/Holloway,_London","Emirates Stadium","http://dbpedia.org/resource/Emirates_Stadium","60,704"
"Aston Villaa","http://dbpedia.org/resource/Aston_Villa_F.C.","Birminngham","http://dbpedia.org/resource/Birmingham","Villa Park","http://dbpedia.org/resource/Villa_Park","42,785"
"Bournemouth","http://dbpedia.org/resource/A.F.C._Bournemouth","Bournemouthh","http://dbpedia.org/resource/Bournemouth","Dean Court","http://dbpedia.org/resource/Dean_Court","11,364"
"Brighton & Hove Albionn","http://dbpedia.org/resource/Brighton_&_Hove_Albion_F.C.","Brightonn","http://dbpedia.org/resource/Brighton","Falmer Stadium","http://dbpedia.org/resource/Falmer_Stadium","30,666"
"Burnley","http://dbpedia.org/resource/Burnley_F.C.","Burnleyy","http://dbpedia.org/resource/Burnley","Turf Moor","http://dbpedia.org/resource/Turf_Moor","21,944"
"Chelsea","http://dbpedia.org/resource/Chelsea_F.C.","London (Fulham))","http://dbpedia.org/resource/Fulham","Stamford Bridge","http://dbpedia.org/resource/Stamford_Bridge_(stadium)","41,631"
"Crystal PPalace","http://dbpedia.org/resource/Crystal_Palace_F.C.","London (Selhurst)","http://dbpedia.org/resource/Selhurst","Selhurst Park","http://dbpedia.org/resource/Selhurst_Park","26,047"
"Everton","http://dbpedia.org/resource/Everton_F.C.","Liverpool (Walton))","http://dbpedia.org/resource/Walton,_Liverpool","Goodison Park","http://dbpedia.org/resource/Goodison_Park","39,221"
"Leicester Cityy","http://dbpedia.org/resource/Leicester_City_F.C.","Leicestter","http://dbpedia.org/resource/Leicester","King Power Stadium","http://dbpedia.org/resource/King_Power_Stadium","32,312"
"Liverpooll","http://dbpedia.org/resource/Liverpool_F.C.","Liverpool (Anfield)","http://dbpedia.org/resource/Anfield,_Liverpool","Anfield","http://dbpedia.org/resource/Anfield","54,074"
"Manchester Cityy","http://dbpedia.org/resource/Manchester_City_F.C.","Manchesterr","http://dbpedia.org/resource/Manchester","City of Manchester Stadium","http://dbpedia.org/resource/City_of_Manchester_Stadium","55,017"
"MManchester United","http://dbpedia.org/resource/Manchester_United_F.C.","Old Traffordd","http://dbpedia.org/resource/Old_Trafford,_Greater_Manchester","Old Trafford","http://dbpedia.org/resource/Old_Trafford","74,879"
"Newcastle  United","http://dbpedia.org/resource/Newcastle_United_F.C.","Newcastle upon Tynee","http://dbpedia.org/resource/Newcastle_upon_Tyne","St James' Park","http://dbpedia.org/resource/St_James'_Park","52,354"
"Norwich Cityy","http://dbpedia.org/resource/Norwich_City_F.C.","Norwichh","http://dbpedia.org/resource/Norwich","Carrow Road","http://dbpedia.org/resource/Carrow_Road","27,244"
"Sheffield Unitedd","http://dbpedia.org/resource/Sheffield_United_F.C.","Sheffield","http://dbpedia.org/resource/Sheffield","Bramall Lane","http://dbpedia.org/resource/Bramall_Lane","32,702"
"Southamptton","http://dbpedia.org/resource/Southampton_F.C.","Southamptonn","http://dbpedia.org/resource/Southampton","St Mary's Stadium","http://dbpedia.org/resource/St_Mary's_Stadium","32,384"
"Tottenham Hotspur","http://dbpedia.org/resource/Tottenham_Hotspur_F.C.","London (Tottenham))","http://dbpedia.org/resource/Tottenham","Tottenham Hotspur Stadium","","62,214"
"Watfoord","http://dbpedia.org/resource/Watford_F.C.","Watfordd","http://dbpedia.org/resource/Watford","Vicarage Road","http://dbpedia.org/resource/Vicarage_Road","20,400"
"West Ham Unitedd","http://dbpedia.org/resource/West_Ham_United_F.C.","London (Stratford))","http://dbpedia.org/resource/Stratford,_London","London Stadium","http://dbpedia.org/resource/London_Stadium","60,000"
"Wolverhampton Wandererss","http://dbpedia.org/resource/Wolverhampton_Wanderers_F.C.","Wolverhamptonn","http://dbpedia.org/resource/Wolverhampton","Molineux Stadium","http://dbpedia.org/resource/Molineux_Stadium","32,050"
