city,city__URI,state,state__URI
Abbevile,"http://dbpedia.org/resource/Abbeville,_Georgia","Georgia, GA",http://dbpedia.org/resource/Georgia_(U.S._state)
Abiline,"http://dbpedia.org/resource/Abilene,_Texas","Texas, TX",http://dbpedia.org/resource/Texas_(state)
Adamsvile,"http://dbpedia.org/resource/Adamsville,_Tennessee","Tennessee, TN",http://dbpedia.org/resource/Tennessee_(state)
Alabastre,"http://dbpedia.org/resource/Alabaster,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Allbany,"http://dbpedia.org/resource/Albany,_New_York","New York, NY",http://dbpedia.org/resource/New_York_(state)
Albuqerque,"http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Allgona,"http://dbpedia.org/resource/Algona,_Washington","Washington, WA",http://dbpedia.org/resource/Washington_(state)
Algonkwin,"http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Algonquen,"http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Anapolis,"http://dbpedia.org/resource/Annapolis,_Maryland","Maryland, MD",http://dbpedia.org/resource/Maryland_(state)
Artesea,"http://dbpedia.org/resource/Artesia,_Mississippi","Mississippi, MS",http://dbpedia.org/resource/Mississippi_(state)
Avrada,"http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Aspin,"http://dbpedia.org/resource/Aspen,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Uaburn,"http://dbpedia.org/resource/Auburn,_Washington","Washington, WA",http://dbpedia.org/resource/Washington_(state)
Bardston,"http://dbpedia.org/resource/Bardstown,_Kentucky","Kentucky, KY",http://dbpedia.org/resource/Kentucky_(state)
Bayo La Bater,"http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Baerdstown,"http://dbpedia.org/resource/Beardstown,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Baettie,"http://dbpedia.org/resource/Beattie,_Kansas","Kansas, KS",http://dbpedia.org/resource/Kansas_(state)
Beever,"http://dbpedia.org/resource/Beaver,_Oklahoma","Oklahoma, OK",http://dbpedia.org/resource/Oklahoma_(state)
Bever,"http://dbpedia.org/resource/Beaver,_Oklahoma","Oklahoma, OK",http://dbpedia.org/resource/Oklahoma_(state)
Belsoni,"http://dbpedia.org/resource/Belzoni,_Mississippi","Mississippi, MS",http://dbpedia.org/resource/Mississippi_(state)
Berklui,"http://dbpedia.org/resource/Berkeley,_California","California, CA",http://dbpedia.org/resource/California_(state)
Berian Springs,"http://dbpedia.org/resource/Berrien_Springs,_Michigan","Michigan, MI",http://dbpedia.org/resource/Michigan_(state)
Betheny Beach,"http://dbpedia.org/resource/Bethany_Beach,_Delaware","Delaware, DE",http://dbpedia.org/resource/Delaware_(state)
Bethleham,"http://dbpedia.org/resource/Bethlehem,_Connecticut","Connecticut, CT",http://dbpedia.org/resource/Connecticut_(state)
Bilcksi,"http://dbpedia.org/resource/Biloxi,_Mississippi","Mississippi, MS",http://dbpedia.org/resource/Mississippi_(state)
Bluefeild,"http://dbpedia.org/resource/Bluefield,_West_Virginia","West Virginia, WV",http://dbpedia.org/resource/West_Virginia_(state)
Bonne,"http://dbpedia.org/resource/Boone,_North_Carolina","North Carolina, NC",http://dbpedia.org/resource/North_Carolina_(state)
Braeux Bridge,"http://dbpedia.org/resource/Breaux_Bridge,_Louisiana","Louisiana, LA",http://dbpedia.org/resource/Louisiana_(state)
Breverd,"http://dbpedia.org/resource/Brevard,_North_Carolina","North Carolina, NC",http://dbpedia.org/resource/North_Carolina_(state)
Brinckley,"http://dbpedia.org/resource/Brinkley,_Arkansas","Arkansas, AR",http://dbpedia.org/resource/Arkansas_(state)
Brooklen,"http://dbpedia.org/resource/Brooklyn,_New_York","New York, NY",http://dbpedia.org/resource/New_York_(state)
Beuna,"http://dbpedia.org/resource/Buena_Park,_California","California, CA",http://dbpedia.org/resource/California_(state)
