Country,Country__URI
Colarado,http://dbpedia.org/resource/Colorado_(state)
Delawere,http://dbpedia.org/resource/Delaware_(state)
Floryda,http://dbpedia.org/resource/Florida_(state)
Georgeia,http://dbpedia.org/resource/Georgia_(U.S._state)
Hawai,http://dbpedia.org/resource/Hawaii_(state)
Howaii,http://dbpedia.org/resource/Hawaii_(state)
Hawii,http://dbpedia.org/resource/Hawaii_(state)
Illanoise,http://dbpedia.org/resource/Illinois_(state)
Louiseiana,http://dbpedia.org/resource/Louisiana_(state)
michagan,http://dbpedia.org/resource/Michigan_(state)
Nevadaa,http://dbpedia.org/resource/Nevada_(state)
Newyork,http://dbpedia.org/resource/New_York_(state)
northdakota,http://dbpedia.org/resource/North_Dakota_(state)
ndak,http://dbpedia.org/resource/North_Dakota_(state)
Oiho,http://dbpedia.org/resource/Ohio_(state)
Okalahoma,http://dbpedia.org/resource/Oklahoma_(state)
Pensylvania,http://dbpedia.org/resource/Pennsylvania_(state)
rode island,http://dbpedia.org/resource/Rhode_Island_(state)
rhod island,http://dbpedia.org/resource/Rhode_Island_(state)
sout carolin,http://dbpedia.org/resource/South_Carolina_(state)
Tennesee,http://dbpedia.org/resource/Tennessee_(state)
Tennisee,http://dbpedia.org/resource/Tennessee_(state)
texes,http://dbpedia.org/resource/Texas_(state)
texis,http://dbpedia.org/resource/Texas_(state)
Utes,http://dbpedia.org/resource/Utah_(state)
West Virgnia,http://dbpedia.org/resource/West_Virginia_(state)
Alabama,http://dbpedia.org/resource/Alabama_(state)
Alabama,http://dbpedia.org/resource/Alabama_(state)
Alaska,http://dbpedia.org/resource/Alaska_(state)
Arizona,http://dbpedia.org/resource/Arizona_(state)
Arizona,http://dbpedia.org/resource/Arizona_(state)
California,http://dbpedia.org/resource/California_(state)
Colorado,http://dbpedia.org/resource/Colorado_(state)
Connecticut,http://dbpedia.org/resource/Connecticut_(state)
Connecticut,http://dbpedia.org/resource/Connecticut_(state)
Connecticut,http://dbpedia.org/resource/Connecticut_(state)
Connecticut,http://dbpedia.org/resource/Connecticut_(state)
Connecticut,http://dbpedia.org/resource/Connecticut_(state)
Florida,http://dbpedia.org/resource/Florida_(state)
Florida,http://dbpedia.org/resource/Florida_(state)
Florida,http://dbpedia.org/resource/Florida_(state)
Georgia,http://dbpedia.org/resource/Georgia_(U.S._state)
Hawaii,http://dbpedia.org/resource/Hawaii_(state)
Idaho,http://dbpedia.org/resource/Idaho_(state)
Idaho,http://dbpedia.org/resource/Idaho_(state)
Iowa,http://dbpedia.org/resource/Iowa_(state)
Iowa,http://dbpedia.org/resource/Iowa_(state)
Iowa,http://dbpedia.org/resource/Iowa_(state)
Kentucky,http://dbpedia.org/resource/Kentucky_(state)
Kentucky,http://dbpedia.org/resource/Kentucky_(state)
Maine,http://dbpedia.org/resource/Maine_(state)
Maine,http://dbpedia.org/resource/Maine_(state)
Maryland,http://dbpedia.org/resource/Maryland_(state)
Maryland,http://dbpedia.org/resource/Maryland_(state)
Massachusetts,http://dbpedia.org/resource/Massachusetts_(state)
Massachusetts,http://dbpedia.org/resource/Massachusetts_(state)
Massachusetts,http://dbpedia.org/resource/Massachusetts_(state)
Massachusetts,http://dbpedia.org/resource/Massachusetts_(state)
Michigan,http://dbpedia.org/resource/Michigan_(state)
Michigan,http://dbpedia.org/resource/Michigan_(state)
Minnesota,http://dbpedia.org/resource/Minnesota_(state)
Mississippi,http://dbpedia.org/resource/Mississippi_(state)
Mississippi,http://dbpedia.org/resource/Mississippi_(state)
Mississippi,http://dbpedia.org/resource/Mississippi_(state)
Mississippi,http://dbpedia.org/resource/Mississippi_(state)
Mississippi,http://dbpedia.org/resource/Mississippi_(state)
Nebraska,http://dbpedia.org/resource/Nebraska_(state)
Nevada,http://dbpedia.org/resource/Nevada_(state)
Nevada,http://dbpedia.org/resource/Nevada_(state)
New Hampshire,http://dbpedia.org/resource/New_Hampshire_(state)
New Jersey,http://dbpedia.org/resource/New_Jersey_(state)
New Mexico,http://dbpedia.org/resource/New_Mexico_(state)
North Carolina,http://dbpedia.org/resource/North_Carolina_(state)
North Dakota,http://dbpedia.org/resource/North_Dakota_(state)
Oregon,http://dbpedia.org/resource/Oregon_(state)
Rhode Island,http://dbpedia.org/resource/Rhode_Island_(state)
Rhode Island,http://dbpedia.org/resource/Rhode_Island_(state)
South Carolina,http://dbpedia.org/resource/South_Carolina_(state)
South Carolina,http://dbpedia.org/resource/South_Carolina_(state)
South Carolina,http://dbpedia.org/resource/South_Carolina_(state)
South Carolina,http://dbpedia.org/resource/South_Carolina_(state)
South Dakota,http://dbpedia.org/resource/South_Dakota_(state)
Tennessee,http://dbpedia.org/resource/Tennessee_(state)
Tennessee,http://dbpedia.org/resource/Tennessee_(state)
Utah,http://dbpedia.org/resource/Utah_(state)
West Virginia,http://dbpedia.org/resource/West_Virginia_(state)
Wyoming,http://dbpedia.org/resource/Wyoming_(state)
Wyoming,http://dbpedia.org/resource/Wyoming_(state)
Wyoming,http://dbpedia.org/resource/Wyoming_(state)
