"player","player__URI","team","team__URI"
"Paul Cleary","http://dbpedia.org/resource/Paul_Cleary_(American_football)","New York Yankees ","http://dbpedia.org/resource/New_York_Yankees_(AAFC)"
"Gary Mullen","http://dbpedia.org/resource/Gary_Mullen_(American_football)","Denver Dynamite ","http://dbpedia.org/resource/Denver_Dynamite_(arena_football)"
"Bob Beattie","http://dbpedia.org/resource/Bob_Beattie_(American_football)","New York Yankees ","http://dbpedia.org/resource/New_York_Yankees_(NFL)"
"Edward B. Gallagher","http://dbpedia.org/resource/Ed_Gallagher_(American_football,_born_1903)","New York Yankees ","http://dbpedia.org/resource/New_York_Yankees_(NFL)"
"Brian Ross","http://dbpedia.org/resource/Brian_Ross_(footballer)","Airdrieonians F.C. ","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Stuart Taylor","http://dbpedia.org/resource/Stuart_Taylor_(footballer,_born_1974)","Airdrieonians F.C. ","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Chris Bennett","http://dbpedia.org/resource/Chris_Bennett_(soccer)","Cleveland Force ","http://dbpedia.org/resource/Cleveland_Force_(1978–88)"
"Roger Davies","http://dbpedia.org/resource/Roger_Davies_(footballer)","Seattle Sounders ","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"David Farrell","http://dbpedia.org/resource/David_Farrell_(footballer,_born_1969)","Airdrieonians F.C. ","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Johnny Moore","http://dbpedia.org/resource/Johnny_Moore_(soccer)","San Francisco Fog ","http://dbpedia.org/resource/San_Francisco_Fog_(MISL)"
"Eddie Henderson","http://dbpedia.org/resource/Eddie_Henderson_(soccer)","Seattle Storm ","http://dbpedia.org/resource/Seattle_Storm_(soccer)"
"Martin Nash","http://dbpedia.org/resource/Martin_Nash_(soccer)","Vancouver Whitecaps ","http://dbpedia.org/resource/Vancouver_Whitecaps_(1986–2010)"
"Chris Bennett","http://dbpedia.org/resource/Chris_Bennett_(soccer)","Seattle Sounders ","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"Martin Nash","http://dbpedia.org/resource/Martin_Nash_(soccer)","Montreal Impact ","http://dbpedia.org/resource/Montreal_Impact_(1992–2011)"
"Carlos Rivera","http://dbpedia.org/resource/Carlos_Rivera_(basketball)","Leones de Ponce ","http://dbpedia.org/resource/Leones_de_Ponce_(basketball)"
"Charles Thomas","http://dbpedia.org/resource/Charles_Thomas_(basketball,_born_1986)","Maccabi Rishon LeZion ","http://dbpedia.org/resource/Maccabi_Rishon_LeZion_(basketball)"
"Carlos Morais","http://dbpedia.org/resource/Carlos_Morais_(basketball)","S.L. Benfica ","http://dbpedia.org/resource/S.L._Benfica_(basketball)"
"Joe Jackson","http://dbpedia.org/resource/Joe_Jackson_(basketball)","Maccabi Rishon LeZion ","http://dbpedia.org/resource/Maccabi_Rishon_LeZion_(basketball)"
"Dániel Kiss","http://dbpedia.org/resource/Dániel_Kiss_(ice_hockey_player)","Újpesti TE ","http://dbpedia.org/resource/Újpesti_TE_(ice_hockey)"
"Kyle Rank","http://dbpedia.org/resource/Kyle_Rank_(ice_hockey,_born_1987)","Peoria Rivermen ","http://dbpedia.org/resource/Peoria_Rivermen_(SPHL)"
"David Urquhart","http://dbpedia.org/resource/David_Urquhart_(ice_hockey)","Hamilton Bulldogs ","http://dbpedia.org/resource/Hamilton_Bulldogs_(AHL)"
"Andrew Watt","http://dbpedia.org/resource/Andrew_Watt_(lacrosse)","Peterborough Lakers ","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"Pat Baker","http://dbpedia.org/resource/Pat_Baker_(lacrosse)","Peterborough Lakers ","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"John Tavares","http://dbpedia.org/resource/John_Tavares_(lacrosse)","Peterborough Lakers ","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"Shawn Evans","http://dbpedia.org/resource/Shawn_Evans_(lacrosse)","Peterborough Lakers ","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"James Walker","http://dbpedia.org/resource/James_Walker_(racing_driver)","Liverpool F.C. ","http://dbpedia.org/resource/Liverpool_F.C._(Superleague_Formula_team)"
"Ben Lewis","http://dbpedia.org/resource/Ben_Lewis_(rugby_union)","Ospreys ","http://dbpedia.org/resource/Ospreys_(rugby_team)"
"Jean Laurent","http://dbpedia.org/resource/Jean_Laurent_(footballer)","Toulouse FC ","http://dbpedia.org/resource/Toulouse_FC_(1937)"
"Robert Dunn","http://dbpedia.org/resource/Robert_Dunn_(footballer)","Airdrieonians F.C. ","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Hiroshi Saito","http://dbpedia.org/resource/Hiroshi_Saito_(footballer)","Esporte Clube XV de Novembro ","http://dbpedia.org/resource/Esporte_Clube_XV_de_Novembro_(Jaú)"
"Charles Elliott","http://dbpedia.org/resource/Charles_Elliott_(footballer)","Rotherham Town F.C. ","http://dbpedia.org/resource/Rotherham_Town_F.C._(1899)"
"Simon Thomas","http://dbpedia.org/resource/Simon_Thomas_(soccer)","Vancouver Whitecaps ","http://dbpedia.org/resource/Vancouver_Whitecaps_(1986–2010)"
"David Doyle","http://dbpedia.org/resource/David_Doyle_(soccer)","Dallas Sidekicks ","http://dbpedia.org/resource/Dallas_Sidekicks_(1984–2004)"
"Peter Carr","http://dbpedia.org/resource/Peter_Carr_(footballer)","Cleveland Force ","http://dbpedia.org/resource/Cleveland_Force_(1978–88)"
"John Hill","http://dbpedia.org/resource/John_Hill_(Scottish_footballer)","Airdrieonians F.C. ","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"John Rowlands","http://dbpedia.org/resource/John_Rowlands_(footballer)","Cape Town City F.C. ","http://dbpedia.org/resource/Cape_Town_City_F.C._(NFL)"
"Terry Brown","http://dbpedia.org/resource/Terry_Brown_(soccer)","St. Louis Ambush ","http://dbpedia.org/resource/St._Louis_Ambush_(NPSL)"
"John Ackroyd","http://dbpedia.org/resource/John_Ackroyd_(footballer,_born_1868)","Rotherham Town F.C. ","http://dbpedia.org/resource/Rotherham_Town_F.C._(1878)"
"John Rowlands","http://dbpedia.org/resource/John_Rowlands_(footballer)","Seattle Sounders ","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"Gordon McLeod","http://dbpedia.org/resource/Gordon_McLeod_(footballer)","Airdrieonians F.C. ","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
