"player","player__URI","team","team__URI"
"Paul Cleary","http://dbpedia.org/resource/Paul_Cleary_(American_football)","New YYork Yankees","http://dbpedia.org/resource/New_York_Yankees_(AAFC)"
"Gary Mullen","http://dbpedia.org/resource/Gary_Mullen_(American_football)","Denver Dynamite","http://dbpedia.org/resource/Denver_Dynamite_(arena_football)"
"Bob Beattiie","http://dbpedia.org/resource/Bob_Beattie_(American_football)","New York Yankeess","http://dbpedia.org/resource/New_York_Yankees_(NFL)"
"Edward B. Gallagherr","http://dbpedia.org/resource/Ed_Gallagher_(American_football,_born_1903)","New York Yankees","http://dbpedia.org/resource/New_York_Yankees_(NFL)"
"Brian Rosss","http://dbpedia.org/resource/Brian_Ross_(footballer)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Stuart Taylor","http://dbpedia.org/resource/Stuart_Taylor_(footballer,_born_1974)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Chris Bennettt","http://dbpedia.org/resource/Chris_Bennett_(soccer)","Cleveland Forrce","http://dbpedia.org/resource/Cleveland_Force_(1978–88)"
"Roger Daviess","http://dbpedia.org/resource/Roger_Davies_(footballer)","Seattle Sounderss","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"David Farrelll","http://dbpedia.org/resource/David_Farrell_(footballer,_born_1969)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Johnny Moore","http://dbpedia.org/resource/Johnny_Moore_(soccer)","San Francisco Fogg","http://dbpedia.org/resource/San_Francisco_Fog_(MISL)"
"Eddie Hendersonn","http://dbpedia.org/resource/Eddie_Henderson_(soccer)","Seaattle Storm","http://dbpedia.org/resource/Seattle_Storm_(soccer)"
"Martin Nash","http://dbpedia.org/resource/Martin_Nash_(soccer)","Vancouver Whiteecaps","http://dbpedia.org/resource/Vancouver_Whitecaps_(1986–2010)"
"Chris Bennettt","http://dbpedia.org/resource/Chris_Bennett_(soccer)","Seattle Sounders","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"Martin Nash","http://dbpedia.org/resource/Martin_Nash_(soccer)","Montreal Impact","http://dbpedia.org/resource/Montreal_Impact_(1992–2011)"
"Carlos Riveraa","http://dbpedia.org/resource/Carlos_Rivera_(basketball)","Leonees de Ponce","http://dbpedia.org/resource/Leones_de_Ponce_(basketball)"
"Charles Thomas","http://dbpedia.org/resource/Charles_Thomas_(basketball,_born_1986)","Maccabi Rishon LeZion","http://dbpedia.org/resource/Maccabi_Rishon_LeZion_(basketball)"
"Carlos Moraiss","http://dbpedia.org/resource/Carlos_Morais_(basketball)","S.L. Benfica","http://dbpedia.org/resource/S.L._Benfica_(basketball)"
"Joe JJackson","http://dbpedia.org/resource/Joe_Jackson_(basketball)","Maccabi Rishon LeZionn","http://dbpedia.org/resource/Maccabi_Rishon_LeZion_(basketball)"
"Dániel Kisss","http://dbpedia.org/resource/Dániel_Kiss_(ice_hockey_player)","Újpesti TTE","http://dbpedia.org/resource/Újpesti_TE_(ice_hockey)"
"Kyle Rankk","http://dbpedia.org/resource/Kyle_Rank_(ice_hockey,_born_1987)","Peoria RRivermen","http://dbpedia.org/resource/Peoria_Rivermen_(SPHL)"
"David Urquhart","http://dbpedia.org/resource/David_Urquhart_(ice_hockey)","Hamilton Bulldogs","http://dbpedia.org/resource/Hamilton_Bulldogs_(AHL)"
"Andrew Wattt","http://dbpedia.org/resource/Andrew_Watt_(lacrosse)","Peterbborough Lakers","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"Pat Bakerr","http://dbpedia.org/resource/Pat_Baker_(lacrosse)","Peterborough Lakerss","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"John Tavares","http://dbpedia.org/resource/John_Tavares_(lacrosse)","Peterborough Lakerss","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"Shawnn Evans","http://dbpedia.org/resource/Shawn_Evans_(lacrosse)","Peterborough Lakerss","http://dbpedia.org/resource/Peterborough_Lakers_(MSL)"
"James Walkerr","http://dbpedia.org/resource/James_Walker_(racing_driver)","Liverpool F.C.","http://dbpedia.org/resource/Liverpool_F.C._(Superleague_Formula_team)"
