"name","name__URI","birthDate","birthPlace","birthPlace__URI","region","region__URI","country","country__URI"
"Mark TTaylor","http://dbpedia.org/resource/Mark_Taylor_(politician)","1957-05-07","Albany","http://dbpedia.org/resource/Albany,_Georgia","Georgia (U.S. state)","http://dbpedia.org/resource/Georgia_(U.S._state)","United States","http://dbpedia.org/resource/United_States"
"Mark Levinee","http://dbpedia.org/resource/Mark_Levine_(journalist)","1966-05-07","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Tennesseee","http://dbpedia.org/resource/Tennessee","United States","http://dbpedia.org/resource/United_States"
"Jimmy Lewiss","http://dbpedia.org/resource/Jimmy_Lewis_(bassist)","1918-04-11","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Tennessee","http://dbpedia.org/resource/Tennessee","United States","http://dbpedia.org/resource/United_States"
"Andrew Wilsonn","http://dbpedia.org/resource/Andrew_Wilson_(academic)","1950-12-26","Syracuse","http://dbpedia.org/resource/Syracuse,_New_York","New York","http://dbpedia.org/resource/New_York","United States","http://dbpedia.org/resource/United_States"
"Mike Robertss","http://dbpedia.org/resource/Mike_Roberts_(mixer)","1992-08-03","Syracuse","http://dbpedia.org/resource/Syracuse,_New_York","New Yorkk","http://dbpedia.org/resource/New_York","United States","http://dbpedia.org/resource/United_States"
"Nicole Mitchell","http://dbpedia.org/resource/Nicole_Mitchell_(musician)","1967-02-17","Syracuse","http://dbpedia.org/resource/Syracuse,_New_York","New York","http://dbpedia.org/resource/New_York","United States","http://dbpedia.org/resource/United_States"
"Mark  Harris","http://dbpedia.org/resource/Mark_Harris_(musician)","1962-08-01","Mobile","http://dbpedia.org/resource/Mobile,_Alabama","Alabamaa","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Kevin Leee","http://dbpedia.org/resource/Kevin_Lee_(American_football)","1971-01-01","Mobile","http://dbpedia.org/resource/Mobile,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Wayne  Mills","http://dbpedia.org/resource/Wayne_Mills_(singer)","1969-08-17","Arab","http://dbpedia.org/resource/Arab,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Paul McDonaldd","http://dbpedia.org/resource/Paul_McDonald_(musician)","1984-08-29","Auburn","http://dbpedia.org/resource/Auburn,_Alabama","Alabamaa","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Paul Lambertt","http://dbpedia.org/resource/Paul_Lambert_(TV_personality)","1970-03-09","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Bill Lathamm","http://dbpedia.org/resource/Bill_Latham_(baseball)","1960-08-29","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabamaa","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Tom Bankss","http://dbpedia.org/resource/Tom_Banks_(American_football)","1948-08-20","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabamaa","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Frank Welch","http://dbpedia.org/resource/Frank_Welch_(baseball)","1897-08-10","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Ernie Johnsonn","http://dbpedia.org/resource/Ernie_Johnson_(American_football)","1926-01-29","Berkeley","http://dbpedia.org/resource/Berkeley,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"The Alchemist","http://dbpedia.org/resource/The_Alchemist_(musician)","1977-10-25","Beverly Hills","http://dbpedia.org/resource/Beverly_Hills,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"George Harpeer","http://dbpedia.org/resource/George_Harper_(outfielder)","1892-06-24","Arlington","http://dbpedia.org/resource/Arlington,_Kentucky","Kentuckyy","http://dbpedia.org/resource/Kentucky","United States","http://dbpedia.org/resource/United_States"
"Edddie Moore","http://dbpedia.org/resource/Eddie_Moore_(baseball)","1899-01-18","Barlow","http://dbpedia.org/resource/Barlow,_Kentucky","Kentuckyy","http://dbpedia.org/resource/Kentucky","United States","http://dbpedia.org/resource/United_States"
"Ed Kennedyy","http://dbpedia.org/resource/Ed_Kennedy_(infielder)","1861-04-05","Bellevue","http://dbpedia.org/resource/Bellevue,_Kentucky","Kentuckyy","http://dbpedia.org/resource/Kentucky","United States","http://dbpedia.org/resource/United_States"
