"name","name__URI","birthDate","birthPlace","birthPlace__URI","region","region__URI","country","country__URI"
"Ben  Chapman","http://dbpedia.org/resource/Ben_Chapman_(baseball)","1908-12-25","Nashvillee","http://dbpedia.org/resource/Nashville,_Tennessee","Tennesseee","http://dbpedia.org/resource/Tennessee","United States","http://dbpedia.org/resource/United_States"
"John Noell","http://dbpedia.org/resource/John_Noel_(sport_shooter)","1888-02-06","Nashvillee","http://dbpedia.org/resource/Nashville,_Tennessee","Tennessee","http://dbpedia.org/resource/Tennessee","United States","http://dbpedia.org/resource/United_States"
"William Schnneiderr","http://dbpedia.org/resource/William_Schneider_(politician)","1959-04-25","Syracuse","http://dbpedia.org/resource/Syracuse,_New_York","New Yorkk","http://dbpedia.org/resource/New_York","United States","http://dbpedia.org/resource/United_States"
"Keevin Lee","http://dbpedia.org/resource/Kevin_Lee_(American_football)","1971-01-01","Mobile","http://dbpedia.org/resource/Mobile,_Alabama","Alabamaa","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Angela Littleee","http://dbpedia.org/resource/Angela_Little_(actress)","1972-07-22","Albertvillee","http://dbpedia.org/resource/Albertville,_Alabama","Alabamaa","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Jerry Wilsonn","http://dbpedia.org/resource/Jerry_Wilson_(defensive_end)","1936-12-09","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","Alabaama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Jimmy Murphy","http://dbpedia.org/resource/Jimmy_Murphy_(musician)","1925-10-11","Birmingham","http://dbpedia.org/resource/Birmingham,_Alabama","AAlabama","http://dbpedia.org/resource/Alabama","United States","http://dbpedia.org/resource/United_States"
"Ernie Johnsonn","http://dbpedia.org/resource/Ernie_Johnson_(American_football)","1926-01-29","Berkeleyy","http://dbpedia.org/resource/Berkeley,_California","California","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Kathhleen Kennedyy","http://dbpedia.org/resource/Kathleen_Kennedy_(producer)","1953-06-05","Berrkeley","http://dbpedia.org/resource/Berkeley,_California","Californiaa","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Marsss","http://dbpedia.org/resource/Mars_(rapper)","1980-04-18","Antiochh","http://dbpedia.org/resource/Antioch,_California","Californiaa","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Brian Kellyy","http://dbpedia.org/resource/Brian_Kelly_(wide_receiver)","1956-03-27","Arcadiaa","http://dbpedia.org/resource/Arcadia,_California","Californiaa","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Anthony Brownnn","http://dbpedia.org/resource/Anthony_Brown_(basketball)","1992-10-10","Bellflowerr","http://dbpedia.org/resource/Bellflower,_California","Caliifornia","http://dbpedia.org/resource/California","United States","http://dbpedia.org/resource/United_States"
"Jack Harrisss","http://dbpedia.org/resource/Jack_Harris_(American_football)","1902-09-29","Jackson","http://dbpedia.org/resource/Jackson,_Michigan","Jackson County,, Michigan","http://dbpedia.org/resource/Jackson_County,_Michigan","United States","http://dbpedia.org/resource/United_States"
"G.. B. Edwards","http://dbpedia.org/resource/G._B._Edwards_(entomologist)","1948-11-24","Aberdeen","http://dbpedia.org/resource/Aberdeen,_Maryland","Marylandd","http://dbpedia.org/resource/Maryland","United States","http://dbpedia.org/resource/United_States"
"Rick Jonesss","http://dbpedia.org/resource/Rick_Jones_(politician)","1952-11-17","Battle Creek","http://dbpedia.org/resource/Battle_Creek,_Michigan","MMichigan","http://dbpedia.org/resource/Michigan","United States","http://dbpedia.org/resource/United_States"
"George Putnam","http://dbpedia.org/resource/George_Putnam_(newsman)","1914-07-14","Breckenridgee","http://dbpedia.org/resource/Breckenridge,_Minnesota","Minnessota","http://dbpedia.org/resource/Minnesota","United States","http://dbpedia.org/resource/United_States"
"Tyler Johnsonnn","http://dbpedia.org/resource/Tyler_Johnson_(baseball)","1981-06-07","Columbbia","http://dbpedia.org/resource/Columbia,_Missouri","Missouri","http://dbpedia.org/resource/Missouri","United States","http://dbpedia.org/resource/United_States"
"Joe Glennn","http://dbpedia.org/resource/Joe_Glenn_(American_football)","1949-03-07","Lincolln","http://dbpedia.org/resource/Lincoln,_Nebraska","Nebraska","http://dbpedia.org/resource/Nebraska","United States","http://dbpedia.org/resource/United_States"
"Greg Lewisss","http://dbpedia.org/resource/Greg_Lewis_(basketball)","1978-09-06","Akronn","http://dbpedia.org/resource/Akron,_Ohio","Ohiio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Justin Lesterr","http://dbpedia.org/resource/Justin_Lester_(wrestler)","1983-09-30","AAkron","http://dbpedia.org/resource/Akron,_Ohio","Ohio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Michael Buckkleyy","http://dbpedia.org/resource/Michael_Buckley_(author)","1969-08-16","Akron","http://dbpedia.org/resource/Akron,_Ohio","Ohio","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Scott  Stricklinn","http://dbpedia.org/resource/Scott_Stricklin_(baseball)","1972-02-17","Athenns","http://dbpedia.org/resource/Athens,_Ohio","Ohioo","http://dbpedia.org/resource/Ohio","United States","http://dbpedia.org/resource/United_States"
"Kevin Younngg","http://dbpedia.org/resource/Kevin_Young_(baseball)","1969-06-16","Alpena","http://dbpedia.org/resource/Alpena,_Michigan","Alpena County, Michigan","http://dbpedia.org/resource/Alpena_County,_Michigan","United States","http://dbpedia.org/resource/United_States"
"Larrry Scottt","http://dbpedia.org/resource/Larry_Scott_(bodybuilder)","1938-10-12","Blackfoott","http://dbpedia.org/resource/Blackfoot,_Idaho","Bingham County, Idaho","http://dbpedia.org/resource/Bingham_County,_Idaho","United States","http://dbpedia.org/resource/United_States"
"Al Smithh","http://dbpedia.org/resource/Al_Smith_(umpire)","1925-06-11","Bossier Cityy","http://dbpedia.org/resource/Bossier_City,_Louisiana","Bossier Parish, Louisiana","http://dbpedia.org/resource/Bossier_Parish,_Louisiana","United States","http://dbpedia.org/resource/United_States"
"Raymond Hitchcockk","http://dbpedia.org/resource/Raymond_Hitchcock_(actor)","1865-10-22","Auburnn","http://dbpedia.org/resource/Auburn,_New_York","Cayuga County, New Yorkk","http://dbpedia.org/resource/Cayuga_County,_New_York","United States","http://dbpedia.org/resource/United_States"
"Robert Marxxx","http://dbpedia.org/resource/Robert_Marx_(fencer)","1956-09-25","Porttland","http://dbpedia.org/resource/Portland,_Oregon","Clackamas County, Oregon","http://dbpedia.org/resource/Clackamas_County,_Oregon","United States","http://dbpedia.org/resource/United_States"
"John Reedd","http://dbpedia.org/resource/John_Reed_(journalist)","1887-10-22","Portland","http://dbpedia.org/resource/Portland,_Oregon","Clackamas County, Oregon","http://dbpedia.org/resource/Clackamas_County,_Oregon","United States","http://dbpedia.org/resource/United_States"
"WWayne Millss","http://dbpedia.org/resource/Wayne_Mills_(singer)","1969-08-17","Arab","http://dbpedia.org/resource/Arab,_Alabama","Cullman County,  Alabama","http://dbpedia.org/resource/Cullman_County,_Alabama","United States","http://dbpedia.org/resource/United_States"
"Wiilliam Tylerr","http://dbpedia.org/resource/William_Tyler_(musician)","1979-12-25","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Davidson County, Tennesseee","http://dbpedia.org/resource/Davidson_County,_Tennessee","United States","http://dbpedia.org/resource/United_States"
"Preston Brownnn","http://dbpedia.org/resource/Preston_Brown_(wide_receiver)","1958-03-02","Nashville","http://dbpedia.org/resource/Nashville,_Tennessee","Davidson County, Tennessee","http://dbpedia.org/resource/Davidson_County,_Tennessee","United States","http://dbpedia.org/resource/United_States"
