"name","name__URI","birthDate","birthPlace","birthPlace__URI","region","region__URI","country","country__URI"
"Ánggel Caastro","http://dbpedia.org/resource/Ángel_Castro_(baseball)","1982-11-14","Pimentel","http://dbpedia.org/resource/Pimentel,_Dominican_Republic","Duarte Province","http://dbpedia.org/resource/Duarte_Province","Dominican Republic","http://dbpedia.org/resource/Dominican_Republic"
"Paul Goodmmann","http://dbpedia.org/resource/Paul_Goodman_(ice_hockey)","1905-02-25","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Harry Oliverr","http://dbpedia.org/resource/Harry_Oliver_(ice_hockey)","1898-10-26","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Andrew Murrayy","http://dbpedia.org/resource/Andrew_Murray_(ice_hockey)","1981-11-06","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Paulll Boyd","http://dbpedia.org/resource/Paul_Boyd_(journalist)","1976-11-07","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Terry Ballll","http://dbpedia.org/resource/Terry_Ball_(ice_hockey)","1944-11-29","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Neil Willkinson","http://dbpedia.org/resource/Neil_Wilkinson_(ice_hockey)","1967-08-15","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"John Morriison","http://dbpedia.org/resource/John_Morrison_(ice_hockey_b._1895)","1895-03-04","Selkirk","http://dbpedia.org/resource/Selkirk,_Manitoba","Interlake","http://dbpedia.org/resource/Interlake","Canada","http://dbpedia.org/resource/Canada"
"Michhii","http://dbpedia.org/resource/Michi_(Japanese_singer)","1996-03-30","Okinawa","http://dbpedia.org/resource/Okinawa,_Okinawa","Okinawa Prefecture","http://dbpedia.org/resource/Okinawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Benii","http://dbpedia.org/resource/Beni_(singer)","1986-03-30","Miyakojima","http://dbpedia.org/resource/Miyakojima,_Okinawa","Okinawa Prefecture","http://dbpedia.org/resource/Okinawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Kohei Yamamotooo","http://dbpedia.org/resource/Kohei_Yamamoto_(footballer)","1986-04-15","Ayase","http://dbpedia.org/resource/Ayase,_Kanagawa","Kanagawa Prefecture","http://dbpedia.org/resource/Kanagawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Josh KKelly","http://dbpedia.org/resource/Josh_Kelly_(actor)","1982-04-25","Yokosuka","http://dbpedia.org/resource/Yokosuka,_Kanagawa","Kanagawa Prefecture","http://dbpedia.org/resource/Kanagawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"hideee","http://dbpedia.org/resource/Hide_(musician)","1964-12-13","Yokosuka","http://dbpedia.org/resource/Yokosuka,_Kanagawa","Kanagawa Prefecture","http://dbpedia.org/resource/Kanagawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"MAAA","http://dbpedia.org/resource/MAA_(singer)","1986-01-25","Yokosuka","http://dbpedia.org/resource/Yokosuka,_Kanagawa","Kanagawa Prefecture","http://dbpedia.org/resource/Kanagawa_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Tomohiko Itōōō","http://dbpedia.org/resource/Tomohiko_Itō_(director)","1978-10-20","Kasugai","http://dbpedia.org/resource/Kasugai,_Aichi","Aichi Prefecture","http://dbpedia.org/resource/Aichi_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Kannae Yamamoto","http://dbpedia.org/resource/Kanae_Yamamoto_(artist)","1882-10-24","Okazaki","http://dbpedia.org/resource/Okazaki,_Aichi","Aichi Prefecture","http://dbpedia.org/resource/Aichi_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Akira Nakamuraa","http://dbpedia.org/resource/Akira_Nakamura_(baseball)","1989-11-05","Asaka","http://dbpedia.org/resource/Asaka,_Saitama","Saitama Prefecture","http://dbpedia.org/resource/Saitama_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Pattyyy","http://dbpedia.org/resource/Patty_(singer)","1960-11-05","Iruma","http://dbpedia.org/resource/Iruma,_Saitama","Saitama Prefecture","http://dbpedia.org/resource/Saitama_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"CChara","http://dbpedia.org/resource/Chara_(singer)","1968-01-13","Kawaguchi","http://dbpedia.org/resource/Kawaguchi,_Saitama","Saitama Prefecture","http://dbpedia.org/resource/Saitama_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Tatsuya Yamaguchi","http://dbpedia.org/resource/Tatsuya_Yamaguchi_(motorcycle_racer)","1976-02-11","Shiki","http://dbpedia.org/resource/Shiki,_Saitama","Saitama Prefecture","http://dbpedia.org/resource/Saitama_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Akira Matsunagaa","http://dbpedia.org/resource/Akira_Matsunaga_(footballer,_born_1948)","1948-08-08","Shizuoka","http://dbpedia.org/resource/Shizuoka,_Shizuoka","Shizuoka Prefecture","http://dbpedia.org/resource/Shizuoka_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Makoto Watanabee","http://dbpedia.org/resource/Makoto_Watanabe_(footballer)","1980-09-25","Shizuoka","http://dbpedia.org/resource/Shizuoka,_Shizuoka","Shizuoka Prefecture","http://dbpedia.org/resource/Shizuoka_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Atsushi Kobayashiii","http://dbpedia.org/resource/Atsushi_Kobayashi_(pitcher,_born_1986)","1986-02-24","Shimada","http://dbpedia.org/resource/Shimada,_Shizuoka","Shizuoka Prefecture","http://dbpedia.org/resource/Shizuoka_Prefecture","Japan","http://dbpedia.org/resource/Japan"
"Alphée Poirierrr","http://dbpedia.org/resource/Alphée_Poirier_(MP)","1899-02-05","Bonaventure","http://dbpedia.org/resource/Bonaventure,_Quebec","Gaspésie–Îles-de-la-Madeleine","http://dbpedia.org/resource/Gaspésie–Îles-de-la-Madeleine","Canada","http://dbpedia.org/resource/Canada"
"Alpphonse Desjardinss","http://dbpedia.org/resource/Alphonse_Desjardins_(politician)","1841-05-06","Terrebonne","http://dbpedia.org/resource/Terrebonne,_Quebec","Lanaudière","http://dbpedia.org/resource/Lanaudière","Canada","http://dbpedia.org/resource/Canada"
"Charles  Reidd","http://dbpedia.org/resource/Charles_Reid_(snowboarder)","1990-04-12","Mont-Tremblant","http://dbpedia.org/resource/Mont-Tremblant,_Quebec","Laurentides","http://dbpedia.org/resource/Laurentides","Canada","http://dbpedia.org/resource/Canada"
"John Hayy","http://dbpedia.org/resource/John_Hay_(Canadian_politician)","1862-06-26","Brownsburg-Chatham","http://dbpedia.org/resource/Brownsburg-Chatham,_Quebec","Laurentides","http://dbpedia.org/resource/Laurentides","Canada","http://dbpedia.org/resource/Canada"
