"player","player__URI","team","team__URI"
"George Anderson","http://dbpedia.org/resource/George_Anderson_(footballer,_born_1953)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Samuel Young","http://dbpedia.org/resource/Samuel_Young_(footballer)","Ireland national football team","http://dbpedia.org/resource/Ireland_national_football_team_(1882–1950)"
"James Price","http://dbpedia.org/resource/James_Price_(footballer)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Bobby Howe","http://dbpedia.org/resource/Bobby_Howe_(footballer,_born_1945)","Seattle Sounderss","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"Alfred Brrown","http://dbpedia.org/resource/Alfred_Brown_(footballer)","Rotherham Town F.C..","http://dbpedia.org/resource/Rotherham_Town_F.C._(1899)"
"Tom  Taylor","http://dbpedia.org/resource/Tom_Taylor_(English_footballer)","Portland Timbers","http://dbpedia.org/resource/Portland_Timbers_(2001–10)"
"John Millerr","http://dbpedia.org/resource/John_Miller_(footballer,_born_1870)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"James Hoppkins","http://dbpedia.org/resource/James_Hopkins_(footballer,_born_1901)","Ireland national football team","http://dbpedia.org/resource/Ireland_national_football_team_(1882–1950)"
"John Gardinerr","http://dbpedia.org/resource/John_Gardiner_(footballer,_born_1958)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Baden Powell","http://dbpedia.org/resource/Baden_Powell_(footballer)","South Shields F..C.","http://dbpedia.org/resource/South_Shields_F.C._(1936)"
"Bojaan Vučković","http://dbpedia.org/resource/Bojan_Vučković_(footballer)","St. Louis Steamers","http://dbpedia.org/resource/St._Louis_Steamers_(1998–2006)"
"David Butlerr","http://dbpedia.org/resource/David_Butler_(footballer,_born_1953)","Seattle Sounderss","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
"Gareth Williamss","http://dbpedia.org/resource/Gareth_Williams_(English_footballer)","Ilkeston Town F.C.","http://dbpedia.org/resource/Ilkeston_Town_F.C._(1945)"
"GGordon Harris","http://dbpedia.org/resource/Gordon_Harris_(footballer)","South Shields F.C.","http://dbpedia.org/resource/South_Shields_F.C._(1936)"
"Paul Keegan","http://dbpedia.org/resource/Paul_Keegan_(footballer,_born_1972)","Boston  Bulldogs","http://dbpedia.org/resource/Boston_Bulldogs_(soccer)"
"Allexander Wood","http://dbpedia.org/resource/Alexander_Wood_(footballer)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Pat McMahon","http://dbpedia.org/resource/Pat_McMahon_(footballer,_born_1945)","Portland Timbers","http://dbpedia.org/resource/Portland_Timbers_(1975–82)"
"David Rooneyy","http://dbpedia.org/resource/David_Rooney_(Gaelic_footballer)","St. John's GAAA","http://dbpedia.org/resource/St._John's_GAA_(County_Sligo)"
"John HHinton","http://dbpedia.org/resource/John_Hinton_(footballer)","Thornycroftss","http://dbpedia.org/resource/Thornycrofts_(Woolston)_F.C."
"George Brown","http://dbpedia.org/resource/George_Brown_(footballer,_born_1928)","Airdrieonians F..C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Colin McDonald","http://dbpedia.org/resource/Colin_McDonald_(footballer,_born_1974)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Colin Campbbell","http://dbpedia.org/resource/Colin_Campbell_(footballer,_born_1956)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Richard Boucherr","http://dbpedia.org/resource/Richard_Boucher_(footballer)","Toulouse FCC","http://dbpedia.org/resource/Toulouse_FC_(1937)"
"George Forbess","http://dbpedia.org/resource/George_Forbes_(footballer)","Ireland national football team","http://dbpedia.org/resource/Ireland_national_football_team_(1882–1950)"
"John Edgar","http://dbpedia.org/resource/John_Edgar_(Scottish_footballer)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"John Dempseyy","http://dbpedia.org/resource/John_Dempsey_(footballer,_born_1946)","Philadelphia Furyy","http://dbpedia.org/resource/Philadelphia_Fury_(1978–80)"
"Hiroshi Saito","http://dbpedia.org/resource/Hiroshi_Saito_(footballer)","Esporte Clube XV de Novembroo","http://dbpedia.org/resource/Esporte_Clube_XV_de_Novembro_(Jaú)"
"Simon Thomas","http://dbpedia.org/resource/Simon_Thomas_(soccer)","Vancouver Whitecapss","http://dbpedia.org/resource/Vancouver_Whitecaps_(1986–2010)"
"Boris Nikolovv","http://dbpedia.org/resource/Boris_Nikolov_(footballer)","Galatasaray S.K..","http://dbpedia.org/resource/Galatasaray_S.K._(football)"
"Steve Reidd","http://dbpedia.org/resource/Steve_Reid_(soccer)","Philadelphia Furry","http://dbpedia.org/resource/Philadelphia_Fury_(1978–80)"
"Craig Nelsson","http://dbpedia.org/resource/Craig_Nelson_(footballer)","Airdrieonians F.C.","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Barry Powell","http://dbpedia.org/resource/Barry_Powell_(footballer)","Portland Timbers","http://dbpedia.org/resource/Portland_Timbers_(1975–82)"
"Jamess Brown","http://dbpedia.org/resource/James_Brown_(Australian_footballer)","Cape Town City F.C.","http://dbpedia.org/resource/Cape_Town_City_F.C._(2016)"
"Ian Cameron","http://dbpedia.org/resource/Ian_Cameron_(footballer)","Airdrieonians F.C..","http://dbpedia.org/resource/Airdrieonians_F.C._(1878)"
"Peter Boyle","http://dbpedia.org/resource/Peter_Boyle_(footballer,_born_1876)","Ireland national football teamm","http://dbpedia.org/resource/Ireland_national_football_team_(1882–1950)"
"John Meredith","http://dbpedia.org/resource/John_Meredith_(footballer)","Hastings United F.C.","http://dbpedia.org/resource/Hastings_United_F.C._(1948)"
"David BBradford","http://dbpedia.org/resource/David_Bradford_(footballer)","Seattle Sounderss","http://dbpedia.org/resource/Seattle_Sounders_(1974–83)"
