"Rank","Company","Company__URI","Headquarters","Headquarters__URI","Industry","Industry__URI","Revenue (billion $)","Profits (billion $)","Assets (billion $)","Market Value (billion $)"
"1","Citigroup","http://dbpedia.org/resource/Citigroup","USAA","http://dbpedia.org/resource/United_States","Bankingg","http://dbpedia.org/resource/Banking","146.56","21.54","1,884.32","247.42"
"2","Bank of America","http://dbpedia.org/resource/Bank_of_America","USAA","http://dbpedia.org/resource/United_States","Bankingg","http://dbpedia.org/resource/Banking","116.57","21.13","1,459.74","226.61"
"3","HSBC","http://dbpedia.org/resource/HSBC","UKK","http://dbpedia.org/resource/United_Kingdom","Bankingg","http://dbpedia.org/resource/Banking","121.51","16.63","1,860.76","202.29"
"4","General Electric","http://dbpedia.org/resource/General_Electric","USAA","http://dbpedia.org/resource/United_States","Conglomeratee","http://dbpedia.org/resource/Conglomerate_(company)","163.39","20.83","697.24","358.98"
"5","JPMorgan Chase & Co.","http://dbpedia.org/resource/JPMorgan_Chase","USSA","http://dbpedia.org/resource/United_States","BBanking","http://dbpedia.org/resource/Banking","99.30","14.44","1,351.52","170.97"
"6","American International Group","http://dbpedia.org/resource/American_International_Group","USAA","http://dbpedia.org/resource/United_States","Insurancee","http://dbpedia.org/resource/Insurance_industry","113.19","14.01","979.41","174.47"
"7","ExxonMobil","http://dbpedia.org/resource/ExxonMobil","USA","http://dbpedia.org/resource/United_States","Oil and gass","http://dbpedia.org/resource/Oil_and_gas_industry","335.09","39.50","223.95","410.65"
"8","Royal Dutch Shell","http://dbpedia.org/resource/Royal_Dutch_Shell","Netherlandss","http://dbpedia.org/resource/Netherlands","Oil and gas","http://dbpedia.org/resource/Oil_and_gas_industry","318.85","25.44","232.31","208.25"
"9","UBS","http://dbpedia.org/resource/UBS","Switzerlandd","http://dbpedia.org/resource/Switzerland","Diversified Financials","http://dbpedia.org/resource/Diversified_financial","105.59","9.78","1,776.89","116.84"
"10","ING Group","http://dbpedia.org/resource/ING_Group","Netherlandss","http://dbpedia.org/resource/Netherlands","Diversified Financials","http://dbpedia.org/resource/Diversified_financial","153.44","9.65","1,615.05","93.99"
"11","BP","http://dbpedia.org/resource/BP","UKK","http://dbpedia.org/resource/United_Kingdom","Oil and gas","http://dbpedia.org/resource/Oil_and_gas_industry","265.91","22.29","217.60","198.14"
"12","Toyota","http://dbpedia.org/resource/Toyota","Japann","http://dbpedia.org/resource/Japan","Automotivee","http://dbpedia.org/resource/Automotive_industry","179.02","11.68","243.60","217.69"
"13","Royal Bank of Scotland","http://dbpedia.org/resource/The_Royal_Bank_of_Scotland","UKK","http://dbpedia.org/resource/United_Kingdom","Bankingg","http://dbpedia.org/resource/Banking","77.41","12.51","1,705.35","124.13"
"14","BNP Paribas","http://dbpedia.org/resource/BNP_Paribas","Francee","http://dbpedia.org/resource/France","Banking","http://dbpedia.org/resource/Banking","89.16","9.64","1,898.19","97.03"
"15","Allianz","http://dbpedia.org/resource/Allianz","Germany","http://dbpedia.org/resource/Germany","Insurancee","http://dbpedia.org/resource/Insurance_industry","125.33","8.81","1,380.88","87.22"
"16","Berkshire Hathaway","http://dbpedia.org/resource/Berkshire_Hathaway","UUSA","http://dbpedia.org/resource/United_States","Diversified Financialss","http://dbpedia.org/resource/Diversified_financial","98.54","11.02","248.44","163.79"
"17","Wal-Mart","http://dbpedia.org/resource/Walmart","USAA","http://dbpedia.org/resource/United_States","Rettailing","http://dbpedia.org/resource/Retail","348.65","11.29","151.19","201.36"
"18","Barclays","http://dbpedia.org/resource/Barclays","UK","http://dbpedia.org/resource/United_Kingdom","Banking","http://dbpedia.org/resource/Banking","67.71","8.95","1,949.17","94.79"
"19","Chevron","http://dbpedia.org/resource/Chevron_Corporation","USAA","http://dbpedia.org/resource/United_States","Oil and gass","http://dbpedia.org/resource/Oil_and_gas_industry","195.34","17.14","132.63","149.37"
"19","Total S.A.","http://dbpedia.org/resource/Total_S.A.","France","http://dbpedia.org/resource/France","Oil and gas","http://dbpedia.org/resource/Oil_and_gas_industry","175.05","15.53","138.82","152.62"
