"OAU State","OAU State__URI","Official Language","Official Language__URI","IMF SDRs","Date of Independence","Head of Central Bank","Capital","Capital__URI","IMF #Votes","Name of Currency","Name of Currency__URI"
"Algeriaa","http://dbpedia.org/resource/Algeria","Araabic","http://dbpedia.org/resource/Arabic","914.4","Jul 1962","Abdelouahab Keramane","Algiers","http://dbpedia.org/resource/Algiers","9,394","DDinar","http://dbpedia.org/resource/Algerian_dinar"
"Angolaa","http://dbpedia.org/resource/Angola","Portuguuese","http://dbpedia.org/resource/Portuguese_language","207.3","Nov 1975","Mario de Alcantara Monteiro","Luanda","http://dbpedia.org/resource/Luanda","2,323","New Kwanzaa","http://dbpedia.org/resource/Angolan_kwanza"
"Beninn","http://dbpedia.org/resource/Benin","French","http://dbpedia.org/resource/French_language","45.3","Aug 1960","Moise Mensah","Porto-Novo","http://dbpedia.org/resource/Porto-Novo","703","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Bostwanaa","http://dbpedia.org/resource/Botswana","Engglish","http://dbpedia.org/resource/English_language","36.6","Sep 1966","Balendzi Gaolathe","Gaborone","http://dbpedia.org/resource/Gaborone","616","Pulaa","http://dbpedia.org/resource/Botswana_pula"
"Burkina FFaso","http://dbpedia.org/resource/Burkina_Faso","Frenchh","http://dbpedia.org/resource/French_language","44.2","Aug 1960","Tertius Zongo","Ouagadougou","http://dbpedia.org/resource/Ouagadougou","696","CFA ffranc","http://dbpedia.org/resource/CFA_franc"
"Burundii","http://dbpedia.org/resource/Burundi","Runddi","http://dbpedia.org/resource/Kirundi","57.2","Jul 1962","Mathias Sinamenye","Bujumbuna","http://dbpedia.org/resource/Bujumbura","822","Brundi franc","http://dbpedia.org/resource/Burundian_franc"
"Burundii","http://dbpedia.org/resource/Burundi","Frenchh","http://dbpedia.org/resource/French_language","57.2","Jul 1962","Mathias Sinamenye","Bujumbuna","http://dbpedia.org/resource/Bujumbura","822","BBrundi franc","http://dbpedia.org/resource/Burundian_franc"
"Cameroonn","http://dbpedia.org/resource/Cameroon","French","http://dbpedia.org/resource/French_language","135.1","Jan 1960","Edouard Akame Mfoumou","Yaounde","http://dbpedia.org/resource/Yaoundé","1.601","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Cameroonn","http://dbpedia.org/resource/Cameroon","Eng.","http://dbpedia.org/resource/English_language","135.1","Jan 1960","Edouard Akame Mfoumou","Yaounde","http://dbpedia.org/resource/Yaoundé","1.601","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Cape Verdee","http://dbpedia.org/resource/Cape_Verde","Portuguesee","http://dbpedia.org/resource/Portuguese_language","7.0","Jul 1975","Antonio Gualberto do Rosario","Praia","http://dbpedia.org/resource/Praia","320","EEscudo","http://dbpedia.org/resource/Cape_Verdean_escudo"
"Central African Republicc","http://dbpedia.org/resource/Central_African_Republic","Freench","http://dbpedia.org/resource/French_language","41.2","Aug 1960","Anicet-Georges Dologuele","Bangui","http://dbpedia.org/resource/Bangui","662","CCFA franc","http://dbpedia.org/resource/CFA_franc"
"Central Affrican Republic","http://dbpedia.org/resource/Central_African_Republic","Sangoo","http://dbpedia.org/resource/Sango_language","41.2","Aug 1960","Anicet-Georges Dologuele","Bangui","http://dbpedia.org/resource/Bangui","662","CFA franc","http://dbpedia.org/resource/CFA_franc"
"Chad","http://dbpedia.org/resource/Chad","Arabicc","http://dbpedia.org/resource/Arabic","41.3","Aug 1960","Bichara Cherif Daoussa","N'Ojamena","http://dbpedia.org/resource/N'Djamena","663","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Chad","http://dbpedia.org/resource/Chad","French","http://dbpedia.org/resource/French_language","41.3","Aug 1960","Bichara Cherif Daoussa","N'Ojamena","http://dbpedia.org/resource/N'Djamena","663","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Comoroos","http://dbpedia.org/resource/Comoros","Comorian","http://dbpedia.org/resource/Comorian_language","6.5","Jul 1975","Mohamed Ali Soilihi","Moroni","http://dbpedia.org/resource/Moroni,_Comoros","315","Comorian francc","http://dbpedia.org/resource/Comorian_franc"
"Congo, Democratic Republic of thee","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","FFrench","http://dbpedia.org/resource/French_language","291.0","Aug 1960","Vanant","Kinshasa","http://dbpedia.org/resource/Kinshasa","000","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Congo, Repulic Off","http://dbpedia.org/resource/Republic_of_the_Congo","Frenchh","http://dbpedia.org/resource/French_language","57.9","Jun 1960","Nguila Moungounga-Nkombo","Brazaville","http://dbpedia.org/resource/Brazzaville","829","CFA francc","http://dbpedia.org/resource/CFA_franc"
"Cote d'Ivoire","http://dbpedia.org/resource/Ivory_Coast","Frenchh","http://dbpedia.org/resource/French_language","238.2","Aug 1960","N'Goran Niamien","Abidjan","http://dbpedia.org/resource/Abidjan","2632","CFA francc","http://dbpedia.org/resource/CFA_franc"
