"State/Province","State/Province__URI","Lake Name","Lake Name__URI","File Size"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","H Neely Henry Lake *","http://dbpedia.org/resource/Neely_Henry_Lake","1,289 KB"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Logan Martin Lake","http://dbpedia.org/resource/Logan_Martin_Lake","1,213 KB"
"Alabama","http://dbpedia.org/resource/Alabama_(state)","Weiss Lake","http://dbpedia.org/resource/Weiss_Lake","1,142 KB"
"Alberta","http://dbpedia.org/resource/Alberta","Gleniffer Lake","http://dbpedia.org/resource/Gleniffer_Lake_(Alberta)","67 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Alamo Lake","http://dbpedia.org/resource/Alamo_Lake_State_Park","99 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Bartlett Reservoir","http://dbpedia.org/resource/Bartlett_Lake","173 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Blue Ridge Reservoir","http://dbpedia.org/resource/Blue_Ridge_Reservoir","183 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Pleasant, Lake *","","430 KB"
"Arizona","http://dbpedia.org/resource/Arizona_(state)","Sunrise Lake","","125 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Beaver Lake","http://dbpedia.org/resource/Beaver_Lake_(Arkansas)","2,158 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Columbia, Lake *","","312 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","DeGray Lake","http://dbpedia.org/resource/DeGray_Lake","922 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Erling, Lake *","","311 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Greers Ferry Lake","http://dbpedia.org/resource/Greers_Ferry_Lake","1,032 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Greeson, Lake","http://dbpedia.org/resource/Lake_Greeson","496 KB"
"Arkansas","http://dbpedia.org/resource/Arkansas_(state)","Monticello, Lake *","","388 KB"
"California","http://dbpedia.org/resource/California_(state)","Castaic Lake Also includes Pyramid Lake, CA","http://dbpedia.org/resource/Castaic_Lake","419 KB"
"California","http://dbpedia.org/resource/California_(state)","Diamond Valley Lake","http://dbpedia.org/resource/Diamond_Valley_Lake","767 KB"
"California","http://dbpedia.org/resource/California_(state)","El Capitan Lake","http://dbpedia.org/resource/El_Capitan_Reservoir","170 KB"
"California","http://dbpedia.org/resource/California_(state)","Isabella Lake","http://dbpedia.org/resource/Lake_Isabella","397 KB"
"California","http://dbpedia.org/resource/California_(state)","Lopez Lake * Also includes Santa Margarita Lake, CA","http://dbpedia.org/resource/Lopez_Lake","628 KB"
"California","http://dbpedia.org/resource/California_(state)","Loveland Reservoir *","http://dbpedia.org/resource/Loveland_Dam","276 KB"
"California","http://dbpedia.org/resource/California_(state)","Perris Reservoir","http://dbpedia.org/resource/Lake_Perris","726 KB"
"California","http://dbpedia.org/resource/California_(state)","Pyramid Lake (updated 04/18/2005) Also includes Castaic Lake, CA","http://dbpedia.org/resource/Pyramid_Lake_(Los_Angeles_County,_California)","419 KB"
"California","http://dbpedia.org/resource/California_(state)","San Vicente Reservoir *","http://dbpedia.org/resource/San_Vicente_Reservoir","371 KB"
"California","http://dbpedia.org/resource/California_(state)","Santa Margarita Lake * Also includes Lopez Lake, CA","http://dbpedia.org/resource/Santa_Margarita_Lake","628 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Blue Mesa Reservoir Also includes Morrow Point Reservoir, CO","http://dbpedia.org/resource/Blue_Mesa_Reservoir","614 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Dillon Reservoir *","http://dbpedia.org/resource/Dillon_Reservoir","331 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","McPhee Reservoir","http://dbpedia.org/resource/McPhee_Reservoir","248 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Morrow Point Reservoir Also includes Blue Mesa Reservoir, CO","http://dbpedia.org/resource/Morrow_Point_Reservoir","614 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Pueblo, Lake *","","240 KB"
"Colorado","http://dbpedia.org/resource/Colorado_(state)","Sanchez Reservoir *","","176 KB"
"Connecticut","http://dbpedia.org/resource/Connecticut_(state)","Lillinonah, Lake","http://dbpedia.org/resource/Lake_Lillinonah","1,284 KB"
"Florida","http://dbpedia.org/resource/Florida_(state)","Istokpoga, Lake Also includes Lake Jackson, FL, Lake June In Winter, FL, and Lake Huntley, FL","http://dbpedia.org/resource/Lake_Istokpoga","1,194 KB"
"Florida","http://dbpedia.org/resource/Florida_(state)","Lochloosa Lake Also includes most of Orange Lake, FL","http://dbpedia.org/resource/Lochloosa_Lake","644 KB"
"Florida","http://dbpedia.org/resource/Florida_(state)","Monroe, Lake","http://dbpedia.org/resource/Lake_Monroe_(Florida)","1,020 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Nottely Lake *","http://dbpedia.org/resource/Lake_Nottely","535 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Oconee, Lake","http://dbpedia.org/resource/Lake_Oconee","968 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Sinclair, Lake","http://dbpedia.org/resource/Lake_Sinclair","991 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Sydney Lanier, Lake","http://dbpedia.org/resource/Lake_Lanier","2,745 KB"
"Georgia","http://dbpedia.org/resource/Georgia_(U.S._state)","Tobesofkee, Lake *","http://dbpedia.org/resource/Lake_Tobesofkee","538 KB"
"Illinois","http://dbpedia.org/resource/Illinois_(state)","Clinton Lake","http://dbpedia.org/resource/Clinton_Lake_(Illinois)","597 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Big Hill Lake * (updated 01/23/2006)","http://dbpedia.org/resource/Big_Hill_Lake","373 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Coffey County Lake","","274 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Pomona Lake","","335 KB"
"Kansas","http://dbpedia.org/resource/Kansas_(state)","Tuttle Creek Lake","http://dbpedia.org/resource/Tuttle_Creek_Lake","576 KB"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","Laurel River Lake","http://dbpedia.org/resource/Laurel_River_Lake","985 KB"
"Kentucky","http://dbpedia.org/resource/Kentucky_(state)","Taylorsville Lake","http://dbpedia.org/resource/Taylorsville_Lake","499 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Caney Creek Reservoir *","","308 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Cotile Lake * Also includes Kincaid Reservoir, LA and Lake Rodemacher, LA","","519 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","D'Arbonne, Lake","http://dbpedia.org/resource/Lake_D’Arbonne","388 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Kepler Creek Lake *","","292 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Kincaid Reservoir Also includes Cotile Lake, LA and Lake Rodemacher, LA","","519 KB"
"Louisiana","http://dbpedia.org/resource/Louisiana_(state)","Rodemacher, Lake * Also includes Cotile Lake, LA and Kincaid Reservoir, LA","","519 KB"
"Massachusetts","http://dbpedia.org/resource/Massachusetts_(state)","Quabbin Reservoir","http://dbpedia.org/resource/Quabbin_Reservoir","687 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Fourtown Lake","","216 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Gull Lake","http://dbpedia.org/resource/Gull_Lake_(Cass_County,_Minnesota)","526 KB"
"Minnesota","http://dbpedia.org/resource/Minnesota_(state)","Moose Lake","http://dbpedia.org/resource/Moose_Lake,_Minnesota","225 KB"
"Mississippi","http://dbpedia.org/resource/Mississippi_(state)","Arkabutla Lake","http://dbpedia.org/resource/Arkabutla_Lake","380 KB"
