"Rank","Airport","Airport__URI","Location","Location__URI","Code (IATA/ICAO)","Total Passengers","Rank Change","% Change"
"1.","Hartsfield-Jackson Atlanta International Airport","http://dbpedia.org/resource/Hartsfield–Jackson_Atlanta_International_Airport","Atlanta, Georgia, United States","http://dbpedia.org/resource/Atlanta","ATL/KATL","88,032,086","","2.2%"
"2.","London Heathrow Airport","http://dbpedia.org/resource/London_Heathrow_Airport","Hillingdon, Greater London, England, United Kingdom","http://dbpedia.org/resource/Hillingdon","LHR/EGLL","66,037,578","1","1.5%"
"3.","Beijing Capital International Airport","http://dbpedia.org/resource/Beijing_Capital_International_Airport","Chaoyang, Beijing, China","http://dbpedia.org/resource/Chaoyang_District,_Beijing","PEK/ZBAA","65,372,012","5","16.9%"
"4.","O'Hare International Airport","http://dbpedia.org/resource/O'Hare_International_Airport","Chicago, Illinois, United States","http://dbpedia.org/resource/Chicago","ORD/KORD","64,158,343","2","6.1%"
"5.","Tokyo International Airport","http://dbpedia.org/resource/Haneda_Airport","Ōta, Tokyo, Japan","http://dbpedia.org/resource/Ōta,_Tokyo","HND/RJTT","61,903,656","1","7.2%"
"6.","Paris Charles de Gaulle Airport","http://dbpedia.org/resource/Charles_de_Gaulle_Airport","Roissy-en-France, Val d'Oise, ?le-de-France, France","http://dbpedia.org/resource/Roissy-en-France","CDG/LFPG","57,906,866","1","4.9%"
"7.","Los Angeles International Airport","http://dbpedia.org/resource/Los_Angeles_International_Airport","Los Angeles, California, United States","http://dbpedia.org/resource/Los_Angeles,_California","LAX/KLAX","56,520,843","1","5.5%"
"8.","Dallas-Fort Worth International Airport","http://dbpedia.org/resource/Dallas/Fort_Worth_International_Airport","Dallas/Fort Worth, Texas, United States","http://dbpedia.org/resource/Dallas–Fort_Worth_metroplex","DFW/KDFW","56,030,457","1","1.9%"
"9.","Frankfurt Airport","http://dbpedia.org/resource/Frankfurt_Airport","Flughafen (Frankfurt am Main), Frankfurt, Hesse, Germany","http://dbpedia.org/resource/Flughafen","FRA/EDDF","50,932,840","","4.7%"
"10.","Denver International Airport","http://dbpedia.org/resource/Denver_International_Airport","Denver, Colorado, United States","http://dbpedia.org/resource/Denver,_Colorado","DEN/KDEN","50,167,485","","2.1%"
