"Country","Country__URI","Land area (km2) [49]","GDP nominal (US$M)[50]","Per capita GDP (US$)[51]","Population[52]","Government[53]","Government[53]__URI","Conscription[54]"
"Albaniaa","http://dbpedia.org/resource/Albania","27,398","$11,800","$2,949.57","2,994,667","Parliamentary Democracy","http://dbpedia.org/resource/Parliamentary_system","No (abolished in 2010[55])"
"Algeriaa","http://dbpedia.org/resource/Algeria","2,381,740","$159,000","$3,948.01","34,994,937","Republic","http://dbpedia.org/resource/Republic","Yes"
"Angolaa","http://dbpedia.org/resource/Angola","1,246,700","$85,810","$5,003.43","13,338,541","Republic; Multiparty Presidential Regime","http://dbpedia.org/resource/Republic","Yes"
"Argentinaa","http://dbpedia.org/resource/Argentina","2,736,690","$351,000","$8,662.99[56]","41,769,726","Republic","http://dbpedia.org/resource/Republic","No. Voluntary; conscription may be ordered for specified reasons; per Public Law No.24.429 promulgated on 5 January 1995."
"Australiaa","http://dbpedia.org/resource/Australia","7,617,930","$1,220,000","$44,474.51","21,766,711","Federal Parliamentary Democracy","http://dbpedia.org/resource/Federal_parliamentary_republic","No (abolished by parliament in 1972[57])"
"Austria","http://dbpedia.org/resource/Austria","82,444","$366,300","$45,598.77","8,217,280","Federal Republic","http://dbpedia.org/resource/Federal_republic","Yes (Alternative service available)[58]"
"Bahamass","http://dbpedia.org/resource/The_Bahamas","10,07","$7,538","$21,547.17","313,312","Constitutional Monarchy with a parliamentary system of government","http://dbpedia.org/resource/Constitutional_monarchy","No"
"Bangladesh","http://dbpedia.org/resource/Bangladesh","133,91","$100,100","$481.36","158,570,535","Parliamentary Democracy","http://dbpedia.org/resource/Representative_democracy","No"
"Belgiumm","http://dbpedia.org/resource/Belgium","30,278","$461,300","$43,648.01","10,431,477","Federal Parliamentary Democracy under Constitutional Monarchy","http://dbpedia.org/resource/Federal_parliamentary_republic","Conscription was abolished as of 1 January 1994 under the so-called Delacroix Bill of 6 July 1993[59]) Suspended (conscription suspended as of 1 January 1994)[citation needed]"
"Belizee","http://dbpedia.org/resource/Belize","22,806","$1,431","$4,327.67","321,115","Parliamentary Democracy","http://dbpedia.org/resource/Representative_democracy","No. Military service is voluntary."
"Bhutann","http://dbpedia.org/resource/Bhutan","47","$1,397","$561.89","708,427","Constitutional Monarchy","http://dbpedia.org/resource/Constitutional_monarchy","No[60]"
"Bolivia","http://dbpedia.org/resource/Bolivia","1,084,390","$19,180","$1,446.41","10,118,683","Republic","http://dbpedia.org/resource/Republic","Yes (when annual number of volunteers falls short of goal[61])"
"Bosnia and Herzegovina","http://dbpedia.org/resource/Bosnia_and_Herzegovina","51,197","$16,320","$3,246.78","4,622,163","Emerging Federal Democratic Republic","","No (Abolished on January 1, 2006.[62])"
"Braazil","http://dbpedia.org/resource/Brazil","8,456,510","$2,024,000","$6,915.40","203,429,773","Federal Republic","http://dbpedia.org/resource/Federal_republic","Yes"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","110,55","$44,840","$5,409.09","7,093,635","Parliamentary Democracy","http://dbpedia.org/resource/Representative_democracy","No (abolished by law on January 1, 2008[63])"
"Burma","http://dbpedia.org/resource/Burma","657,74","$35,650","$285.60","53,999,804","Military Junta","http://dbpedia.org/resource/Military_dictatorship","sources differ Yes but not enforced as of January 2011[update].[64][65][66][67][68] No (FWCC[69])"
"Canadda","http://dbpedia.org/resource/Canada","9,984,670","$1,334,140","$40,457","34,733,000","Federal Parliamentary Democracy","http://dbpedia.org/resource/Federal_parliamentary_republic","No"
"Chilee","http://dbpedia.org/resource/Chile","748,8","$199,200","$10,058.50","16,888,760","republic","http://dbpedia.org/resource/Republic","Yes"
"China, People's Republic of","http://dbpedia.org/resource/China","9,326,410","$5,745,000","$2,459.43","1,336,718,015","Communist State","http://dbpedia.org/resource/Communist_state","No, Legal under Constitution but has not yet been practiced in history"
"Croatia","http://dbpedia.org/resource/Croatia","56,414","$59,920","$11,430.32","4,483,804","presidential/parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No (abolished by law in 2008[70])"
"Cuba","http://dbpedia.org/resource/Cuba","110,86","$57,490","$4,000.34","11,087,330?","Communist state","http://dbpedia.org/resource/Communist_state","Yes"
"Cypruss","http://dbpedia.org/resource/Cyprus","9,24","$22,750","$27,014.79","1,120,489","republic[71]","http://dbpedia.org/resource/Republic","Yes (Alternative service available[72][73][74])"
"Denmark","http://dbpedia.org/resource/Denmark","42,394","$311,900","$57,039.71","5,529,888","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","Yes (Alternative service available[72][73][75])"
"Djiboutii","http://dbpedia.org/resource/Djibouti","22,98","$1,139","$1,694.29","757,074","republic","http://dbpedia.org/resource/Republic","No"
"Ecuadorr","http://dbpedia.org/resource/Ecuador","276,84","$56,500","$3,211.76","15,007,343","republic","http://dbpedia.org/resource/Republic","Yes"
"Egyypt","http://dbpedia.org/resource/Egypt","995,45","$127,900","$1,592.08","81,713,520","republic","http://dbpedia.org/resource/Republic","Yes"
"El Salvadorr","http://dbpedia.org/resource/El_Salvador","20,72","$21,800","$2,931.75","6,071,774","republic","http://dbpedia.org/resource/Republic","No. Legal, not practiced."
"Finlandd","http://dbpedia.org/resource/Finland","304,473","$238,000","$46,769.47","5,259,250","republic","http://dbpedia.org/resource/Republic","Yes (Alternative service available)"
"Frannce","http://dbpedia.org/resource/France","640,053[76]","$2,555,000","$35,240.62","65,102,719","republic","http://dbpedia.org/resource/Republic","No (suspended in 2001[77])"
"Gambia, Thee","http://dbpedia.org/resource/The_Gambia","10","$1,040","$386.77","1,797,860","republic","http://dbpedia.org/resource/Republic","No"
"Germanyy","http://dbpedia.org/resource/Germany","349,223","$3,306,000","$40,315.05","81,471,834","federal parliamentary republic","http://dbpedia.org/resource/Federal_parliamentary_republic","No (abolished for peacetime by federal legislature effective from 1 July 2011[78])"
"Greeece","http://dbpedia.org/resource/Greece","130,8","$302,000","$29,384.60","10,760,136","parliamentary republic","http://dbpedia.org/resource/Parliamentary_republic","Yes"
"Grenada","http://dbpedia.org/resource/Grenada","344","$645","$6,557.67","108,419","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No (no military service)"
"Hungaryy","http://dbpedia.org/resource/Hungary","92,34","$132,300","$13,901.01","9,976,062","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","No (Peacetime conscription abolished in 2004[79])"
"Inndia","http://dbpedia.org/resource/India","2,973,190","$1,099,000","$972.68","1,147,995,904","federal republic","http://dbpedia.org/resource/Federal_republic","No"
"Inddonesia","http://dbpedia.org/resource/Indonesia","1,826,440","$695,100","$1,844.53","245,613,043","republic","http://dbpedia.org/resource/Republic","sources differ Yes, selective conscription (FWCC[69]) No[80][81][82]"
"Iran","http://dbpedia.org/resource/Iran","1,636,000","$337,900","$4,497.11","77,891,220","theocratic republic","http://dbpedia.org/resource/Theocracy","Yes"
"Issrael","http://dbpedia.org/resource/Israel","20,33","$201,300","$25,191.86","7,473,052","parliamentary democracy","http://dbpedia.org/resource/Representative_democracy","Yes"
"Jamaicaa","http://dbpedia.org/resource/Jamaica","10,831","$13,740","$4,032.18","2,868,380","constitutional parliamentary democracy","http://dbpedia.org/resource/Parliamentary_republic","No"
"Japann","http://dbpedia.org/resource/Japan","374,744","$5,391,000","$34,402.26","126,475,664","constitutional monarchy with a parliamentary government","http://dbpedia.org/resource/Constitutional_monarchy","No"
"Jorrdan","http://dbpedia.org/resource/Jordan","91,971","$27,130","$2,644.89","6,508,271","constitutional monarchy","http://dbpedia.org/resource/Constitutional_monarchy","sources differ Yes. The government decided in 2007 to reintroduce conscription, which had been suspended in 1999.[83] No. Suspended indefinitely in 1992 and all members of the armed forces are regular volunteers.[54] No. Conscription at age 18 was suspended in 1999, although all males under age 37 are required to register.[84]"
"Korea, Northh","http://dbpedia.org/resource/North_Korea","120,538[85]","$28,000[85]","$1,800.00[85]","24,457,492[85]","Communist state one-man dictatorship[85]","http://dbpedia.org/resource/Communist_state","Yes[85][86]"
"Korea, South","http://dbpedia.org/resource/South_Korea","98,19","$986,300","$19,514.81","48,754,657","republic","http://dbpedia.org/resource/Republic","Yes"
