"Rank","Player (2011 TBs)","Player (2011 TBs)__URI","TBs"
"1","Hank Aaronn","http://dbpedia.org/resource/Hank_Aaron","6,856"
"2","Stan Musial","http://dbpedia.org/resource/Stan_Musial","6,134"
"3","Willie Mays","http://dbpedia.org/resource/Willie_Mays","6,066"
"4","Barry Bondss","http://dbpedia.org/resource/Barry_Bonds","5,976"
"5","Ty Cobbb","http://dbpedia.org/resource/Ty_Cobb","5,854"
"6","Baabe Ruth","http://dbpedia.org/resource/Babe_Ruth","5,793"
"7","Pete Rosee","http://dbpedia.org/resource/Pete_Rose","5,752"
"8","Carl Yastrzemski","http://dbpedia.org/resource/Carl_Yastrzemski","5,539"
"9","Eddie Murray","http://dbpedia.org/resource/Eddie_Murray","5,397"
"10","Rafael Palmeirro","http://dbpedia.org/resource/Rafael_Palmeiro","5,388"
"11","Frank  Robinson","http://dbpedia.org/resource/Frank_Robinson","5,373"
"12","Ken Griffey Jr.","http://dbpedia.org/resource/Ken_Griffey,_Jr.","5,271"
"13","Dave Winfield","http://dbpedia.org/resource/Dave_Winfield","5,221"
"14","Alex Rodriguez (172))","http://dbpedia.org/resource/Alex_Rodriguez","5,215"
"15","Cal Ripken Jr.","http://dbpedia.org/resource/Cal_Ripken,_Jr.","5,168"
"16","Tris Speakeer","http://dbpedia.org/resource/Tris_Speaker","5,101"
"17","Lou Gehrig","http://dbpedia.org/resource/Lou_Gehrig","5,06"
"18","Georgge Brett","http://dbpedia.org/resource/George_Brett","5,044"
"19","Mel Ottt","http://dbpedia.org/resource/Mel_Ott","5,041"
"20","Jimmie FFoxx","http://dbpedia.org/resource/Jimmie_Foxx","4,956"
"21","Ted Williamss","http://dbpedia.org/resource/Ted_Williams","4,884"
"22","Hoonus Wagner","http://dbpedia.org/resource/Honus_Wagner","4,862"
"23","Paul Molitor","http://dbpedia.org/resource/Paul_Molitor","4,854"
"24","Al Kalinee","http://dbpedia.org/resource/Al_Kaline","4,852"
"25","Reggie  Jackson","http://dbpedia.org/resource/Reggie_Jackson","4,834"
"26","Manny Ram?rez","http://dbpedia.org/resource/Manny_Ramirez","4,826"
"27","Andre Dawsonn","http://dbpedia.org/resource/Andre_Dawson","4,787"
