"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Jeff Bagwell","http://dbpedia.org/resource/Jeff_Bagwell","NL","Astros","http://dbpedia.org/resource/Houston_Astros","07-18","2001","."
"John Olerud","http://dbpedia.org/resource/John_Olerud","AL","Mariners","http://dbpedia.org/resource/Seattle_Mariners","06-17","2001","??2"
"Luis Gonzalez","http://dbpedia.org/resource/Luis_Gonzalez_(outfielder)","?m?k","Diamondbacks","http://dbpedia.org/resource/Arizona_Diamondbacks","07-05","2000","."
"Eric Chavez","http://dbpedia.org/resource/Eric_Chavez","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","06-21","2000","."
"Mike Lansing","http://dbpedia.org/resource/Mike_Lansing","?m?k","Rockies","http://dbpedia.org/resource/Colorado_Rockies","06-18","2000","."
"Jason Kendall","http://dbpedia.org/resource/Jason_Kendall","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","05-19","2000","."
"Jose Valentin","http://dbpedia.org/resource/José_Valentín","?`?k","White Sox","http://dbpedia.org/resource/Chicago_White_Sox","04-27","2000","."
"Chris Singleton","http://dbpedia.org/resource/Chris_Singleton_(baseball)","?`?k","White Sox","http://dbpedia.org/resource/Chicago_White_Sox","07-06","1999","."
"Todd Helton","http://dbpedia.org/resource/Todd_Helton","?m?k","Rockies","http://dbpedia.org/resource/Colorado_Rockies","06-19","1999","."
"Jeff Kent","http://dbpedia.org/resource/Jeff_Kent","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","05-03","1999","."
"Neifi Perez","http://dbpedia.org/resource/Neifi_Pérez","?m?k","Rockies","http://dbpedia.org/resource/Colorado_Rockies","07-25","1998","."
"Dante Bichette","http://dbpedia.org/resource/Dante_Bichette","?m?k","Rockies","http://dbpedia.org/resource/Colorado_Rockies","06-10","1998","."
"Mike Blowers","http://dbpedia.org/resource/Mike_Blowers","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","05-18","1998","."
"John Olerud","http://dbpedia.org/resource/John_Olerud","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","09-11","1997","??1"
"Alex Rodriguez","http://dbpedia.org/resource/Alex_Rodriguez","?`?k","Mariners","http://dbpedia.org/resource/Seattle_Mariners","06-05","1997","."
"Alex Ochoa","http://dbpedia.org/resource/Alex_Ochoa","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","07-03","1996","."
"John Valentin","http://dbpedia.org/resource/John_Valentin","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","06-06","1996","."
"John Mabry","http://dbpedia.org/resource/John_Mabry","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","05-18","1996","."
"Tony Fernandez","http://dbpedia.org/resource/Tony_Fernández","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","09-03","1995","."
"Gregg Jefferies","http://dbpedia.org/resource/Gregg_Jefferies","?m?k","Phillies","http://dbpedia.org/resource/Philadelphia_Phillies","08-25","1995","."
"Rondell White","http://dbpedia.org/resource/Rondell_White","?m?k","Expos","http://dbpedia.org/resource/Montreal_Expos","06-11","1995","."
"Scott Cooper","http://dbpedia.org/resource/Scott_Cooper_(baseball)","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","04-12","1994","."
"Travis Fryman","http://dbpedia.org/resource/Travis_Fryman","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","07-28","1993","."
"Jay Buhner","http://dbpedia.org/resource/Jay_Buhner","?`?k","Mariners","http://dbpedia.org/resource/Seattle_Mariners","07-23","1993","."
"Mark Grace","http://dbpedia.org/resource/Mark_Grace","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","05-09","1993","."
"Andujar Cedeno","http://dbpedia.org/resource/Andújar_Cedeño","?m?k","Astros","http://dbpedia.org/resource/Houston_Astros","08-25","1992","."
"Ray Lankford","http://dbpedia.org/resource/Ray_Lankford","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","09-15","1991","."
"Dave Winfield","http://dbpedia.org/resource/Dave_Winfield","?`?k","Angels","http://dbpedia.org/resource/Los_Angeles_Angels_of_Anaheim","06-24","1991","."
"Paul Molitor","http://dbpedia.org/resource/Paul_Molitor","?`?k","Brewers","http://dbpedia.org/resource/Milwaukee_Brewers","05-15","1991","."
"Robby Thompson","http://dbpedia.org/resource/Robby_Thompson","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","04-22","1991","."
"George Brett","http://dbpedia.org/resource/George_Brett","?`?k","Royals","http://dbpedia.org/resource/Kansas_City_Royals","07-25","1990","2"
"Gary Redus","http://dbpedia.org/resource/Gary_Redus","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","08-25","1989","."
"Kevin McReynolds","http://dbpedia.org/resource/Kevin_McReynolds","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","08-01","1989","."
"Eric Davis","http://dbpedia.org/resource/Eric_Davis_(baseball)","?m?k","Reds","http://dbpedia.org/resource/Cincinnati_Reds","06-02","1989","."
"Kelly Gruber","http://dbpedia.org/resource/Kelly_Gruber","?`?k","Blue Jays","http://dbpedia.org/resource/Toronto_Blue_Jays","04-16","1989","."
"Mike Greenwell","http://dbpedia.org/resource/Mike_Greenwell","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","09-14","1988","."
"Chris Speier","http://dbpedia.org/resource/Chris_Speier","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","07-09","1988","2"
"Robin Yount","http://dbpedia.org/resource/Robin_Yount","?`?k","Brewers","http://dbpedia.org/resource/Milwaukee_Brewers","06-12","1988","."
"Albert Hall","http://dbpedia.org/resource/Albert_Hall_(baseball)","?m?k","Braves","http://dbpedia.org/resource/Atlanta_Braves","09-23","1987","."
"Tim Raines","http://dbpedia.org/resource/Tim_Raines","?m?k","Expos","http://dbpedia.org/resource/Montreal_Expos","08-16","1987","."
"Candy Maldonado","http://dbpedia.org/resource/Candy_Maldonado","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","05-04","1987","."
"Andre Dawson","http://dbpedia.org/resource/Andre_Dawson","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","04-29","1987","."
"Kirby Puckett","http://dbpedia.org/resource/Kirby_Puckett","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","08-01","1986","."
"Tony Phillips","http://dbpedia.org/resource/Tony_Phillips","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","05-16","1986","."
"Rich Gedman","http://dbpedia.org/resource/Rich_Gedman","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","09-18","1985","."
"Oddibe McDowell","http://dbpedia.org/resource/Oddibe_McDowell","?`?k","Rangers","http://dbpedia.org/resource/Texas_Rangers_(baseball)","07-23","1985","."
"Keith Hernandez","http://dbpedia.org/resource/Keith_Hernandez","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","07-04","1985","."
"Jeff Leonard","http://dbpedia.org/resource/Jeffrey_Leonard","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","06-27","1985","."
"Dwight Evans","http://dbpedia.org/resource/Dwight_Evans","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","06-28","1984","."
"Willie McGee","http://dbpedia.org/resource/Willie_McGee","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","06-23","1984","."
"Carlton Fisk","http://dbpedia.org/resource/Carlton_Fisk","?`?k","White Sox","http://dbpedia.org/resource/Chicago_White_Sox","05-16","1984","."
"Cal Ripken, Jr.","http://dbpedia.org/resource/Cal_Ripken,_Jr.","?`?k","Orioles","http://dbpedia.org/resource/Baltimore_Orioles","05-06","1984","."
"Frank White","http://dbpedia.org/resource/Frank_White_(baseball)","?`?k","Royals","http://dbpedia.org/resource/Kansas_City_Royals","08-03","1982","2"
"Charlie Moore","http://dbpedia.org/resource/Charlie_Moore","?`?k","Brewers","http://dbpedia.org/resource/Milwaukee_Brewers","10-01","1980","."
"Gary Ward","http://dbpedia.org/resource/Gary_Ward_(outfielder)","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","09-18","1980","."
"Mike Easler","http://dbpedia.org/resource/Mike_Easler","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-12","1980","."
"Fred Lynn","http://dbpedia.org/resource/Fred_Lynn","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","05-13","1980","."
"Ivan DeJesus","http://dbpedia.org/resource/Iván_DeJesús","?m?k","Cubs","http://dbpedia.org/resource/Chicago_Cubs","04-22","1980","."
"Frank White","http://dbpedia.org/resource/Frank_White_(baseball)","?`?k","Royals","http://dbpedia.org/resource/Kansas_City_Royals","09-26","1979","1"
"Bob Watson","http://dbpedia.org/resource/Bob_Watson","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","09-15","1979","??2"
"Dan Ford","http://dbpedia.org/resource/Dan_Ford","?`?k","Angels","http://dbpedia.org/resource/Los_Angeles_Angels_of_Anaheim","08-10","1979","."
"George Brett","http://dbpedia.org/resource/George_Brett","?`?k","Royals","http://dbpedia.org/resource/Kansas_City_Royals","05-28","1979","1"
"Mike Cubbage","http://dbpedia.org/resource/Mike_Cubbage","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","07-27","1978","."
"Chris Speier","http://dbpedia.org/resource/Chris_Speier","?m?k","Expos","http://dbpedia.org/resource/Montreal_Expos","07-20","1978","1"
"Andre Thornton","http://dbpedia.org/resource/Andre_Thornton","?`?k","Indians","http://dbpedia.org/resource/Cleveland_Indians","04-22","1978","."
"Jack Brohamer","http://dbpedia.org/resource/Jack_Brohamer","?`?k","White Sox","http://dbpedia.org/resource/Chicago_White_Sox","09-24","1977","."
"John Mayberry","http://dbpedia.org/resource/John_Mayberry","?`?k","Royals","http://dbpedia.org/resource/Kansas_City_Royals","08-05","1977","."
"Bob Watson","http://dbpedia.org/resource/Bob_Watson","?m?k","Astros","http://dbpedia.org/resource/Houston_Astros","06-24","1977","??1"
"Mike Hegan","http://dbpedia.org/resource/Mike_Hegan","?`?k","Brewers","http://dbpedia.org/resource/Milwaukee_Brewers","09-03","1976","."
"Cesar Cedeno","http://dbpedia.org/resource/César_Cedeño","?m?k","Astros","http://dbpedia.org/resource/Houston_Astros","08-09","1976","2"
"Lyman Bostock","http://dbpedia.org/resource/Lyman_Bostock","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","07-24","1976","."
"Mike Phillips","http://dbpedia.org/resource/Mike_Phillips_(baseball)","?m?k","Mets","http://dbpedia.org/resource/New_York_Mets","06-25","1976","."
"Larry Hisle","http://dbpedia.org/resource/Larry_Hisle","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","06-04","1976","."
"Tim Foli","http://dbpedia.org/resource/Tim_Foli","?m?k","Expos","http://dbpedia.org/resource/Montreal_Expos","04-22","1976","."
"Lou Brock","http://dbpedia.org/resource/Lou_Brock","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","05-27","1975","."
"Richie Zisk","http://dbpedia.org/resource/Richie_Zisk","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","06-09","1974","."
"Joe Torre","http://dbpedia.org/resource/Joe_Torre","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","06-27","1973","."
"Cesar Tovar","http://dbpedia.org/resource/César_Tovar","?`?k","Twins","http://dbpedia.org/resource/Minnesota_Twins","09-19","1972","."
"Bobby Murcer","http://dbpedia.org/resource/Bobby_Murcer","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","08-29","1972","."
"Cesar Cedeno","http://dbpedia.org/resource/César_Cedeño","?m?k","Astros","http://dbpedia.org/resource/Houston_Astros","08-02","1972","1"
"Dave Kingman","http://dbpedia.org/resource/Dave_Kingman","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","04-16","1972","."
"Freddie Patek","http://dbpedia.org/resource/Freddie_Patek","?`?k","Royals","http://dbpedia.org/resource/Kansas_City_Royals","07-09","1971","."
"Jim Ray Hart","http://dbpedia.org/resource/Jim_Ray_Hart","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","07-08","1970","."
