"Country","Country__URI","Region","Region__URI","City","City__URI"
"Nigeria","http://dbpedia.org/resource/Nigeria","Oyoo","http://dbpedia.org/resource/Oyo_State","Bara","http://dbpedia.org/resource/Bara,_Nigeria"
"Sweden","http://dbpedia.org/resource/Sweden","Skane","http://dbpedia.org/resource/Scania","Bara","http://dbpedia.org/resource/Bara,_Scania"
"Sweden","http://dbpedia.org/resource/Sweden","Soedermanland","http://dbpedia.org/resource/Södermanland","Bara",""
"Romania","http://dbpedia.org/resource/Romania","Timis","http://dbpedia.org/resource/Timiș_County","Bara","http://dbpedia.org/resource/Bara,_Timiș"
"Nigeria","http://dbpedia.org/resource/Nigeria","YYobe","http://dbpedia.org/resource/Yobe_State","Bara",""
"Romania","http://dbpedia.org/resource/Romania","Neamtt","http://dbpedia.org/resource/Neamț_County","Bâra","http://dbpedia.org/resource/Bâra"
"Venezuela","http://dbpedia.org/resource/Venezuela","Anzoateguii","http://dbpedia.org/resource/Anzoátegui","Barcelona","http://dbpedia.org/resource/Barcelona,_Anzoategui"
"Philippines","http://dbpedia.org/resource/Philippines","Bicoll","http://dbpedia.org/resource/Bicol_Region","Barcelona","http://dbpedia.org/resource/Barcelona,_Sorsogon"
"Philippines","http://dbpedia.org/resource/Philippines","Caragaa","http://dbpedia.org/resource/Caraga","Barcelona",""
"Spain","http://dbpedia.org/resource/Spain","Catalonia","http://dbpedia.org/resource/Catalonia,_Spain","Barcelona","http://dbpedia.org/resource/Barcelona"
"Philippines","http://dbpedia.org/resource/Philippines","Zamboanga Peninsulaa","http://dbpedia.org/resource/Zamboanga_Peninsula","Barcelona",""
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","EEngland","http://dbpedia.org/resource/England,_United_Kingdom","Cambridge","http://dbpedia.org/resource/Cambridge,_England"
"United States","http://dbpedia.org/resource/United_States","Illinoiss","http://dbpedia.org/resource/Illinois,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Illinois"
"United States","http://dbpedia.org/resource/United_States","Marylandd","http://dbpedia.org/resource/Maryland,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Maryland"
"United States","http://dbpedia.org/resource/United_States","Massachusetts","http://dbpedia.org/resource/Massachusetts,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Massachusetts"
"United States","http://dbpedia.org/resource/United_States","Minnesota","http://dbpedia.org/resource/Minnesota,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Minnesota"
"United States","http://dbpedia.org/resource/United_States","Nebraskaa","http://dbpedia.org/resource/Nebraska,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Nebraska"
"United States","http://dbpedia.org/resource/United_States","New York","http://dbpedia.org/resource/New_York","Cambridge","http://dbpedia.org/resource/Cambridge,_New_York"
"United States","http://dbpedia.org/resource/United_States","Ohioo","http://dbpedia.org/resource/Ohio,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Ohio"
"Canada","http://dbpedia.org/resource/Canada","Ontarioo","http://dbpedia.org/resource/Ontario,_Canada","Cambridge","http://dbpedia.org/resource/Cambridge,_Ontario"
"Jamaica","http://dbpedia.org/resource/Jamaica","St Jamess","http://dbpedia.org/resource/Saint_James_Parish,_Jamaica","Cambridge","http://dbpedia.org/resource/Cambridge,_Jamaica"
"Australia","http://dbpedia.org/resource/Australia","Tasmania","http://dbpedia.org/resource/Tasmania,_Australia","Cambridge","http://dbpedia.org/resource/Cambridge,_Tasmania"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Waikatoo","http://dbpedia.org/resource/Waikato,_New_Zealand","Cambridge","http://dbpedia.org/resource/Cambridge,_Waikato"
"United States","http://dbpedia.org/resource/United_States","Wisconsinn","http://dbpedia.org/resource/Wisconsin,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Wisconsin"
"United States","http://dbpedia.org/resource/United_States","AAlabama","http://dbpedia.org/resource/Alabama,_United_States","Camden","http://dbpedia.org/resource/Camden,_Alabama"
"United States","http://dbpedia.org/resource/United_States","Arkansas","http://dbpedia.org/resource/Arkansas,_United_States","Camden","http://dbpedia.org/resource/Camden,_Arkansas"
"United States","http://dbpedia.org/resource/United_States","Delawaree","http://dbpedia.org/resource/Delaware,_United_States","Camden","http://dbpedia.org/resource/Camden,_Delaware"
"United States","http://dbpedia.org/resource/United_States","Maaine","http://dbpedia.org/resource/Maine,_United_States","Camden","http://dbpedia.org/resource/Camden,_Maine"
