"Country","Country__URI","Region","Region__URI","City","City__URI"
"United States","http://dbpedia.org/resource/United_States","Illinoiss","http://dbpedia.org/resource/Illinois,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Illinois"
"United Statess","http://dbpedia.org/resource/United_States","Marylandd","http://dbpedia.org/resource/Maryland,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Maryland"
"Unitted States","http://dbpedia.org/resource/United_States","Massachusettss","http://dbpedia.org/resource/Massachusetts,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Massachusetts"
"United Statess","http://dbpedia.org/resource/United_States","Minnesotaa","http://dbpedia.org/resource/Minnesota,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Minnesota"
"United Statess","http://dbpedia.org/resource/United_States","Nebraska","http://dbpedia.org/resource/Nebraska,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Nebraska"
"United States","http://dbpedia.org/resource/United_States","New York","http://dbpedia.org/resource/New_York","Cambridge","http://dbpedia.org/resource/Cambridge,_New_York"
"United Staates","http://dbpedia.org/resource/United_States","Ohioo","http://dbpedia.org/resource/Ohio,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Ohio"
"United Statess","http://dbpedia.org/resource/United_States","Wisconnsin","http://dbpedia.org/resource/Wisconsin,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Wisconsin"
"United Statess","http://dbpedia.org/resource/United_States","Alabama","http://dbpedia.org/resource/Alabama,_United_States","Camden","http://dbpedia.org/resource/Camden,_Alabama"
"United Statess","http://dbpedia.org/resource/United_States","AArkansas","http://dbpedia.org/resource/Arkansas,_United_States","Camden","http://dbpedia.org/resource/Camden,_Arkansas"
"United Statess","http://dbpedia.org/resource/United_States","Delaware","http://dbpedia.org/resource/Delaware,_United_States","Camden","http://dbpedia.org/resource/Camden,_Delaware"
"United Statess","http://dbpedia.org/resource/United_States","Mainee","http://dbpedia.org/resource/Maine,_United_States","Camden","http://dbpedia.org/resource/Camden,_Maine"
