"Country","Country__URI","Region","Region__URI","City","City__URI"
"Nigeria","http://dbpedia.org/resource/Nigeria","Oyo","http://dbpedia.org/resource/Oyo_State","Bara","http://dbpedia.org/resource/Bara,_Nigeria"
"Sweden","http://dbpedia.org/resource/Sweden","Skane","http://dbpedia.org/resource/Scania","Bara","http://dbpedia.org/resource/Bara,_Scania"
"Sweden","http://dbpedia.org/resource/Sweden","Soedermanland","http://dbpedia.org/resource/S%C3%B6dermanland","Bara",""
"Romania","http://dbpedia.org/resource/Romania","Timis","http://dbpedia.org/resource/Timi%C8%99_County","Bara","http://dbpedia.org/resource/Bara,_Timi%C8%99"
"Nigeria","http://dbpedia.org/resource/Nigeria","Yobe","http://dbpedia.org/resource/Yobe_State","Bara",""
"Romania","http://dbpedia.org/resource/Romania","Neamt","http://dbpedia.org/resource/Neam%C8%9B_County","Bâra","http://dbpedia.org/resource/B%C3%A2ra"
"Venezuela","http://dbpedia.org/resource/Venezuela","Anzoategui","http://dbpedia.org/resource/Anzo%C3%A1tegui","Barcelona","http://dbpedia.org/resource/Barcelona,_Anzoategui"
"Philippines","http://dbpedia.org/resource/Philippines","Bicol","http://dbpedia.org/resource/Bicol_Region","Barcelona","http://dbpedia.org/resource/Barcelona,_Sorsogon"
"Philippines","http://dbpedia.org/resource/Philippines","Caraga","http://dbpedia.org/resource/Caraga","Barcelona",""
"Spain","http://dbpedia.org/resource/Spain","Catalonia","http://dbpedia.org/resource/Catalonia,_Spain","Barcelona","http://dbpedia.org/resource/Barcelona"
"Philippines","http://dbpedia.org/resource/Philippines","Zamboanga Peninsula","http://dbpedia.org/resource/Zamboanga_Peninsula","Barcelona",""
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","England","http://dbpedia.org/resource/England,_United_Kingdom","Cambridge","http://dbpedia.org/resource/Cambridge,_England"
"Canada","http://dbpedia.org/resource/Canada","Ontario","http://dbpedia.org/resource/Ontario,_Canada","Cambridge","http://dbpedia.org/resource/Cambridge,_Ontario"
"Jamaica","http://dbpedia.org/resource/Jamaica","St James","http://dbpedia.org/resource/Saint_James_Parish,_Jamaica","Cambridge","http://dbpedia.org/resource/Cambridge,_Jamaica"
"Australia","http://dbpedia.org/resource/Australia","Tasmania","http://dbpedia.org/resource/Tasmania,_Australia","Cambridge","http://dbpedia.org/resource/Cambridge,_Tasmania"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Waikato","http://dbpedia.org/resource/Waikato,_New_Zealand","Cambridge","http://dbpedia.org/resource/Cambridge,_Waikato"
"Italy","http://dbpedia.org/resource/Italy","Lombardy","http://dbpedia.org/resource/Lombardy,_Italy","Como","http://dbpedia.org/resource/Como,_Lombardy"
"Australia","http://dbpedia.org/resource/Australia","New South Wales","http://dbpedia.org/resource/New_South_Wales,_Australia","Como","http://dbpedia.org/resource/Como,_New_South_Wales"
"Australia","http://dbpedia.org/resource/Australia","Western Australia","http://dbpedia.org/resource/Western_Australia,_Australia","Como","http://dbpedia.org/resource/Como,_Western_Australia"
"Ireland","http://dbpedia.org/resource/Ireland","Leinster","http://dbpedia.org/resource/Leinster","Dublin","http://dbpedia.org/resource/Dublin"
"Australia","http://dbpedia.org/resource/Australia","New South Wales","http://dbpedia.org/resource/New_South_Wales,_Australia","Hamilton","http://dbpedia.org/resource/Hamilton,_New_South_Wales"
"Canada","http://dbpedia.org/resource/Canada","Ontario","http://dbpedia.org/resource/Ontario,_Canada","Hamilton","http://dbpedia.org/resource/Hamilton,_Ontario"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","Scotland","http://dbpedia.org/resource/Scotland","Hamilton","http://dbpedia.org/resource/Hamilton,_Scotland"
"Australia","http://dbpedia.org/resource/Australia","Victoria","http://dbpedia.org/resource/Victoria,_Australia","Hamilton","http://dbpedia.org/resource/Hamilton,_Victoria"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Waikato","http://dbpedia.org/resource/Waikato,_New_Zealand","Hamilton","http://dbpedia.org/resource/Hamilton,_New_Zealand"
"Canada","http://dbpedia.org/resource/Canada","Ontario","http://dbpedia.org/resource/Ontario,_Canada","Kingston","http://dbpedia.org/resource/Kingston,_Ontario"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Otago","http://dbpedia.org/resource/Otago,_New_Zealand","Kingston","http://dbpedia.org/resource/Kingston,_New_Zealand"
"Australia","http://dbpedia.org/resource/Australia","South Australia","http://dbpedia.org/resource/South_Australia","Kingston","http://dbpedia.org/resource/Kingston,_South_Australia"
"Australia","http://dbpedia.org/resource/Australia","Tasmania","http://dbpedia.org/resource/Tasmania,_Australia","Kingston","http://dbpedia.org/resource/Kingston,_Tasmania"
"Portugal","http://dbpedia.org/resource/Portugal","Lisbon","http://dbpedia.org/resource/Lisbon_District","Lisbon","http://dbpedia.org/resource/Lisbon"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","England","http://dbpedia.org/resource/England,_United_Kingdom","London","http://dbpedia.org/resource/London"
"Canada","http://dbpedia.org/resource/Canada","Ontario","http://dbpedia.org/resource/Ontario,_Canada","London","http://dbpedia.org/resource/London,_Ontario"
"Spain","http://dbpedia.org/resource/Spain","Aragon","http://dbpedia.org/resource/Aragon,_Spain","Luna","http://dbpedia.org/resource/Luna,_Aragon"
"Philippines","http://dbpedia.org/resource/Philippines","Bicol","http://dbpedia.org/resource/Bicol_Region","Luna",""
"Philippines","http://dbpedia.org/resource/Philippines","Cagayan Valley","http://dbpedia.org/resource/Cagayan_Valley","Luna","http://dbpedia.org/resource/Luna,_Isabela"
"Philippines","http://dbpedia.org/resource/Philippines","Caraga","http://dbpedia.org/resource/Caraga","Luna","http://dbpedia.org/resource/General_Luna,_Surigao_del_Norte"
"Romania","http://dbpedia.org/resource/Romania","Cluj","http://dbpedia.org/resource/Cluj-Napoca","Luna","http://dbpedia.org/resource/Luna,_Cluj"
"Philippines","http://dbpedia.org/resource/Philippines","Ilocos","http://dbpedia.org/resource/Ilocos_Region","Luna",""
"Philippines","http://dbpedia.org/resource/Philippines","Western Visayas","http://dbpedia.org/resource/Western_Visayas","Luna",""
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","England","http://dbpedia.org/resource/England,_United_Kingdom","Manchester","http://dbpedia.org/resource/Manchester,_England"
"Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia","Al Madinah al Munawwarah","http://dbpedia.org/resource/Al_Madinah_Region","Medina","http://dbpedia.org/resource/Medina"
"Colombia","http://dbpedia.org/resource/Colombia","Cundinamarca","http://dbpedia.org/resource/Cundinamarca_Department","Medina","http://dbpedia.org/resource/Medina,_Cundinamarca"
"Mexico","http://dbpedia.org/resource/Mexico","Guanajuato","http://dbpedia.org/resource/Guanajuato","Medina","http://dbpedia.org/resource/Medina,_Guanajuato"
"Brazil","http://dbpedia.org/resource/Brazil","Minas Gerais","http://dbpedia.org/resource/Minas_Gerais","Medina","http://dbpedia.org/resource/Medina,_Minas_Gerais"
"Philippines","http://dbpedia.org/resource/Philippines","Northern Mindanao","http://dbpedia.org/resource/Northern_Mindanao","Medina",""
"Australia","http://dbpedia.org/resource/Australia","Western Australia","http://dbpedia.org/resource/Western_Australia,_Australia","Medina","http://dbpedia.org/resource/Medina,_Western_Australia"
