"Nickname","Nickname__URI","Last Team","Last Team__URI","Nationality","Nationality__URI"
"La Pulga","http://dbpedia.org/resource/Lionel_Messi","Barcelona","http://dbpedia.org/resource/FC_Barcelona","Argentina","http://dbpedia.org/resource/Argentina"
"Pinturicchio","http://dbpedia.org/resource/Alessandro_Del_Piero","Juventus","http://dbpedia.org/resource/Juventus_F.C.","Italy","http://dbpedia.org/resource/Italy"
"CR7","http://dbpedia.org/resource/Cristiano_Ronaldo","Juventus","http://dbpedia.org/resource/Juventus_F.C.","Portugal","http://dbpedia.org/resource/Portugal"
"El Tigre","http://dbpedia.org/resource/Radamel_Falcao","Galatasaray","http://dbpedia.org/resource/Galatasaray_S.K.","Colombia","http://dbpedia.org/resource/Colombia"
"Super Mario","http://dbpedia.org/resource/Mario_Balotelli","Brescia","http://dbpedia.org/resource/Brescia_Calcio","Italy","http://dbpedia.org/resource/Italy"
"Chicharito","http://dbpedia.org/resource/Javier_Hern%C3%A1ndez","L.A. Galaxy","http://dbpedia.org/resource/LA_Galaxy","Mexico","http://dbpedia.org/resource/Mexico"
"El Pibe de Oro","http://dbpedia.org/resource/Diego_Maradona","Boca Juniors","http://dbpedia.org/resource/Boca_Juniors","Argentina","http://dbpedia.org/resource/Argentina"
"El Pistolero","http://dbpedia.org/resource/Luis_Su%C3%A1rez","Barcelona","http://dbpedia.org/resource/FC_Barcelona","Uruguay","http://dbpedia.org/resource/Uruguay"
"El Niño","http://dbpedia.org/resource/Fernando_Torres","Sagan Tosu","http://dbpedia.org/resource/Sagan_Tosu","Spain","http://dbpedia.org/resource/Spain"
"Non-Flying Dutchman","http://dbpedia.org/resource/Dennis_Bergkamp","Arsenal","http://dbpedia.org/resource/Arsenal_F.C.","The Netherlands","http://dbpedia.org/resource/Netherlands"
"O'Rey","http://dbpedia.org/resource/Pel%C3%A9","New York Cosmos","http://dbpedia.org/resource/New_York_Cosmos_(1970%E2%80%9385)","Brasil","http://dbpedia.org/resource/Brasil"
"O'Ney","http://dbpedia.org/resource/Neymar","PSG","http://dbpedia.org/resource/Paris_Saint-Germain_F.C.","Brasil","http://dbpedia.org/resource/Brasil"
"Niño maravilla","http://dbpedia.org/resource/Fernando_Torres","Inter","http://dbpedia.org/resource/Inter_Milan","Chile","http://dbpedia.org/resource/Chile"
"Le petit diable","http://dbpedia.org/resource/Antoine_Griezmann","Barcelona","http://dbpedia.org/resource/FC_Barcelona","France","http://dbpedia.org/resource/France"
"Pocho","http://dbpedia.org/resource/Ezequiel_Lavezzi","Hebei China Fortune","http://dbpedia.org/resource/Hebei_China_Fortune_F.C.","Argentina","http://dbpedia.org/resource/Argentina"
"Matador","http://dbpedia.org/resource/Edinson_Cavani","PSG","http://dbpedia.org/resource/Paris_Saint-Germain_F.C.","Uruguay","http://dbpedia.org/resource/Uruguay"
