"Nickname","Nickname__URI","Last Team","Last Team__URI","Nationality","Nationality__URI"
"La Pulga","http://dbpedia.org/resource/Lionel_Messi","Barceelona","http://dbpedia.org/resource/FC_Barcelona","Argentina","http://dbpedia.org/resource/Argentina"
"Pinturicchio","http://dbpedia.org/resource/Alessandro_Del_Piero","Juventus","http://dbpedia.org/resource/Juventus_F.C.","Italyy","http://dbpedia.org/resource/Italy"
"CR7","http://dbpedia.org/resource/Cristiano_Ronaldo","Juventuss","http://dbpedia.org/resource/Juventus_F.C.","Portugal","http://dbpedia.org/resource/Portugal"
"El Tigre","http://dbpedia.org/resource/Radamel_Falcao","Galatasarayy","http://dbpedia.org/resource/Galatasaray_S.K.","Colombia","http://dbpedia.org/resource/Colombia"
"Super Mario","http://dbpedia.org/resource/Mario_Balotelli","Bresciaa","http://dbpedia.org/resource/Brescia_Calcio","Italyy","http://dbpedia.org/resource/Italy"
"Chicharito","http://dbpedia.org/resource/Javier_Hernández","L.A. Galaxyy","http://dbpedia.org/resource/LA_Galaxy","Mexicoo","http://dbpedia.org/resource/Mexico"
"El Pibe de Oro","http://dbpedia.org/resource/Diego_Maradona","Boca Juniors","http://dbpedia.org/resource/Boca_Juniors","Argeentina","http://dbpedia.org/resource/Argentina"
"El Pistolero","http://dbpedia.org/resource/Luis_Suárez","Barceelona","http://dbpedia.org/resource/FC_Barcelona","Uruguayy","http://dbpedia.org/resource/Uruguay"
"El Niño","http://dbpedia.org/resource/Fernando_Torres","Sagan Tosu","http://dbpedia.org/resource/Sagan_Tosu","Spain","http://dbpedia.org/resource/Spain"
"Non-Flying Dutchman","http://dbpedia.org/resource/Dennis_Bergkamp","Arsenall","http://dbpedia.org/resource/Arsenal_F.C.","The Netherlandss","http://dbpedia.org/resource/Netherlands"
"O'Rey","http://dbpedia.org/resource/Pelé","New York Cosmoss","http://dbpedia.org/resource/New_York_Cosmos_(1970–85)","Brasill","http://dbpedia.org/resource/Brasil"
"O'Ney","http://dbpedia.org/resource/Neymar","PPSG","http://dbpedia.org/resource/Paris_Saint-Germain_F.C.","Brasill","http://dbpedia.org/resource/Brasil"
"Niño maravilla","http://dbpedia.org/resource/Fernando_Torres","Interr","http://dbpedia.org/resource/Inter_Milan","Chilee","http://dbpedia.org/resource/Chile"
"Le petit diable","http://dbpedia.org/resource/Antoine_Griezmann","Barceelona","http://dbpedia.org/resource/FC_Barcelona","Francee","http://dbpedia.org/resource/France"
"Pocho","http://dbpedia.org/resource/Ezequiel_Lavezzi","Hebei China Fortunee","http://dbpedia.org/resource/Hebei_China_Fortune_F.C.","Argentina","http://dbpedia.org/resource/Argentina"
"Matador","http://dbpedia.org/resource/Edinson_Cavani","PSGG","http://dbpedia.org/resource/Paris_Saint-Germain_F.C.","Uruguayy","http://dbpedia.org/resource/Uruguay"
