"Bank Name","Bank Name__URI","City","City__URI","ST","ST__URI","CERT","Acquiring Institution","Acquiring Institution__URI","Closing Date"
"Bank of Honolulu","","Honolulu","http://dbpedia.org/resource/Honolulu,_HI","HI","http://dbpedia.org/resource/Hawaii","21029","Bank of the Orient","","13-Oct-00"
"National State Bank of Metropolis","","Metropolis","http://dbpedia.org/resource/Metropolis,_IL","IL","http://dbpedia.org/resource/Illinois","3815","Banterra Bank of Marion","","14-Dec-00"
"First Alliance Bank & Trust Co.","","Manchester","http://dbpedia.org/resource/Manchester,_NH","NH","http://dbpedia.org/resource/New_Hampshire","34264","Southern New Hampshire Bank & Trust","","2-Feb-01"
"Malta National Bank","","Malta","http://dbpedia.org/resource/Malta,_OH","OH","http://dbpedia.org/resource/Ohio","6629","North Valley Bank","","3-May-01"
"Superior Bank, FSB","http://dbpedia.org/resource/Superior_Bancorp","Hinsdale","http://dbpedia.org/resource/Hinsdale,_IL","IL","http://dbpedia.org/resource/Illinois","32646","Superior Federal, FSB","","27-Jul-01"
"Sinclair National Bank","","Gravette","http://dbpedia.org/resource/Gravette,_AR","AR","http://dbpedia.org/resource/Arkansas","34248","Delta Trust & Bank","","7-Sep-01"
"Hamilton Bank, NA","","Miami","http://dbpedia.org/resource/Miami,_FL","FL","http://dbpedia.org/resource/Florida","24382","Israel Discount Bank of New York","","11-Jan-02"
"Bank of Sierra Blanca","","Sierra Blanca","http://dbpedia.org/resource/Sierra_Blanca,_TX","TX","http://dbpedia.org/resource/Texas","22002","The Security State Bank of Pecos","","18-Jan-02"
"Oakwood Deposit Bank Co.","","Oakwood","","OH","http://dbpedia.org/resource/Ohio","8966","The State Bank & Trust Company","","1-Feb-02"
"NextBank, NA","","Phoenix","http://dbpedia.org/resource/Phoenix,_AZ","AZ","http://dbpedia.org/resource/Arizona","22314","","","7-Feb-02"
"Net 1st National Bank","","Boca Raton","http://dbpedia.org/resource/Boca_Raton,_FL","FL","http://dbpedia.org/resource/Florida","26652","Bank Leumi USA","http://dbpedia.org/resource/Bank_Leumi_USA","1-Mar-02"
"New Century Bank","","Shelby Township","http://dbpedia.org/resource/Shelby_Township,_MI","MI","http://dbpedia.org/resource/Michigan","34979","","","28-Mar-02"
"Connecticut Bank of Commerce","","Stamford","http://dbpedia.org/resource/Stamford,_CT","CT","http://dbpedia.org/resource/Connecticut","19183","Hudson United Bank","","26-Jun-02"
"Universal Federal Savings Bank","","Chicago","http://dbpedia.org/resource/Chicago,_IL","IL","http://dbpedia.org/resource/Illinois","29355","Chicago Community Bank","http://dbpedia.org/resource/Chicago_Community_Bank","27-Jun-02"
"AmTrade International Bank","","Atlanta","http://dbpedia.org/resource/Atlanta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","33784","","","30-Sep-02"
