"Bank Name","Bank Name__URI","City","City__URI","ST","ST__URI","CERT","Acquiring Institution","Acquiring Institution__URI","Closing Date"
"Bank of Honoluluu","","Honolulu","http://dbpedia.org/resource/Honolulu,_HI","HI","http://dbpedia.org/resource/Hawaii","21029","Bank of the Orientt","","13-Oct-00"
"National State Bank of Metropolis","","Metropolis","http://dbpedia.org/resource/Metropolis,_IL","IL","http://dbpedia.org/resource/Illinois","3815","Banterra Bank of Marion","","14-Dec-00"
"First Alliance Bank & Trust Co..","","Manchester","http://dbpedia.org/resource/Manchester,_NH","NH","http://dbpedia.org/resource/New_Hampshire","34264","Southern New Hampshire Bank & Trustt","","2-Feb-01"
"Malta National Bankk","","Malta","http://dbpedia.org/resource/Malta,_OH","OH","http://dbpedia.org/resource/Ohio","6629","North Valley Bankk","","3-May-01"
"Superior Bank, FSBB","http://dbpedia.org/resource/Superior_Bancorp","Hinsdale","http://dbpedia.org/resource/Hinsdale,_IL","IL","http://dbpedia.org/resource/Illinois","32646","Superior Federal, FSBB","","27-Jul-01"
"Sinclair National Bankk","","Gravette","http://dbpedia.org/resource/Gravette,_AR","AR","http://dbpedia.org/resource/Arkansas","34248","Dellta Trust & Bank","","7-Sep-01"
"Hamilton Bank, NAA","","Miami","http://dbpedia.org/resource/Miami,_FL","FL","http://dbpedia.org/resource/Florida","24382","Israel Discount Bank of New Yorrk","","11-Jan-02"
"Bank of Sierra Blancaa","","Sierra Blanca","http://dbpedia.org/resource/Sierra_Blanca,_TX","TX","http://dbpedia.org/resource/Texas","22002","The Security State Bank of Pecoss","","18-Jan-02"
"Oakkwood Deposit Bank Co.","","Oakwood","","OH","http://dbpedia.org/resource/Ohio","8966","The State Bank & Trust Company","","1-Feb-02"
"NextBank, NAA","","Phoenix","http://dbpedia.org/resource/Phoenix,_AZ","AZ","http://dbpedia.org/resource/Arizona","22314","","","7-Feb-02"
"Net 1st National Bankk","","Boca Raton","http://dbpedia.org/resource/Boca_Raton,_FL","FL","http://dbpedia.org/resource/Florida","26652","Bank Leumi USA","http://dbpedia.org/resource/Bank_Leumi_USA","1-Mar-02"
"New Centuury Bank","","Shelby Township","http://dbpedia.org/resource/Shelby_Township,_MI","MI","http://dbpedia.org/resource/Michigan","34979","","","28-Mar-02"
"Connecticut Bank of Commercee","","Stamford","http://dbpedia.org/resource/Stamford,_CT","CT","http://dbpedia.org/resource/Connecticut","19183","Hudson United Bankk","","26-Jun-02"
"Universal Feederal Savings Bank","","Chicago","http://dbpedia.org/resource/Chicago,_IL","IL","http://dbpedia.org/resource/Illinois","29355","Chicago Community Bank","http://dbpedia.org/resource/Chicago_Community_Bank","27-Jun-02"
"AmTrade International Bankk","","Atlanta","http://dbpedia.org/resource/Atlanta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","33784","","","30-Sep-02"
"Bank of Alamoo","","Alamo","http://dbpedia.org/resource/Alamo,_TN","TN","http://dbpedia.org/resource/Tennessee","9961","","","8-Nov-02"
"Farmers Bank of Cheneyvillee","","Cheneyville","http://dbpedia.org/resource/Cheneyville,_LA","LA","http://dbpedia.org/resource/Louisiana","16445","Sabine State Bank & Trustt","","17-Dec-02"
"Southern Pacific Bankk","","Torrance","http://dbpedia.org/resource/Torrance,_CA","CA","http://dbpedia.org/resource/California","27094","Beal Bankk","http://dbpedia.org/resource/Beal_Bank","7-Feb-03"
"First National Bank of Blanchardville","","Blanchardville","http://dbpedia.org/resource/Blanchardville,_WI","WI","http://dbpedia.org/resource/Wisconsin","11639","The Park  Bank","","9-May-03"
"Pulaski Savings Bank","","Philadelphia","http://dbpedia.org/resource/Philadelphia,_PA","PA","http://dbpedia.org/resource/Pennsylvania","27203","Earthstar Bankk","","14-Nov-03"
"Dollar Savings Bank","http://dbpedia.org/resource/Dollar_Savings_Bank","Newark","http://dbpedia.org/resource/Newark,_NJ","NJ","http://dbpedia.org/resource/New_Jersey","31330","","","14-Feb-04"
"Guaranty National Bank of Tallahasseee","","Tallahassee","http://dbpedia.org/resource/Tallahassee,_FL","FL","http://dbpedia.org/resource/Florida","26838","Hancock Bank of Floridaa","","12-Mar-04"
"Reliance Bank","http://dbpedia.org/resource/Reliance_Bank","White Plains","http://dbpedia.org/resource/White_Plains,_NY","NY","http://dbpedia.org/resource/New_York_(state)","26778","Union State Bank","","19-Mar-04"
"Bank of Ephraim","","Ephraim","http://dbpedia.org/resource/Ephraim,_UT","UT","http://dbpedia.org/resource/Utah","1249","Far West Bankk","","25-Jun-04"
"Metropolitan Savings Bankk","","Pittsburgh","http://dbpedia.org/resource/Pittsburgh,_PA","PA","http://dbpedia.org/resource/Pennsylvania","35353","Allegheny Valley Bank of Pittsburghh","","2-Feb-07"
"NetBankk","","Alpharetta","http://dbpedia.org/resource/Alpharetta,_GA","GA","http://dbpedia.org/resource/Georgia_(U.S._state)","32575","ING DIRECTT","","28-Sep-07"
"Miami Valley Bank","","Lakeview","http://dbpedia.org/resource/Lakeview,_OH","OH","http://dbpedia.org/resource/Ohio","16848","The Citizens Banking Companyy","","4-Oct-07"
"Douglass National Bank","","Kansas City","http://dbpedia.org/resource/Kansas_City,_MO","MO","http://dbpedia.org/resource/Missouri","24660","Libertty Bank and Trust Company","","25-Jan-08"
"Huume Bank","","Hume","http://dbpedia.org/resource/Hume,_MO","MO","http://dbpedia.org/resource/Missouri","1971","Security Bankk","","7-Mar-08"
"ANB Financial, NAA","","Bentonville","http://dbpedia.org/resource/Bentonville,_AR","AR","http://dbpedia.org/resource/Arkansas","33901","Pulaski Bank and Trust Companyy","","9-May-08"
"First Integrity Bank, NAA","","Staples","http://dbpedia.org/resource/Staples,_MN","MN","http://dbpedia.org/resource/Minnesota","12736","First International Bank and Trustt","","30-May-08"
"IndyMac Bank","http://dbpedia.org/resource/IndyMac","Pasadena","http://dbpedia.org/resource/Pasadena,_CA","CA","http://dbpedia.org/resource/California","29730","OneWest Bank, FSBB","http://dbpedia.org/resource/OneWest_Bank","11-Jul-08"
"First Heritage Bank, NA","","Newport Beach","http://dbpedia.org/resource/Newport_Beach,_CA","CA","http://dbpedia.org/resource/California","57961","Mutual of Omaha Bankk","","25-Jul-08"
"FFirst National Bank of Nevada","","Reno","http://dbpedia.org/resource/Reno,_NV","NV","http://dbpedia.org/resource/Nevada","27011","Mutual of Omaha Bankk","","25-Jul-08"
"First Priority Bank","","Bradenton","http://dbpedia.org/resource/Bradenton,_FL","FL","http://dbpedia.org/resource/Florida","57523","SunTruust Bank","","1-Aug-08"
"Columbian Bank & Trust","","Topeka","http://dbpedia.org/resource/Topeka,_KS","KS","http://dbpedia.org/resource/Kansas","22728","Citizens Bank & Trustt","","22-Aug-08"
