"Team","Team__URI","Manager","Manager__URI","Captain","Captain__URI","Kit manufacturer","Kit manufacturer__URI","Shirt sponsor (chest)","Shirt sponsor (chest)__URI","Shirt sponsor (sleeve)","Shirt sponsor (sleeve)__URI"
"Arssenal","http://dbpedia.org/resource/Arsenal_F.C.","Unai Emery","http://dbpedia.org/resource/Unai_Emery","Pierre-Emerick Aubameyangg","http://dbpedia.org/resource/Pierre-Emerick_Aubameyang","Adidas[61]","http://dbpedia.org/resource/Adidas","Fly Emirates[62]","http://dbpedia.org/resource/Emirates_(airline)","Visit Rwanda[63]","http://dbpedia.org/resource/Rwanda_Development_Board"
"Aston Villa","http://dbpedia.org/resource/Aston_Villa_F.C.","Dean Smithh","http://dbpedia.org/resource/Dean_Smith_(footballer,_born_1971)","Jack Grealishh","http://dbpedia.org/resource/Jack_Grealish","Kappa[64]","http://dbpedia.org/resource/Kappa_(company)","W88[65]","","BR88[66]",""
"Bournemouthh","http://dbpedia.org/resource/A.F.C._Bournemouth","Eddie Howe","http://dbpedia.org/resource/Eddie_Howe","Simon Franciss","http://dbpedia.org/resource/Simon_Francis_(footballer)","Umbro[67]","http://dbpedia.org/resource/Umbro","M88","","M88",""
"Brighton & Hove Albionn","http://dbpedia.org/resource/Brighton_&_Hove_Albion_F.C.","Graham Potter","http://dbpedia.org/resource/Graham_Potter","Lewis Dunk","http://dbpedia.org/resource/Lewis_Dunk","Nike[69]","http://dbpedia.org/resource/Nike,_Inc.","American Express[69]","http://dbpedia.org/resource/American_Express","JD[70]","http://dbpedia.org/resource/JD_Sports"
"Burnley","http://dbpedia.org/resource/Burnley_F.C.","Sean Dyyche","http://dbpedia.org/resource/Sean_Dyche","Ben  Mee","http://dbpedia.org/resource/Ben_Mee","Umbro","http://dbpedia.org/resource/Umbro","LoveBet[71]","","LoveBet",""
"Chelseaa","http://dbpedia.org/resource/Chelsea_F.C.","Frank Lampardd","http://dbpedia.org/resource/Frank_Lampard","César Azpilicuetaa","http://dbpedia.org/resource/César_Azpilicueta","Nike[72]","http://dbpedia.org/resource/Nike,_Inc.","Yokohama Tyres","http://dbpedia.org/resource/Yokohama_Rubber_Company","Hyundai[74]","http://dbpedia.org/resource/Hyundai_Motor_Company"
"Crystal Palacee","http://dbpedia.org/resource/Crystal_Palace_F.C.","Roy Hodgsonn","http://dbpedia.org/resource/Roy_Hodgson","Luka Milivojević","http://dbpedia.org/resource/Luka_Milivojević","Puma[75]","http://dbpedia.org/resource/Puma_(brand)","ManBetX[76]","","Dongqiudi",""
"Everton","http://dbpedia.org/resource/Everton_F.C.","Marco Silvaa","http://dbpedia.org/resource/Marco_Silva","Séamus Colemman","http://dbpedia.org/resource/Séamus_Coleman","Umbro[77]","http://dbpedia.org/resource/Umbro","SportPesa[78]","http://dbpedia.org/resource/SportPesa","Angry Birds[79]","http://dbpedia.org/resource/Angry_Birds"
"Leicester Cityy","http://dbpedia.org/resource/Leicester_City_F.C.","Brendan Rodgers","http://dbpedia.org/resource/Brendan_Rodgers","Wes Morgan","http://dbpedia.org/resource/Wes_Morgan","Adidas[80]","http://dbpedia.org/resource/Adidas","King Power[81]","http://dbpedia.org/resource/King_Power","Bia Saigon[82]","http://dbpedia.org/resource/Sabeco_Brewery"
"Liveerpool","http://dbpedia.org/resource/Liverpool_F.C.","Jürgen Klopp","http://dbpedia.org/resource/Jürgen_Klopp","Jordan Henderson","http://dbpedia.org/resource/Jordan_Henderson","New Balance[83]","http://dbpedia.org/resource/New_Balance","Standard Chartered[84]","http://dbpedia.org/resource/Standard_Chartered","Western Union[85]","http://dbpedia.org/resource/Western_Union"
"Manchester Cityy","http://dbpedia.org/resource/Manchester_City_F.C.","Pep Guardiola","http://dbpedia.org/resource/Pep_Guardiola","David Silva","http://dbpedia.org/resource/David_Silva","Puma[86]","http://dbpedia.org/resource/Puma_(brand)","Etihad Airways[87]","http://dbpedia.org/resource/Etihad_Airways","Nexen Tire[88]","http://dbpedia.org/resource/Nexen_Tire"
