"Artist","Artist__URI","Country / Market","Country / Market__URI","Period active","Release year of first charted record","Genre","Genre__URI","Total certified units (from available markets)","Claimed sales (replaced with mean)"
"The Beatles","http://dbpedia.org/resource/The_Beatles","United Kingdommmm","http://dbpedia.org/resource/United_Kingdom","1960–1970[10]","1962[10]","Rock[10]","http://dbpedia.org/resource/Rock_music","Total available certified units: 278.4 million","550 million"
"The Beatles","http://dbpedia.org/resource/The_Beatles","United Kingdom","http://dbpedia.org/resource/United_Kingdom","1960–1970[10]","1962[10]","Pop[10]","http://dbpedia.org/resource/Pop_music","Total available certified units: 278.4 million","550 million"
"Elvis Presley","http://dbpedia.org/resource/Elvis_Presley","United SStatesss","http://dbpedia.org/resource/United_States","1954–1977[41]","1954[41]","Rock and roll[41]","http://dbpedia.org/resource/Rock_and_roll","Total available certified units: 225.2 million","550 million"
"Elvis Presley","http://dbpedia.org/resource/Elvis_Presley","United SStatesss","http://dbpedia.org/resource/United_States","1954–1977[41]","1954[41]","Pop[41]","http://dbpedia.org/resource/Pop_music","Total available certified units: 225.2 million","550 million"
"Elvis Presley","http://dbpedia.org/resource/Elvis_Presley","United Statess","http://dbpedia.org/resource/United_States","1954–1977[41]","1954[41]","Country[41]","http://dbpedia.org/resource/Country_music","Total available certified units: 225.2 million","550 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Stattes","http://dbpedia.org/resource/United_States","1964–2009[53]","1971[53]","Pop[53]","http://dbpedia.org/resource/Pop_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Statess","http://dbpedia.org/resource/United_States","1964–2009[53]","1971[53]","Rock[53]","http://dbpedia.org/resource/Rock_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","Unnited  States","http://dbpedia.org/resource/United_States","1964–2009[53]","1971[53]","Dance[53]","http://dbpedia.org/resource/Dance_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United Statesss","http://dbpedia.org/resource/United_States","1964–2009[53]","1971[53]","Soul[53]","http://dbpedia.org/resource/Soul_music","Total available certified units: 231.8 million","325 million"
"Michael Jackson","http://dbpedia.org/resource/Michael_Jackson","United States","http://dbpedia.org/resource/United_States","1964–2009[53]","1971[53]","R&B[53]","http://dbpedia.org/resource/Rhythm_and_blues","Total available certified units: 231.8 million","325 million"
"Elton John","http://dbpedia.org/resource/Elton_John","Uniteed Kingdomm","http://dbpedia.org/resource/United_Kingdom","1964–present[67]","1969[67]","Pop[67]","http://dbpedia.org/resource/Pop_music","Total available certified units: 186.3 million","275 million"
"Elton John","http://dbpedia.org/resource/Elton_John","Unniited Kingdom","http://dbpedia.org/resource/United_Kingdom","1964–present[67]","1969[67]","Rock[67]","http://dbpedia.org/resource/Rock_music","Total available certified units: 186.3 million","275 million"
"Madonna","http://dbpedia.org/resource/Madonna_(entertainer)","United Statesss","http://dbpedia.org/resource/United_States","1979–present[74]","1982[74]","Pop[74]","http://dbpedia.org/resource/Pop_music","Total available certified units: 173.6 million","287.5 million"
"Madonna","http://dbpedia.org/resource/Madonna_(entertainer)","United Statess","http://dbpedia.org/resource/United_States","1979–present[74]","1982[74]","Dance[74]","http://dbpedia.org/resource/Dance_music","Total available certified units: 173.6 million","287.5 million"
"Madonna","http://dbpedia.org/resource/Madonna_(entertainer)","Unnited Statess","http://dbpedia.org/resource/United_States","1979–present[74]","1982[74]","Electronica[74]","http://dbpedia.org/resource/Electronica_music","Total available certified units: 173.6 million","287.5 million"
"Led Zeppelin","http://dbpedia.org/resource/Led_Zeppelin","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1968–1980[83]","1969[83]","Hard rock[83]","http://dbpedia.org/resource/Hard_rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","http://dbpedia.org/resource/Led_Zeppelin","United Kingdom","http://dbpedia.org/resource/United_Kingdom","1968–1980[83]","1969[83]","Blues rock[83]","http://dbpedia.org/resource/Blues_rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","http://dbpedia.org/resource/Led_Zeppelin","United Kingdom","http://dbpedia.org/resource/United_Kingdom","1968–1980[83]","1969[83]","Folk rock[83]","http://dbpedia.org/resource/Folk_rock","Total available certified units: 140.2 million","250 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbadoss","http://dbpedia.org/resource/Barbados","2005–present[91]","2005[91]","R&B[91]","http://dbpedia.org/resource/Rhythm_and_blues","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Baarbadosss","http://dbpedia.org/resource/Barbados","2005–present[91]","2005[91]","Pop[91]","http://dbpedia.org/resource/Pop_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbadoosss","http://dbpedia.org/resource/Barbados","2005–present[91]","2005[91]","Dance[91]","http://dbpedia.org/resource/Dance_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","Barbadosss","http://dbpedia.org/resource/Barbados","2005–present[91]","2005[91]","Hip-hop[91]","http://dbpedia.org/resource/Hip_hop_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United States","http://dbpedia.org/resource/United_States","2005–present[91]","2005[91]","R&B[91]","http://dbpedia.org/resource/Rhythm_and_blues","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United Statesss","http://dbpedia.org/resource/United_States","2005–present[91]","2005[91]","Pop[91]","http://dbpedia.org/resource/Pop_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United Statess","http://dbpedia.org/resource/United_States","2005–present[91]","2005[91]","Dance[91]","http://dbpedia.org/resource/Dance_music","Total available certified units: 272.2 million","240 million"
"Rihanna","http://dbpedia.org/resource/Rihanna","United Stattess","http://dbpedia.org/resource/United_States","2005–present[91]","2005[91]","Hip-hop[91]","http://dbpedia.org/resource/Hip_hop_music","Total available certified units: 272.2 million","240 million"
"Pink Floyd","http://dbpedia.org/resource/Pink_Floyd","United Kingdom","http://dbpedia.org/resource/United_Kingdom","1965–1996, 2005, 2012–2014[98][99]","1967[98]","Progressive rock[98]","http://dbpedia.org/resource/Progressive_rock","Total available certified units: 120.9 million","225 million"
"Pink Floyd","http://dbpedia.org/resource/Pink_Floyd","United Kingdomm","http://dbpedia.org/resource/United_Kingdom","1965–1996, 2005, 2012–2014[98][99]","1967[98]","Psychedelic rock[98]","http://dbpedia.org/resource/Psychedelic_music","Total available certified units: 120.9 million","225 million"
