"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI","Source"
"Abkhazia","http://dbpedia.org/resource/Abkhazia","Sukhumi","http://dbpedia.org/resource/Sukhumi","Sukhuumii","http://dbpedia.org/resource/Sukhumi","Gagra","http://dbpedia.org/resource/Gagra","[citation needed]"
"Afghanistan","http://dbpedia.org/resource/Afghanistan","Kabul","http://dbpedia.org/resource/Kabul","Kabull","http://dbpedia.org/resource/Kabul","Kandahar","http://dbpedia.org/resource/Kandahar","[citation needed]"
"Akrotiri and Dhekelia (UK)","http://dbpedia.org/resource/Akrotiri_and_Dhekelia","Episkopi Cantonment","http://dbpedia.org/resource/Episkopi_Cantonment","Episkopi Cantonmenttt","http://dbpedia.org/resource/Episkopi_Cantonment","Ayios Nikolaos","http://dbpedia.org/resource/Ayios_Nikolaos_Station","[citation needed]"
"Åland Islands (Finland)","http://dbpedia.org/resource/Åland_Islands","Mariehamn","http://dbpedia.org/resource/Mariehamn","Mariehamnnn","http://dbpedia.org/resource/Mariehamn","Jomala","http://dbpedia.org/resource/Jomala","[citation needed]"
"Albania","http://dbpedia.org/resource/Albania","Tirana","http://dbpedia.org/resource/Tirana","Tirranaa","http://dbpedia.org/resource/Tirana","Durrës","http://dbpedia.org/resource/Durrës","[1]"
"Algeria","http://dbpedia.org/resource/Algeria","Algiers","http://dbpedia.org/resource/Algiers","Algierrss","http://dbpedia.org/resource/Algiers","Oran","http://dbpedia.org/resource/Oran","[2]"
"American Samoa (US)","http://dbpedia.org/resource/American_Samoa","Pago Pago","http://dbpedia.org/resource/Pago_Pago","Tafunna","http://dbpedia.org/resource/Tafuna,_American_Samoa","Nu'uuli","http://dbpedia.org/resource/Nu'uuli,_American_Samoa","[3]"
"Andorra","http://dbpedia.org/resource/Andorra","Andorra la Vella","http://dbpedia.org/resource/Andorra_la_Vella","Andorra la Vella","http://dbpedia.org/resource/Andorra_la_Vella","Escaldes-Engordany","http://dbpedia.org/resource/Escaldes-Engordany","[4]"
"Angola","http://dbpedia.org/resource/Angola","Luanda","http://dbpedia.org/resource/Luanda","Luuandaa","http://dbpedia.org/resource/Luanda","Huambo","http://dbpedia.org/resource/Huambo","[5]"
"Anguilla (UK)","http://dbpedia.org/resource/Anguilla","The Valley","http://dbpedia.org/resource/The_Valley,_Anguilla","North Sidee","http://dbpedia.org/resource/North_Side,_Anguilla","The Valley","http://dbpedia.org/resource/The_Valley,_Anguilla","[6]"
"Antigua and Barbuda","http://dbpedia.org/resource/Antigua_and_Barbuda","St. John's","http://dbpedia.org/resource/St._John's,_Antigua_and_Barbuda","St.  John's","http://dbpedia.org/resource/St._John's,_Antigua_and_Barbuda","All Saints","http://dbpedia.org/resource/All_Saints,_Antigua_and_Barbuda","[7]"
"Argentina","http://dbpedia.org/resource/Argentina","Buenos Aires","http://dbpedia.org/resource/Buenos_Aires","Buenos Airess","http://dbpedia.org/resource/Buenos_Aires","Córdoba","http://dbpedia.org/resource/Córdoba,_Argentina","[8]"
"Armenia","http://dbpedia.org/resource/Armenia","Yerevan","http://dbpedia.org/resource/Yerevan","Yerevann","http://dbpedia.org/resource/Yerevan","Gyumri","http://dbpedia.org/resource/Gyumri","[9]"
"Artsakh","http://dbpedia.org/resource/Republic_of_Artsakh","Stepanakert","http://dbpedia.org/resource/Stepanakert","Stepanakertt","http://dbpedia.org/resource/Stepanakert","Shusha","http://dbpedia.org/resource/Shusha",""
"Aruba (Netherlands)","http://dbpedia.org/resource/Aruba","Oranjestad","http://dbpedia.org/resource/Oranjestad,_Aruba","Oranjestadd","http://dbpedia.org/resource/Oranjestad,_Aruba","Sint Nicolaas","http://dbpedia.org/resource/Sint_Nicolaas,_Aruba","[10]"
"Australia","http://dbpedia.org/resource/Australia","Canberra","http://dbpedia.org/resource/Canberra","Sydnney","http://dbpedia.org/resource/Sydney","Melbourne","http://dbpedia.org/resource/Melbourne","[11]"
"Austria","http://dbpedia.org/resource/Austria","Vienna","http://dbpedia.org/resource/Vienna","Viennna","http://dbpedia.org/resource/Vienna","Graz","http://dbpedia.org/resource/Graz","[12]"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","Baku","http://dbpedia.org/resource/Baku","Bakuu","http://dbpedia.org/resource/Baku","Ganja","http://dbpedia.org/resource/Ganja,_Azerbaijan","[13]"
"Bahamas","http://dbpedia.org/resource/The_Bahamas","Nassau","http://dbpedia.org/resource/Nassau,_Bahamas","Nassau","http://dbpedia.org/resource/Nassau,_Bahamas","Freeport","http://dbpedia.org/resource/Freeport,_Bahamas","[14]"
"Bahrain","http://dbpedia.org/resource/Bahrain","Manama","http://dbpedia.org/resource/Manama","Manamaa","http://dbpedia.org/resource/Manama","Riffa","http://dbpedia.org/resource/Riffa","[15]"
"Bangladesh","http://dbpedia.org/resource/Bangladesh","Dhaka","http://dbpedia.org/resource/Dhaka","Dhakaa","http://dbpedia.org/resource/Dhaka","Chittagong","http://dbpedia.org/resource/Chittagong","[16]"
"Barbados","http://dbpedia.org/resource/Barbados","Bridgetown","http://dbpedia.org/resource/Bridgetown","Brridgetownn","http://dbpedia.org/resource/Bridgetown","Speightstown","http://dbpedia.org/resource/Speightstown","[17]"
"Belarus","http://dbpedia.org/resource/Belarus","Minsk","http://dbpedia.org/resource/Minsk","Minskkk","http://dbpedia.org/resource/Minsk","Gomel","http://dbpedia.org/resource/Gomel","[18]"
"Belgium","http://dbpedia.org/resource/Belgium","Brussels","http://dbpedia.org/resource/Brussels","Brusselss","http://dbpedia.org/resource/Brussels","Antwerp","http://dbpedia.org/resource/Antwerp","[19]"
