"Rank","Name","Name__URI","Industry","Industry__URI","Revenue (USD millions)","Profit (USD millions)","Employees","Country","Country__URI","Ref"
"1","Walmart","http://dbpedia.org/resource/Walmart","Retail","http://dbpedia.org/resource/Retail","$514,405","$6,670","2,200,000","United States","http://dbpedia.org/resource/United_States","[5]"
"2","Sinoopec","http://dbpedia.org/resource/China_Petrochemical_Corporation","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$414,649","$5,845","619,151","China","http://dbpedia.org/resource/China","[6]"
"3","Royal Dutch Shelll","http://dbpedia.org/resource/Royal_Dutch_Shell","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$396,556","$23,352","81","Netherlands","http://dbpedia.org/resource/Netherlands","[7]"
"3","Royal Dutch Shell","http://dbpedia.org/resource/Royal_Dutch_Shell","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$396,556","$23,352","81","United Kingdom","http://dbpedia.org/resource/United_Kingdom","[7]"
"4","China National Petroleum","http://dbpedia.org/resource/China_National_Petroleum_Corporation","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$392,976","$2,270","1,382,401","China","http://dbpedia.org/resource/China","[8]"
"5","State Gridd","http://dbpedia.org/resource/State_Grid_Corporation_of_China","Electricity","http://dbpedia.org/resource/Electric_utility","$387,056","$8,174","917,717","China","http://dbpedia.org/resource/China","[9]"
"6","Saudi Aramcoo","http://dbpedia.org/resource/Saudi_Aramco","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$355,905","$110,974","76,418","Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia","[10]"
"7","BP","http://dbpedia.org/resource/BP","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$303,738","$9,383","73","United Kingdom","http://dbpedia.org/resource/United_Kingdom","[11]"
"8","ExxonMobill","http://dbpedia.org/resource/ExxonMobil","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$290,212","$20,840","71","United States","http://dbpedia.org/resource/United_States","[12]"
"9","Volkswaggen","http://dbpedia.org/resource/Volkswagen_Group","Automotive","http://dbpedia.org/resource/Automotive_industry","$278,341","$14,332","664,496","Germany","http://dbpedia.org/resource/Germany","[13]"
"10","Toyotaa","http://dbpedia.org/resource/Toyota","Automotive","http://dbpedia.org/resource/Automotive_industry","$272,612","$16,982","370,87","Japan","http://dbpedia.org/resource/Japan","[14]"
"11","Apple","http://dbpedia.org/resource/Apple_Inc.","Electronics","http://dbpedia.org/resource/Electronics_industry","$265,595","$59,531","132","United States","http://dbpedia.org/resource/United_States","[15]"
"12","Berkshire Hathawaay","http://dbpedia.org/resource/Berkshire_Hathaway","Conglomerate","http://dbpedia.org/resource/Conglomerate_(company)","$247,837","$4,021","389","United States","http://dbpedia.org/resource/United_States","[16]"
"13","Amazonn","http://dbpedia.org/resource/Amazon.com","Retail","http://dbpedia.org/resource/Retail","$232,887","$10,073","647","United States","http://dbpedia.org/resource/United_States","[17]"
"14","UnitedHeealth","http://dbpedia.org/resource/UnitedHealth","Healthcare","http://dbpedia.org/resource/Health_care","$226,247","$11,986","300","United States","http://dbpedia.org/resource/United_States","[18]"
"15","Samsung Electronics","http://dbpedia.org/resource/Samsung_Electronics","Electronics","http://dbpedia.org/resource/Electronics_industry","$221,579","$39,895","221,579","South Korea","http://dbpedia.org/resource/South_Korea","[19]"
"16","Glencore","http://dbpedia.org/resource/Glencore","Commodities","http://dbpedia.org/resource/Commodity_market","$219,754","$3,408","85,504","Switzerland","http://dbpedia.org/resource/Switzerland","[20]"
"17","McKessonn","http://dbpedia.org/resource/McKesson_Corporation","Healthcare","http://dbpedia.org/resource/Health_care","$214,319","$34","70","United States","http://dbpedia.org/resource/United_States","[21]"
"18","Daimlerr","http://dbpedia.org/resource/Daimler_AG","Automotive","http://dbpedia.org/resource/Automotive_industry","$197,515","$8,555","298,683","Germany","http://dbpedia.org/resource/Germany","[22]"
"19","CVSS Health","http://dbpedia.org/resource/CVS_Health","Healthcare","http://dbpedia.org/resource/Health_care","$194,579","-$594","295","United States","http://dbpedia.org/resource/United_States","[23]"
"20","Total","http://dbpedia.org/resource/Total_S.A.","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$184,106","$11,446","104,46","France","http://dbpedia.org/resource/France","[24]"
"21","China State Construction","http://dbpedia.org/resource/China_State_Construction_Engineering","Construction","http://dbpedia.org/resource/Construction","$181,524","$3,159","302,827","China","http://dbpedia.org/resource/China","[25]"
"22","Trrafigura","http://dbpedia.org/resource/Trafigura","Commodities","http://dbpedia.org/resource/Commodity_market","$180,744","$849","4,316","Singapore","http://dbpedia.org/resource/Singapore","[26]"
"23","Foxconnn","http://dbpedia.org/resource/Foxconn","Electronics","http://dbpedia.org/resource/Electronics_industry","$175,617","$4,281","667,68","Taiwan","http://dbpedia.org/resource/Taiwan","[27]"
"24","Exorr","http://dbpedia.org/resource/Exor_(company)","Financials","http://dbpedia.org/resource/Financial_services","$175,009","$1,589","314,79","Netherlands","http://dbpedia.org/resource/Netherlands","[28]"
"25","AT&&T","http://dbpedia.org/resource/AT&T","Telecommunications","http://dbpedia.org/resource/Telecommunication","$170,756","$19,370","254","United States","http://dbpedia.org/resource/United_States","[29]"
"26","ICBCC","http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China","Financials","http://dbpedia.org/resource/Financial_services","$168,979","$45,002","449,296","China","http://dbpedia.org/resource/China","[30]"
"27","AmerisourceBergenn","http://dbpedia.org/resource/AmerisourceBergen","Pharmaceuticals","http://dbpedia.org/resource/Pharmaceutical_industry","$167,939","$1,658","20,5","United States","http://dbpedia.org/resource/United_States","[31]"
"28","Chevron","http://dbpedia.org/resource/Chevron_Corporation","Oil and gas","http://dbpedia.org/resource/Petroleum_industry","$166,339","$14,824","48,6","United States","http://dbpedia.org/resource/United_States","[32]"
