"Realm / Kingdom","Realm / Kingdom__URI","Monarch","Monarch__URI","Since","Length","House","House__URI","Type","Type__URI","Heir apparent","Heir apparent__URI","Ref(s)"
"Principality of Andorraa","http://dbpedia.org/resource/Andorra","Co-Prince Emmanuel Macron[fn 1] (b. 1977)","http://dbpedia.org/resource/Emmanuel_Macron","14 May 2017","2 years, 204 days","","","Constitutional","","Ex officio","http://dbpedia.org/resource/Paréage_of_Andorra_1278","[13][14]"
"Principality of Andorraa","http://dbpedia.org/resource/Andorra","Co-Prince Archbishop Joan Enric Vives i Sicília[fn 1](b. 1949)","http://dbpedia.org/resource/Joan_Enric_Vives_Sicília","12 May 2003","16 years, 206 days","","","Constitutional","","Ex officio","http://dbpedia.org/resource/Paréage_of_Andorra_1278","[13][14]"
"Antigua and Barbudaa","http://dbpedia.org/resource/Antigua_and_Barbuda","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","1 November 1981[fn 3]","38 years, 33 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Antigua_and_Barbuda","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][16]"
"Commonwealth of Australiaa","http://dbpedia.org/resource/Australia","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Australia","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][17]"
"Commonwealth of the Bahamass","http://dbpedia.org/resource/The_Bahamas","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","10 July 1973[fn 3]","46 years, 147 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_the_Bahamas","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][18]"
"Barbadoss","http://dbpedia.org/resource/Barbados","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","30 November 1966[fn 3]","53 years, 4 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Barbados","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales",""
"Belizee","http://dbpedia.org/resource/Belize","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","21 September 1981[fn 3]","38 years, 74 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Belize","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][19]"
"Canada","http://dbpedia.org/resource/Canada","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Canada","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][20]"
"Grenada","http://dbpedia.org/resource/Grenada","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","7 February 1974[fn 3]","45 years, 300 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Grenada","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][21]"
"Jamaicca","http://dbpedia.org/resource/Jamaica","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","6 August 1962[fn 3]","57 years, 120 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Jamaica","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][22]"
"New Zealand","http://dbpedia.org/resource/Realm_of_New_Zealand","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","6 February 1952","67 years, 301 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_New_Zealand","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][23]"
"Independent State of Papua New Guineaa","http://dbpedia.org/resource/Papua_New_Guinea","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","16 September 1975[fn 5]","44 years, 79 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Papua_New_Guinea","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][24]"
"Federation of Saint Kitts annd Nevis","http://dbpedia.org/resource/Saint_Kitts_and_Nevis","Queen Elizabeth II[fn 2](b. 1926)","http://dbpedia.org/resource/Elizabeth_II","19 September 1983[fn 3]","36 years, 76 days","Windsor[fn 4]","http://dbpedia.org/resource/House_of_Windsor","Constitutional","http://dbpedia.org/resource/Monarchy_of_Saint_Kitts_and_Nevis","Charles, Prince of Wales","http://dbpedia.org/resource/Charles,_Prince_of_Wales","[15][25]"
