"Rank","Name","Name__URI","Countries with shoreline","Countries with shoreline__URI","Area","Length","Maximum depth","Water volume","Notes"
"1","Caspian Sea*[n 1].","http://dbpedia.org/resource/Caspian_Sea","Kazakhstan","http://dbpedia.org/resource/Kazakhstan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)","Despite its name, it is often regarded as the world's largest lake, though it contains an oceanic basin (contiguous with the world ocean until 11 million years ago) rather than being entirely over continental crust.[4][5][6][7][8]"
"1","Caspian Sea*[n 1].","http://dbpedia.org/resource/Caspian_Sea","Russia","http://dbpedia.org/resource/Russia","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)","Despite its name, it is often regarded as the world's largest lake, though it contains an oceanic basin (contiguous with the world ocean until 11 million years ago) rather than being entirely over continental crust.[4][5][6][7][8]"
"1","Caspian Sea*[n 1].","http://dbpedia.org/resource/Caspian_Sea","Turkmenistan","http://dbpedia.org/resource/Turkmenistan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)","Despite its name, it is often regarded as the world's largest lake, though it contains an oceanic basin (contiguous with the world ocean until 11 million years ago) rather than being entirely over continental crust.[4][5][6][7][8]"
"1","Caspian Sea*[n 1].","http://dbpedia.org/resource/Caspian_Sea","Azerbaijan","http://dbpedia.org/resource/Azerbaijan","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)","Despite its name, it is often regarded as the world's largest lake, though it contains an oceanic basin (contiguous with the world ocean until 11 million years ago) rather than being entirely over continental crust.[4][5][6][7][8]"
"1","Caspian Sea*[n 1].","http://dbpedia.org/resource/Caspian_Sea","Iran","http://dbpedia.org/resource/Iran","371,000 km2 (143,000 sq mi)","1,199 km (745 mi)","1,025 m (3,363 ft)","78,200 km3 (18,800 cu mi)","Despite its name, it is often regarded as the world's largest lake, though it contains an oceanic basin (contiguous with the world ocean until 11 million years ago) rather than being entirely over continental crust.[4][5][6][7][8]"
"2","Superior","http://dbpedia.org/resource/Lake_Superior","Canada","http://dbpedia.org/resource/Canada","82,100 km2 (31,700 sq mi)","616 km (383 mi)","406.3 m (1,333 ft)","12,100 km3 (2,900 cu mi)","Largest of the Great Lakes by volume, having more water than the other four combined.[10] The largest freshwater lake in the world by surface area.[11]"
"2","Superior","http://dbpedia.org/resource/Lake_Superior","United States","http://dbpedia.org/resource/United_States","82,100 km2 (31,700 sq mi)","616 km (383 mi)","406.3 m (1,333 ft)","12,100 km3 (2,900 cu mi)","Largest of the Great Lakes by volume, having more water than the other four combined.[10] The largest freshwater lake in the world by surface area.[11]"
"3","Victoria","http://dbpedia.org/resource/Lake_Victoria","Uganda","http://dbpedia.org/resource/Uganda","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)","The largest lake by area in Africa.[12]"
"3","Victoria","http://dbpedia.org/resource/Lake_Victoria","Kenya","http://dbpedia.org/resource/Kenya","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)","The largest lake by area in Africa.[12]"
"3","Victoria","http://dbpedia.org/resource/Lake_Victoria","Tanzania","http://dbpedia.org/resource/Tanzania","68,870 km2 (26,590 sq mi)","322 km (200 mi)","84 m (276 ft)","2,750 km3 (660 cu mi)","The largest lake by area in Africa.[12]"
"4","Huron[n 2]","http://dbpedia.org/resource/Lake_Huron","Canada","http://dbpedia.org/resource/Canada","59,600 km2 (23,000 sq mi)","332 km (206 mi)","229 m (751 ft)","3,540 km3 (850 cu mi)","Contains Manitoulin Island, the world's largest lake island.[18]"
