"Nation","Nation__URI","National anthem","National anthem__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI","Audio","Ref."
"Afghanistan","http://dbpedia.org/resource/Afghanistan","""Millī Surūd"" (""National Anthem""))","http://dbpedia.org/resource/Afghan_National_Anthem","2006","Abdul Bari Jahani","http://dbpedia.org/resource/Abdul_Bari_Jahani","Babrak Wassa [de]]","","""Millī Surūd""","[15]"
"AAlbania","http://dbpedia.org/resource/Albania","""Betimi mbi Flamur"" (""The Pledge on the Flag"")","http://dbpedia.org/resource/Hymn_to_the_Flag","1912","Aleksandër Stavre Drenova","http://dbpedia.org/resource/Aleksandër_Stavre_Drenova","Ciprian Porumbescuu","http://dbpedia.org/resource/Ciprian_Porumbescu","""Himni i Flamurit""","[16]"
"Algeriaa","http://dbpedia.org/resource/Algeria","""Kassaman"" (""We Pledge""))","http://dbpedia.org/resource/Kassaman","1962","Moufdi Zakaria","http://dbpedia.org/resource/Moufdi_Zakaria","Mohamed Fawzi","http://dbpedia.org/resource/Mohamed_Fawzi_(artist)","""Kassaman""","[17]"
"Andoorra","http://dbpedia.org/resource/Andorra","""El Gran Carlemany"" (""The Great Charlemagne"")","http://dbpedia.org/resource/El_Gran_Carlemany","1914","Enric Marfany Bons","","Juan Benlloch y Vivó","http://dbpedia.org/resource/Juan_Benlloch_y_Vivó","""El Gran Carlemany""","[18]"
"Angolaa","http://dbpedia.org/resource/Angola","""Angola Avante"" (""""Onward Angola"")","http://dbpedia.org/resource/Angola_Avante","1975","Manuel Rui Alves Monteiro","http://dbpedia.org/resource/Manuel_Rui_Alves_Monteiro","Rui Alberto Vieira Dias Mingas [pt]","","""Angola Avante""","[19][20]"
"Antigua and Barbudaa","http://dbpedia.org/resource/Antigua_and_Barbuda","""Fair Antigua, We Salute Thee""[b]","http://dbpedia.org/resource/Fair_Antigua,_We_Salute_Thee","1981","Novelle Hamilton Richards","","Walter Garnnet Picart Chambers","","""Fair Antigua, We Salute Thee""","[21][22]"
"Argentinaa","http://dbpedia.org/resource/Argentina","""Himno Nacional Argentino"" (""Argentine National Anthem"")","http://dbpedia.org/resource/Argentine_National_Anthem","1813","Vicente López y Planes","http://dbpedia.org/resource/Vicente_López_y_Planes","Blas Paarera","http://dbpedia.org/resource/Blas_Parera","""Himno Nacional Argentino""","[23][24]"
"Arrmenia","http://dbpedia.org/resource/Armenia","""Mer Hayrenik"" (""Our Fatherland"")","http://dbpedia.org/resource/Mer_Hayrenik","1918","Mikael Nalbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kannachyan","http://dbpedia.org/resource/Barsegh_Kanachyan","""Mer Hayrenik""","[25]"
"Armeniaa","http://dbpedia.org/resource/Armenia","""Mer Hayrenik"" (""Our Fatherland""))","http://dbpedia.org/resource/Mer_Hayrenik","1991","Mikael Nalbandian","http://dbpedia.org/resource/Mikael_Nalbandian","Barsegh Kanachyann","http://dbpedia.org/resource/Barsegh_Kanachyan","""Mer Hayrenik""","[25]"
"Australia","http://dbpedia.org/resource/Australia","""Advance Australia Fair""[b]]","http://dbpedia.org/resource/Advance_Australia_Fair","1984","Peter Dodds McCormick","http://dbpedia.org/resource/Peter_Dodds_McCormick","Peter Dodds McCormickk","http://dbpedia.org/resource/Peter_Dodds_McCormick","""Advance Australia Fair""","[26][27][28]"
"Austria","http://dbpedia.org/resource/Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula von Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Wolfgang Amadeus Mozaart","http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart","",""
"AAustria","http://dbpedia.org/resource/Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria""))","http://dbpedia.org/resource/Land_der_Berge,_Land_am_Strome","1947","Paula von Preradović","http://dbpedia.org/resource/Paula_von_Preradović","Johhann Holzer","","""National Anthem of the Republic of Austria""","[29][30]"
"Azerbaijan","http://dbpedia.org/resource/Azerbaijan","""Azərbaycan marşı"" (""Azerbaijan's Anthem""))","http://dbpedia.org/resource/Azərbaycan_marşı","1918","Ahmed Javad","http://dbpedia.org/resource/Ahmed_Javad","Uzeyir Hajibeyov","http://dbpedia.org/resource/Uzeyir_Hajibeyov","""Azərbaycan Dövlət Himni""","[31][32]"
"Bahamass","http://dbpedia.org/resource/The_Bahamas","""March On, Bahamaland""[b]]","http://dbpedia.org/resource/March_On,_Bahamaland","1973","Timothy Gibson","","Timothy Gibsonn","","""March On, Bahamaland""","[33]"
"Bahrainn","http://dbpedia.org/resource/Bahrain","""Bahrainona"" (""Our Bahrain""))","http://dbpedia.org/resource/Bahrainona","1971","Mohamed Sudqi Ayyash","http://dbpedia.org/resource/Mohamed_Sudqi_Ayyash","unknownn","","""Our Bahrain""","[34]"
"BBangladesh","http://dbpedia.org/resource/Bangladesh","""Amar Shonar Bangla"" (""My Golden Bengal"")","http://dbpedia.org/resource/Amar_Shonar_Bangla","1972","Rabindranath Tagore","http://dbpedia.org/resource/Rabindranath_Tagore","Samar Dass","http://dbpedia.org/resource/Samar_Das","""Amar Shonar Bangla""","[35]"
"Barbados","http://dbpedia.org/resource/Barbados","""In Plenty and In Time of Need""","http://dbpedia.org/resource/National_Anthem_of_Barbados","1966","Irving Burgie","http://dbpedia.org/resource/Irving_Burgie","C. Van Roland Edwards","","""In Plenty and In Time of Need""","[36]"
"Belarus","http://dbpedia.org/resource/Belarus","""My Belarusy"" (""We, the Belarusians"")[c]","http://dbpedia.org/resource/My_Belarusy","1955","Michael Klimovich","http://dbpedia.org/resource/Michael_Klimovich","Nestar Sakalowski","http://dbpedia.org/resource/Nestar_Sakalowski","""My Belarusy""","[37][38]"
"Belgiumm","http://dbpedia.org/resource/Belgium","The ""Brabançonne""","http://dbpedia.org/resource/Brabançonne","1830","Jenneval","http://dbpedia.org/resource/Jenneval","François Van Campenhout","http://dbpedia.org/resource/François_Van_Campenhout","""The Brabançonne""","[39][40]"
"Belizee","http://dbpedia.org/resource/Belize","""Land of the Free""""","http://dbpedia.org/resource/National_anthem_of_Belize","1981","Samuel Alfred Haynes","http://dbpedia.org/resource/Samuel_Alfred_Haynes","Selwyn Walford Youngg","http://dbpedia.org/resource/Selwyn_Walford_Young","""Land of the Free""","[41]"
"Beninn","http://dbpedia.org/resource/Benin","""L'Aube Nouvelle"" (""The Dawn of a New Day""))","http://dbpedia.org/resource/L'Aube_Nouvelle","1960","Gilbert Jean Dagnon","","Gilbert Jean Dagnonn","","""L'Aube Nouvelle""","[42]"
"Bhhutan","http://dbpedia.org/resource/Bhutan","""Druk tsendhen"" (""The Thunder Dragon Kingdom""))","http://dbpedia.org/resource/Druk_tsendhen","1953","Dasho Gyaldun Thinley","","Aku  Tongmi","","""Druk tsendhen""","[43][44]"
"Boliviaa","http://dbpedia.org/resource/Bolivia","""Himno Nacional de Bolivia"" (""National Anthem of Bolivia"")","http://dbpedia.org/resource/National_Anthem_of_Bolivia","1852","José Ignacio de Sanjinés","http://dbpedia.org/resource/José_Ignacio_de_Sanjinés","Leopoldo Benedetto Vincenti","","""Himno Nacional de Bolivia""","[45]"
"Bosnia and Herzegovinaa","http://dbpedia.org/resource/Bosnia_and_Herzegovina","""Državna himna Bosne i Hercegovine"" (""The National Anthem of Bosnia and Herzegovina"")","http://dbpedia.org/resource/Državna_himna_Bosne_i_Hercegovine","1999","Awaiting official approval","","Dušan Šestić","http://dbpedia.org/resource/Dušan_Šestić","","[46]"
"Botswana","http://dbpedia.org/resource/Botswana","""Fatshe leno la rona"" (""Blessed Be This Noble Land"")","http://dbpedia.org/resource/Fatshe_leno_la_rona","1966","Kgalemang Tumedisco Motsete","","Kgalemang Tumedisco Motsetee","","""Fatshe leno la rona""","[47]"
"Brazil","http://dbpedia.org/resource/Brazil","""Hino Nacional Brasileiro"" (""Brazilian Nationnal Anthem"")","http://dbpedia.org/resource/Brazilian_National_Anthem","1831","Joaquim Osório Duque Estrada","http://dbpedia.org/resource/Joaquim_Osório_Duque_Estrada","Francisco Manuel da Silva","http://dbpedia.org/resource/Francisco_Manuel_da_Silva","""Hino Nacional Brasileiro""","[48]"
"BBrunei","http://dbpedia.org/resource/Brunei","""Allah Peliharakan Sultan"" (""God Bless the Sultan"")","http://dbpedia.org/resource/Allah_Peliharakan_Sultan","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","http://dbpedia.org/resource/Yura_Halim","Besaar bin Sagap","","""Allah Peliharakan Sultan""","[49]"
"Bulgaria","http://dbpedia.org/resource/Bulgaria","""Mila Rodino"" (""Dear Motherland"")","http://dbpedia.org/resource/Mila_Rodino","1964","Tsvetan Radoslavov","http://dbpedia.org/resource/Tsvetan_Radoslavov","Tsvetan Radoslavovv","http://dbpedia.org/resource/Tsvetan_Radoslavov","""Mila Rodino""","[50]"
"Burkkina Faso","http://dbpedia.org/resource/Burkina_Faso","""Une Seule Nuit"" (""One Single Night"")","http://dbpedia.org/resource/Une_Seule_Nuit","1984","Thomas Sankara","http://dbpedia.org/resource/Thomas_Sankara","Thomas Sankaraa","http://dbpedia.org/resource/Thomas_Sankara","""Une Seule Nuit""","[51]"
"Burunddi","http://dbpedia.org/resource/Burundi","""Burundi Bwacu"" (""Our Burundi""))","http://dbpedia.org/resource/Burundi_Bwacu","1962","Jean-Baptiste Ntahokaja","","Marc Barengayaboo","","""Burundi Bwacu""","[52]"
"Cambodiaa","http://dbpedia.org/resource/Cambodia","""Nokor Reach"" (""Royal Kingdom"")","http://dbpedia.org/resource/Nokor_Reach","1941","Samdach Chuon Nat","http://dbpedia.org/resource/Chuon_Nat","F. Perruchott","","""Nokoreach""","[53]"
"Cambodiaa","http://dbpedia.org/resource/Cambodia","""Nokor Reach"" (""Royal Kingdom"")","http://dbpedia.org/resource/Nokor_Reach","1941","Samdach Chuon Nat","http://dbpedia.org/resource/Chuon_Nat","J. Jekylll","","""Nokoreach""","[53]"
"Cameroonn","http://dbpedia.org/resource/Cameroon","""O Cameroun, Berceeau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","René Djam Afame","","Renéé Djam Afame","","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Caameroon","http://dbpedia.org/resource/Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Samuel Minkio Bamba","","René Djam Afamee","","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","http://dbpedia.org/resource/Cameroon","""O Cameroun, Berceeau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","http://dbpedia.org/resource/O_Cameroon,_Cradle_of_Our_Forefathers","1957","Moïse Nyatte Nko'o","","René Djam Afame","","""O Cameroun, Berceau de nos Ancêtres""","[54]"
