"Party","Party__URI","Ideology","Ideology__URI","Founded","Presidential vote (2016)","State Legislators"
"Libertarian Party","http://dbpedia.org/resource/Libertarian_Party_(United_States)","Libertarianism","http://dbpedia.org/resource/Libertarianism_in_the_United_States","1971","4,489,221 (3.28%)","1 (0.01%)"
"Green Party","http://dbpedia.org/resource/Green_Party_of_the_United_States","Green Politics[citation needed]","http://dbpedia.org/resource/Green_Politics","2001","1,457,216 (1.07%)","0"
"Constitution Party","http://dbpedia.org/resource/Constitution_Party_(United_States)","Paleoconservatism[citation needed]","http://dbpedia.org/resource/Paleoconservatism","1992","203,010 (0.15%)","0"
"Party for Socialism and Liberation","http://dbpedia.org/resource/Party_for_Socialism_and_Liberation","Communism[13]","http://dbpedia.org/resource/Communism","2004","74,392 (0.05%)","0"
"Reform Party","http://dbpedia.org/resource/Reform_Party_of_the_United_States_of_America","Electoral reform","http://dbpedia.org/resource/Electoral_reform_in_the_United_States","1995","33,136 (0.02%)","0"
"Reform Party","http://dbpedia.org/resource/Reform_Party_of_the_United_States_of_America","Anti-corruption","http://dbpedia.org/resource/Corruption_in_the_United_States","1995","33,136 (0.02%)","0"
"Legal Marijuana Now Party","http://dbpedia.org/resource/Legal_Marijuana_Now_Party","Marijuana legalization[14]","http://dbpedia.org/resource/Decriminalization_of_non-medical_cannabis_in_the_United_States","1998","13,537 (0.01%)","0"
"Socialist Workers Party","http://dbpedia.org/resource/Socialist_Workers_Party_(United_States)","Communism[citation needed]","http://dbpedia.org/resource/Communism","1938","12,467 (0.01%)","0"
"Prohibition Party","http://dbpedia.org/resource/Prohibition_Party","Temperance[citation needed]","http://dbpedia.org/resource/Temperance_movement","1869","5,617 (0%)","0"
"Workers World Party","http://dbpedia.org/resource/Workers_World_Party","Communism[citation needed]","http://dbpedia.org/resource/Communism","1959","4,314 (0%)","0"
"Socialist Party USA","http://dbpedia.org/resource/Socialist_Party_USA","Democratic socialism[15]","http://dbpedia.org/resource/Democratic_socialism","1973","2,698 (0%)","0"
"American Solidarity Party","http://dbpedia.org/resource/American_Solidarity_Party","Christian democracy[16]","http://dbpedia.org/resource/Christian_democracy","2011","862 (0%)","0"
"Socialist Equality Party","http://dbpedia.org/resource/Socialist_Equality_Party_(United_States)","Trotskyism[citation needed]","http://dbpedia.org/resource/Trotskyism","1966","469 (0%)","0"
"American Delta Party","http://dbpedia.org/resource/American_Delta_Party","Social progressivism[citation needed]","http://dbpedia.org/resource/Social_progressivism","2016","0","0"
"American Freedom Party","http://dbpedia.org/resource/American_Freedom_Party","White nationalism[21]","http://dbpedia.org/resource/White_nationalism","2009","0","0"
"Citizens Party of the United States","http://dbpedia.org/resource/Citizens_Party_of_the_United_States","Economic nationalism[citation needed]","http://dbpedia.org/resource/Economic_nationalism","2004","0","0"
"Freedom Socialist Party","http://dbpedia.org/resource/Freedom_Socialist_Party","Trotskyism[citation needed]","http://dbpedia.org/resource/Trotskyism","1966","0","0"
"Humane Party","http://dbpedia.org/resource/Humane_Party","Animal rights[citation needed]","http://dbpedia.org/resource/Animal_rights","2009","0","0"
"Justice Party","http://dbpedia.org/resource/Justice_Party_(United_States)","Social democracy[citation needed]","http://dbpedia.org/resource/Social_democracy","2011","0","0"
"Socialist Action","http://dbpedia.org/resource/Socialist_Action_(United_States)","Trotskyism[citation needed]","http://dbpedia.org/resource/Trotskyism","1983","0","0"
"Socialist Alternative","http://dbpedia.org/resource/Socialist_Alternative_(United_States)","Trotskyism[citation needed]","http://dbpedia.org/resource/Trotskyism","1986","0","0"
"United States Marijuana Party","http://dbpedia.org/resource/United_States_Marijuana_Party","Marijuana legalization[citation needed]","http://dbpedia.org/resource/Decriminalization_of_non-medical_cannabis_in_the_United_States","2002","0","0"
"United States Pirate Party","http://dbpedia.org/resource/United_States_Pirate_Party","Pirate politics[citation needed]","http://dbpedia.org/resource/Pirate_Party","2006","0","0"
"Alaskan Independence Party","http://dbpedia.org/resource/Alaskan_Independence_Party","Alaskan nationalism[23]","http://dbpedia.org/resource/Legal_status_of_Alaska","1978","0","0"
"Peace and Freedom Party","http://dbpedia.org/resource/Peace_and_Freedom_Party","Democratic socialism[citation needed]","http://dbpedia.org/resource/Democratic_socialism","1967","0","0"
"Independent Party of Delaware","http://dbpedia.org/resource/Independent_Party_of_Delaware","Fiscal conservatism[citation needed]","http://dbpedia.org/resource/Fiscal_conservatism","2000","0","0"
"Natural Law Party","http://dbpedia.org/resource/Natural_Law_Party_(United_States)","Environmentalism[citation needed]","http://dbpedia.org/resource/Environmentalism","1992","0","0"
"Grassroots-Legalize Cannabis Party","","Marijuana legalization[citation needed]","","1986","0","0"
"Independence Party of Minnesota","http://dbpedia.org/resource/Independence_Party_of_Minnesota","Liberalism[citation needed]","http://dbpedia.org/resource/Liberalism","1992","0","0"
"Conservative Party of New York State","http://dbpedia.org/resource/Conservative_Party_of_New_York_State","Conservativism[citation needed]","http://dbpedia.org/resource/Conservatism_in_the_United_States","1962","0","0"
