"Party","Party__URI","Ideology","Ideology__URI","Founded","Presidential vote (2016)","State Legislators"
"Libertarian Partyy","http://dbpedia.org/resource/Libertarian_Party_(United_States)","Libertarianismm","http://dbpedia.org/resource/Libertarianism_in_the_United_States","1971","4,489,221 (3.28%)","1 (0.01%)"
"Green Partyy","http://dbpedia.org/resource/Green_Party_of_the_United_States","Greeen Politics[citation needed]","http://dbpedia.org/resource/Green_Politics","2001","1,457,216 (1.07%)","0"
"Constitution Partyy","http://dbpedia.org/resource/Constitution_Party_(United_States)","Paleoconservatism[citation needed]]","http://dbpedia.org/resource/Paleoconservatism","1992","203,010 (0.15%)","0"
"Party for Socialism and Liberationn","http://dbpedia.org/resource/Party_for_Socialism_and_Liberation","Communnism[13]","http://dbpedia.org/resource/Communism","2004","74,392 (0.05%)","0"
"Reform Partyy","http://dbpedia.org/resource/Reform_Party_of_the_United_States_of_America","Electoral reformm","http://dbpedia.org/resource/Electoral_reform_in_the_United_States","1995","33,136 (0.02%)","0"
"Refform Party","http://dbpedia.org/resource/Reform_Party_of_the_United_States_of_America","Anti-corruptionn","http://dbpedia.org/resource/Corruption_in_the_United_States","1995","33,136 (0.02%)","0"
"Legal Marijuana Now Partyy","http://dbpedia.org/resource/Legal_Marijuana_Now_Party","Marijuana legalization[14]","http://dbpedia.org/resource/Decriminalization_of_non-medical_cannabis_in_the_United_States","1998","13,537 (0.01%)","0"
"Socialist Workers Partyy","http://dbpedia.org/resource/Socialist_Workers_Party_(United_States)","Communism[citation needed]]","http://dbpedia.org/resource/Communism","1938","12,467 (0.01%)","0"
"Prohibition Party","http://dbpedia.org/resource/Prohibition_Party","Temperance[citation needed]]","http://dbpedia.org/resource/Temperance_movement","1869","5,617 (0%)","0"
"Workers World PParty","http://dbpedia.org/resource/Workers_World_Party","Communism[citation needed]]","http://dbpedia.org/resource/Communism","1959","4,314 (0%)","0"
"SSocialist Party USA","http://dbpedia.org/resource/Socialist_Party_USA","Democratic socialism[15]]","http://dbpedia.org/resource/Democratic_socialism","1973","2,698 (0%)","0"
"American Solidarity Party","http://dbpedia.org/resource/American_Solidarity_Party","Christian democracy[16]]","http://dbpedia.org/resource/Christian_democracy","2011","862 (0%)","0"
"Socialist EEquality Party","http://dbpedia.org/resource/Socialist_Equality_Party_(United_States)","Trotskyism[citation needed]]","http://dbpedia.org/resource/Trotskyism","1966","469 (0%)","0"
"American Delta Party","http://dbpedia.org/resource/American_Delta_Party","Social progressivism[citation  needed]","http://dbpedia.org/resource/Social_progressivism","2016","0","0"
"American Freedom Party","http://dbpedia.org/resource/American_Freedom_Party","White nationalism[21]","http://dbpedia.org/resource/White_nationalism","2009","0","0"
"Citizens Party of the United States","http://dbpedia.org/resource/Citizens_Party_of_the_United_States","Economic nationalism[citation needed]","http://dbpedia.org/resource/Economic_nationalism","2004","0","0"
"Freedom Socialist Partyy","http://dbpedia.org/resource/Freedom_Socialist_Party","Trotskyism[citation needed]]","http://dbpedia.org/resource/Trotskyism","1966","0","0"
"Humane Partyy","http://dbpedia.org/resource/Humane_Party","Animal rights[citation needded]","http://dbpedia.org/resource/Animal_rights","2009","0","0"
"Justice Partyy","http://dbpedia.org/resource/Justice_Party_(United_States)","Social democracy[citatioon needed]","http://dbpedia.org/resource/Social_democracy","2011","0","0"
"Socialist Action","http://dbpedia.org/resource/Socialist_Action_(United_States)","Trotskyism[citation needed]]","http://dbpedia.org/resource/Trotskyism","1983","0","0"
"Socialist Alternativee","http://dbpedia.org/resource/Socialist_Alternative_(United_States)","Trotskyism[citation needed]]","http://dbpedia.org/resource/Trotskyism","1986","0","0"
"United States Marijuana Partyy","http://dbpedia.org/resource/United_States_Marijuana_Party","Marijuana legaalization[citation needed]","http://dbpedia.org/resource/Decriminalization_of_non-medical_cannabis_in_the_United_States","2002","0","0"
"United States Pirate Partyy","http://dbpedia.org/resource/United_States_Pirate_Party","Pirate politics[citation needed]","http://dbpedia.org/resource/Pirate_Party","2006","0","0"
"Alaskan Independence Party","http://dbpedia.org/resource/Alaskan_Independence_Party","Alaskan nationalism[23]]","http://dbpedia.org/resource/Legal_status_of_Alaska","1978","0","0"
"Peace and Freedom Partyy","http://dbpedia.org/resource/Peace_and_Freedom_Party","Democratic socialism[citation needed]]","http://dbpedia.org/resource/Democratic_socialism","1967","0","0"
"Independent Parrty of Delaware","http://dbpedia.org/resource/Independent_Party_of_Delaware","Fiscal conservatism[citation needed]","http://dbpedia.org/resource/Fiscal_conservatism","2000","0","0"
"Natural Law  Party","http://dbpedia.org/resource/Natural_Law_Party_(United_States)","Environmentalism[citation needed]","http://dbpedia.org/resource/Environmentalism","1992","0","0"
"Grassroots-Legalize Cannabis  Party","","Marijuana legalization[citation needed]]","","1986","0","0"
"Independence Party of Minnesota","http://dbpedia.org/resource/Independence_Party_of_Minnesota","Liberalism[citation needed]","http://dbpedia.org/resource/Liberalism","1992","0","0"
"Conservative Party of New York State","http://dbpedia.org/resource/Conservative_Party_of_New_York_State","Conservativism[citation needed]]","http://dbpedia.org/resource/Conservatism_in_the_United_States","1962","0","0"
"Inddependence Party of New York","http://dbpedia.org/resource/Independence_Party_of_New_York","Poppulism","http://dbpedia.org/resource/Populism","1991","0","1 (0.01%)"
"Liberal Party of New York","http://dbpedia.org/resource/Liberal_Party_of_New_York","Liberalism[citation needed]","http://dbpedia.org/resource/Liberalism_in_the_United_States","1944","0","0"
"New York State Right to Life Partyy","http://dbpedia.org/resource/New_York_State_Right_to_Life_Party","Pro-Life[citation needed]]","http://dbpedia.org/resource/Anti-abortion_movement","1970","0","0"
"Rent IIs Too Damn High Party","http://dbpedia.org/resource/Rent_Is_Too_Damn_High_Party","Social welfaare[citation needed]","http://dbpedia.org/resource/Social_welfare","2005","0","0"
"Serve America Movementt","","Big tent[cittation needed]","http://dbpedia.org/resource/Big_tent","2017","0","0"
"Tax Revolt Partyy","http://dbpedia.org/resource/Tax_Revolt_Party","Conservativism[citation needed]]","http://dbpedia.org/resource/Conservatism_in_the_United_States","2009","0","0"
"Women's Equality Party","http://dbpedia.org/resource/Women's_Equality_Party_(New_York)","Liberalism[citation needed]","http://dbpedia.org/resource/Liberalism","2014","0","0"
"Workiing Families Party","http://dbpedia.org/resource/Working_Families_Party","Prrogressivism[25]","http://dbpedia.org/resource/Progressivism","1998","0","0"
"CCovenant Party","http://dbpedia.org/resource/Covenant_Party_(Northern_Mariana_Islands)","Populism[ciitation needed]","http://dbpedia.org/resource/Populism","2001","0","0"
"Charter Partty","http://dbpedia.org/resource/Charter_Party","Progressivism[citation needed]]","http://dbpedia.org/resource/Progressivism","1924","0","0"
"Independent Party of Connecticutt","http://dbpedia.org/resource/Independent_Party_of_Connecticut","Centrism[citation needed]]","http://dbpedia.org/resource/Centrism","1966","0","0"
"Independennt Party of Oregon","http://dbpedia.org/resource/Independent_Party_of_Oregon","Populism[citation needed]","http://dbpedia.org/resource/Populism","2007","0","0"
"Oregon Progressive Partyy","http://dbpedia.org/resource/Oregon_Progressive_Party","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","2007","0","0"
"Socialist Party of Oreggon","http://dbpedia.org/resource/Socialist_Party_of_Oregon","Democratic socialism[citation needed]","http://dbpedia.org/resource/Democratic_socialism","1897","0","0"
"Sovereign Union Movementt","http://dbpedia.org/resource/Movimiento_Unión_Soberanista","Puerto Rico independence[citation needed]]","http://dbpedia.org/resource/Independence_movement_in_Puerto_Rico","2010","0","0"
"New Progressive Party of Puerto Ricoo","http://dbpedia.org/resource/New_Progressive_Party_of_Puerto_Rico","Puerto Rico Statehoodd","http://dbpedia.org/resource/Statehood_movement_in_Puerto_Rico","1967","0","0"
"Popular Democratic Party of Puerto Ricoo","http://dbpedia.org/resource/Popular_Democratic_Party_of_Puerto_Rico","Centrism","http://dbpedia.org/resource/Centrism","1938","0","0"
"PPuerto Ricans for Puerto Rico Party","http://dbpedia.org/resource/Puerto_Ricans_for_Puerto_Rico_Party","Green Pollitics[citation needed]","http://dbpedia.org/resource/Green_politics","2003","0","0"
"Puerto Rican Independence Parrty","http://dbpedia.org/resource/Puerto_Rican_Independence_Party","Puerto Rico independencce","http://dbpedia.org/resource/Independence_movement_in_Puerto_Rico","1946","0","0"
"Working People's Party of Puerto Ricoo","http://dbpedia.org/resource/Working_People's_Party_of_Puerto_Rico","Demoocratic Socialism","http://dbpedia.org/resource/Democratic_socialism","2010","0","0"
"Moderate Party of Rhodee Island","http://dbpedia.org/resource/Moderate_Party_of_Rhode_Island","Democratic Socialism[citation needed]]","http://dbpedia.org/resource/Centrism","2007","0","0"
"Alliance Party of South Carolinaa","http://dbpedia.org/resource/American_Party_of_South_Carolina","Centrism[citatiion needed]","http://dbpedia.org/resource/Centrism","2014","0","0"
"United Citizens Partyy","http://dbpedia.org/resource/United_Citizens_Party","Progressivism[citation needed]]","http://dbpedia.org/resource/Progressivism","1969","0","0"
"United Utah Parrty","","Centtrism[citation needed]","http://dbpedia.org/resource/Centrism","2017","0","0"
"Independent Citizens Movementt","http://dbpedia.org/resource/Independent_Citizens_Movement","Grassrooots Democracy[citation needed]","http://dbpedia.org/resource/Grassroots_democracy","1968","0","0"
"Vermont Progressive PParty","http://dbpedia.org/resource/Vermont_Progressive_Party","PProgressivism","http://dbpedia.org/resource/Progressivism","1981","0","9 (0.12%)"
"Liberty Union Partyy","http://dbpedia.org/resource/Liberty_Union_Party","Democratic socialism[citation needed]]","http://dbpedia.org/resource/Democratic_socialism","1970","0","0"
"Independent Greens of Virginia","http://dbpedia.org/resource/Independent_Greens_of_Virginia","Green Politics[citation needed]","http://dbpedia.org/resource/Green_politics","2005","0","0"
"Progressive Danee","http://dbpedia.org/resource/Progressive_Dane","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","1992","0","0"
"Working Class Party","","Progressivism[citation needed]","http://dbpedia.org/resource/Progressivism","2016","0","0"
