"city","city__URI","state","state__URI"
"Alamedda","http://dbpedia.org/resource/Alameda,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Albanee","http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR","http://dbpedia.org/resource/Oregon_(state)"
"Allbany","http://dbpedia.org/resource/Albany,_New_York","New York, NY","http://dbpedia.org/resource/New_York_(state)"
"Albertvile","http://dbpedia.org/resource/Albertville,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Abaquerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Albequerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Albuqerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Allgona","http://dbpedia.org/resource/Algona,_Iowa","Iowa, IA","http://dbpedia.org/resource/Iowa_(state)"
"Algonkwen","http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Alentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","Pennsylvania, PA","http://dbpedia.org/resource/Pennsylvania_(state)"
"An Arbor","http://dbpedia.org/resource/Ann_Arbor,_Michigan","Michigan, MI","http://dbpedia.org/resource/Michigan_(state)"
"Aniston","http://dbpedia.org/resource/Anniston,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Annoka","http://dbpedia.org/resource/Anoka,_Minnesota","Minnesota, MN","http://dbpedia.org/resource/Minnesota_(state)"
"Apexs","http://dbpedia.org/resource/Apex,_North_Carolina","North Carolina, NC","http://dbpedia.org/resource/North_Carolina_(state)"
"Artesea","http://dbpedia.org/resource/Artesia,_Mississippi","Mississippi, MS","http://dbpedia.org/resource/Mississippi_(state)"
"Rvada","http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Atthol","http://dbpedia.org/resource/Athol,_Massachusetts","Massachusetts, MA","http://dbpedia.org/resource/Massachusetts_(state)"
"Altanta","http://dbpedia.org/resource/Atlanta,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Aubern","http://dbpedia.org/resource/Auburn,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Alt","http://dbpedia.org/resource/Ault,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Arora","http://dbpedia.org/resource/Aurora,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Uarora","http://dbpedia.org/resource/Aurora,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Bakersfeild","http://dbpedia.org/resource/Bakersfield,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Bandira","http://dbpedia.org/resource/Bandera,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Bardston","http://dbpedia.org/resource/Bardstown,_Kentucky","Kentucky, KY","http://dbpedia.org/resource/Kentucky_(state)"
"Bare","","Vermont, VT","http://dbpedia.org/resource/Vermont_(state)"
