"city","city__URI","city_misspelled","city_misspelled__URI","state","state__URI"
"Abbeville","http://dbpedia.org/resource/Abbeville,_Georgia","Abbevile","http://dbpedia.org/resource/Abbeville,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Abbeville","http://dbpedia.org/resource/Abbeville,_Georgia","Abeville","http://dbpedia.org/resource/Abbeville,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Abilenee","http://dbpedia.org/resource/Abilene,_Texas","Abiline","http://dbpedia.org/resource/Abilene,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Adamsvillle","http://dbpedia.org/resource/Adamsville,_Tennessee","Adamsvile","http://dbpedia.org/resource/Adamsville,_Tennessee","Tennessee, TN","http://dbpedia.org/resource/Tennessee_(state)"
"AAkron","http://dbpedia.org/resource/Akron,_Ohio","Acron","http://dbpedia.org/resource/Akron,_Ohio","Ohio, OH","http://dbpedia.org/resource/Ohio_(state)"
"Alabasterr","http://dbpedia.org/resource/Alabaster,_Alabama","Alabastre","http://dbpedia.org/resource/Alabaster,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Alamedaa","http://dbpedia.org/resource/Alameda,_California","Alamedda","http://dbpedia.org/resource/Alameda,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Alamosaa","http://dbpedia.org/resource/Alamosa,_Colorado","Alamusa","http://dbpedia.org/resource/Alamosa,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Albanyy","http://dbpedia.org/resource/Albany,_Oregon","Albanee","http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR","http://dbpedia.org/resource/Oregon_(state)"
"Albanyy","http://dbpedia.org/resource/Albany,_Oregon","Albny","http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR","http://dbpedia.org/resource/Oregon_(state)"
"Albanyy","http://dbpedia.org/resource/Albany,_New_York","Allbany","http://dbpedia.org/resource/Albany,_New_York","New York, NY","http://dbpedia.org/resource/New_York_(state)"
"Albertvillee","http://dbpedia.org/resource/Albertville,_Alabama","Albertvile","http://dbpedia.org/resource/Albertville,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Albuquerquee","http://dbpedia.org/resource/Albuquerque,_New_Mexico","Abaquerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
