"celebrity","celebrity__URI","birth_place","birth_place__URI","country","country__URI"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dechanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschannel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschenel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dechannel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanelle","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschenal","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daschenel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daschanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dechanell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanels","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshanelle","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dechenel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshanell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschamel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deeschanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
