"celebrity","celebrity__URI","celebrity_misspelled","celebrity_misspelled__URI","birth_place","birth_place__URI","country","country__URI"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Descchanell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","Unnited States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Dechanell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Deeschannell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Deschenelll","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United Statess","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Desshaanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Dechannelll","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","Unitedd States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Deschanellee","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Deechanelle","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey Deschanellll","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","Uniteed States","http://dbpedia.org/resource/United_States"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Zooey  Deschenalll","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United Statess","http://dbpedia.org/resource/United_States"
